id,K2,K3,K4,K5,K6,K7,K8,K9,K10
C005,1,1,1,1,1,1,1,1,1
C006,1,1,1,1,1,1,1,1,1
C007,1,1,1,1,1,1,1,1,1
C008,1,1,1,1,1,1,2,2,2
C009,1,1,1,1,1,1,1,1,1
C010,1,1,1,1,1,1,1,1,1
C014,1,1,1,1,1,1,1,1,1
C015,1,1,1,1,1,1,1,1,1
C016,1,2,2,2,2,2,3,3,3
C017,1,1,1,1,1,1,1,1,1
C018,1,1,1,1,1,1,1,1,1
C019,1,1,1,1,1,1,1,1,1
C025,1,1,1,1,1,1,1,1,1
C028,1,1,1,1,1,1,1,1,1
C029,2,3,3,3,3,3,4,4,4
C030,1,1,1,1,1,1,1,1,1
C031,1,1,1,1,1,1,1,1,1
C034,1,1,1,1,1,1,1,1,1
C035,1,1,1,1,1,1,1,1,1
C036,1,1,1,1,1,1,1,5,5
C037,1,1,1,1,1,1,1,1,1
C038,1,1,1,1,1,1,1,1,1
C044,2,3,3,3,4,4,5,6,6
C045,1,1,1,1,1,1,1,1,1
C046,1,1,1,1,1,1,1,1,1
C047,1,1,1,1,1,1,1,1,1
C050,1,1,1,1,1,1,1,1,1
C051,1,1,1,1,1,1,2,2,2
C052,1,1,1,1,1,1,1,1,1
C053,1,1,1,1,1,1,1,1,1
C055,2,3,3,3,3,3,4,4,4
C056,1,1,1,1,1,1,1,1,1
C057,1,1,1,1,1,1,1,1,1
C061,1,1,1,1,1,1,1,1,1
C062,1,1,1,1,1,1,1,1,1
C063,1,1,1,1,1,1,1,1,1
C064,1,1,1,1,1,1,1,1,1
C065,1,1,1,1,1,1,1,1,1
C086,1,1,1,1,1,1,1,1,1
C087,1,1,1,1,1,1,1,1,1
C091,1,1,1,1,1,1,1,1,1
C092,1,1,1,1,1,1,1,1,1
C093,1,1,1,1,1,1,1,1,1
C095,1,1,1,1,1,1,1,1,1
C099,1,1,1,1,1,1,2,2,2
C100,1,1,1,1,1,1,2,2,2
C103,1,1,1,1,1,1,1,1,1
C104,1,1,1,1,1,1,1,1,1
C105,1,1,1,1,1,1,1,1,1
C106,1,1,1,1,1,1,1,1,1
C109,1,1,1,1,1,1,1,1,1
C110,1,1,1,1,1,1,1,1,1
C118,1,1,1,1,1,1,1,1,1
C125,2,3,3,3,3,3,4,4,4
C129,1,1,1,1,1,1,1,1,1
C130,1,1,1,1,1,1,1,1,1
C138,2,3,3,3,3,5,6,7,7
C139,1,1,1,1,1,1,1,1,1
C140,1,1,1,1,1,1,1,1,1
C141,1,1,1,1,1,1,1,1,1
C150,1,1,1,1,1,1,1,1,1
C151,1,1,1,1,1,1,1,5,5
C152,1,1,1,1,1,1,1,1,1
C153,1,1,1,1,1,1,1,1,1
C154,1,1,1,1,1,1,1,1,1
C165,1,1,1,1,1,1,1,1,1
C166,1,1,1,1,1,1,1,1,1
C167,1,1,1,1,1,1,1,1,1
C172,1,1,1,1,1,1,1,1,1
C173,1,1,1,1,1,1,1,1,1
C174,1,1,1,1,1,1,1,1,1
C175,1,1,1,1,1,1,1,1,1
C176,2,3,3,3,3,3,4,4,8
C177,1,1,1,1,1,1,1,1,1
C178,1,1,1,1,1,1,1,1,1
C179,1,1,1,1,1,1,1,1,1
C180,1,1,1,1,1,1,1,1,1
C181,1,1,1,1,1,1,1,1,1
C182,1,1,1,1,1,1,1,1,1
C183,1,1,1,1,1,1,1,1,1
C186,1,1,1,1,1,1,1,1,1
C191,1,1,1,1,1,1,1,1,1
C192,1,1,1,1,1,1,1,5,5
C193,1,1,1,1,1,1,1,1,1
C194,1,1,1,1,1,1,1,1,1
C195,1,1,4,4,5,6,7,8,9
C197,1,2,2,2,2,2,3,3,3
C198,2,3,3,3,3,3,4,4,8
C199,1,1,1,1,1,1,2,2,2
C202,1,1,1,1,1,1,1,1,1
C216,1,1,1,5,6,7,8,9,10
