candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score
M000001,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,2,0.7329446047452678,0.5669135123972023,3,0.896551724137931,True,0.9578097442680775
M000002,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,3,0.6235263356710102,0.23381318493219547,3,0.7586206896551724,True,0.7601135361552028
M000003,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,4,0.6047563287810496,0.260589080223549,1,0.7586206896551724,False,0.7574404761904762
M000004,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,5,0.5417581017592711,0.260589080223549,1,0.7586206896551724,False,0.6889054232804233
M000005,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,6,0.48490889025144535,0.260589080223549,1,0.7586206896551724,False,0.5925099206349207
M000006,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,7,0.3879532678348037,0.1655708297920859,1,0.3793103448275862,False,0.2867063492063492
M000007,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,8,0.3545327384710685,0.1655708297920859,1,0.3793103448275862,False,0.1917989417989418
M000008,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,9,0.3437651838152398,0.1655708297920859,1,0.3793103448275862,False,0.16650132275132276
M000009,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,average,10,0.32105607188180824,0.23811561445193705,1,0.3793103448275862,False,0.1656194885361552
M000010,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,2,0.7329446047452678,0.5669135123972023,3,0.896551724137931,True,0.9578097442680775
M000011,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,3,0.39557647939923346,0.06715015091838977,3,0.5172413793103449,True,0.27747464726631393
M000012,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,4,0.4591945295893082,0.09448897652078622,3,0.41379310344827586,True,0.44667658730158727
M000013,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,5,0.48653059048115377,0.15270327133528772,1,0.3793103448275862,False,0.5197310405643739
M000014,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,6,0.44480247934262934,0.1655708297920859,1,0.3793103448275862,False,0.45353835978835977
M000015,coverage100_y0_classic_l0_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,y0,classic,0.0,0.02,complete,7,0.3983084416416121,0.2001932624266691,1,0.3793103448275862,False,0.34504519400352734
