source_index,medoid_index,source_time_h,medoid_time_h
0,0,13.516327905578095,36.768109297821354
1,1,27.032655811156218,73.53621859564271
2,1,40.54898371673431,73.53621859564271
3,1,54.06531162231241,73.53621859564271
4,1,67.58163952789053,73.53621859564271
5,1,81.09796743346865,73.53621859564271
6,1,94.61429533904672,73.53621859564271
7,1,108.13062324462484,73.53621859564271
8,1,121.64695115020298,73.53621859564271
9,2,135.16327905578103,110.30432789346399
10,2,148.67960696135916,110.30432789346399
11,2,162.19593486693728,110.30432789346399
12,3,175.71226277251534,147.07243719128536
13,4,189.22859067809347,183.84054648910666
14,4,202.7449185836716,183.84054648910666
15,4,216.26124648924966,183.84054648910666
16,5,229.77757439482778,220.60865578692807
17,6,243.2939023004059,257.37676508474937
18,7,256.81023020598394,294.14487438257066
19,8,270.32655811156206,330.91298368039196
20,8,283.8428860171402,330.91298368039196
21,9,297.3592139227183,367.68109297821337
22,9,310.87554182829643,367.68109297821337
23,9,324.39186973387444,367.68109297821337
24,9,337.90819763945257,367.68109297821337
25,9,351.4245255450307,367.68109297821337
26,9,364.9408534506088,367.68109297821337
27,9,378.45718135618694,367.68109297821337
28,9,391.97350926176506,367.68109297821337
29,10,399.4283373072515,399.4283373072515
