id,cluster
C005,1
C006,1
C008,1
C009,1
C010,1
C014,1
C015,1
C016,1
C017,1
C018,1
C019,1
C025,1
C028,1
C029,2
C030,1
C031,1
C034,1
C035,1
C036,1
C037,1
C038,1
C044,2
C045,1
C046,1
C047,1
C050,1
C051,1
C052,1
C053,1
C055,1
C061,1
C062,1
C063,1
C064,1
C065,1
C086,1
C087,1
C091,1
C092,1
C093,1
C105,1
C106,1
C109,1
C110,1
C125,2
C129,1
C130,1
C136,2
C137,2
C138,1
C139,1
C140,1
C141,1
C150,1
C151,2
C152,1
C153,1
C154,1
C165,1
C166,1
C167,1
C173,1
C174,1
C175,1
C176,1
C177,1
C178,1
C179,1
C180,1
C181,1
C182,1
C183,1
C192,1
C193,1
C194,1
C195,1
C197,1
C198,1
C199,1
C202,1
