candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score,bootstrap90,bootstrap95,drop05,drop10,stability_mean,stability_worst,warp_mean_time,warp_p95_max_time,turn_collapse_mean,selection_score,extreme_warp
M016957,coverage070_z_multivariate_l4_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,4.0,0.2,average,2,0.6673535246745771,0.44398254666471104,7,0.9230769230769231,True,0.9555776014109347,0.98200460135237,0.981338721908861,0.9829749393694422,0.9886499595796281,0.9837420555525753,0.981338721908861,0.06997018760678747,0.22846840551812853,0.047164258962011776,0.8025955588360726,False
M015985,coverage070_z_classic_l0_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,classic,0.0,0.2,average,2,0.673428687997088,0.4348090576336758,7,0.9230769230769231,True,0.9685570987654321,0.98200460135237,0.9847227920619801,0.9829749393694422,0.9886499595796281,0.9845880730908552,0.98200460135237,0.08089121041137416,0.2722983779579275,0.0,0.8010276251291514,False
M016309,coverage070_z_multivariate_l0.25_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,0.25,0.2,average,2,0.6734119273548795,0.4348452808086083,7,0.9230769230769231,True,0.9682815255731924,0.98200460135237,0.9847227920619801,0.9829749393694422,0.9886499595796281,0.9845880730908552,0.98200460135237,0.08250287096721086,0.2722983779579275,0.01979668271803103,0.800704957429843,False
M016471,coverage070_z_multivariate_l0.5_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,0.5,0.2,average,2,0.6733368329963442,0.4349539122507055,7,0.9230769230769231,True,0.9680059523809523,0.98200460135237,0.9847227920619801,0.9829749393694422,0.9886499595796281,0.9845880730908552,0.98200460135237,0.08250287096721086,0.2722983779579275,0.01979668271803103,0.800700846728955,False
M016633,coverage070_z_multivariate_l1_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,1.0,0.2,average,2,0.6730285324524994,0.4353878677585653,7,0.9230769230769231,True,0.9677303791887125,0.98200460135237,0.9847227920619801,0.9829749393694422,0.9886499595796281,0.9845880730908552,0.98200460135237,0.08249502119698386,0.2722983779579275,0.01979668271803103,0.8006849478267545,False
M016795,coverage070_z_multivariate_l2_r0.2,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,2.0,0.2,average,2,0.6717363875294707,0.43711462686022506,7,0.9230769230769231,True,0.9643683862433862,0.98200460135237,0.9847227920619801,0.9829749393694422,0.9886499595796281,0.9845880730908552,0.98200460135237,0.08255881741302694,0.2722983779579275,0.01979668271803103,0.8005943792598533,False
M016255,coverage070_z_multivariate_l0.25_r0.1,coverage070,399.4283373072515,91,0.6791044776119403,z,multivariate,0.25,0.1,average,2,0.6498870512207232,0.39052666838743255,6,0.9340659340659341,True,0.9139109347442681,0.9198849996975045,0.8971272635739012,0.975408245755861,0.9564915117219078,0.9372280051872935,0.8971272635739012,0.058177800620363915,0.21490769780894126,0.01265382557517389,0.7622132878991644,False
M015121,coverage070_ymax_multivariate_l0.25_r0.1,coverage070,399.4283373072515,91,0.6791044776119403,ymax,multivariate,0.25,0.1,average,2,0.6987553113444864,0.19736568268174448,18,0.8021978021978022,True,0.9062775573192241,0.881811784338741,0.9090342825420931,0.9959185433256169,0.9436600712638,0.9326061703675628,0.881811784338741,0.05911458391365005,0.20069783805164207,0.04595594792224006,0.74964102109178,False
M014608,coverage070_y0_multivariate_l4_r0.05,coverage070,399.4283373072515,91,0.6791044776119403,y0,multivariate,4.0,0.05,average,2,0.6664964426089953,0.19553319633457145,18,0.8021978021978022,True,0.8700947971781305,0.9144594428036303,0.8854326971790014,0.9959171739322218,0.9990022586233362,0.9487028931345474,0.8854326971790014,0.06717818522935859,0.21404544094665845,0.056527554842161584,0.7454973405378043,False
M007237,coverage090_z_multivariate_l0.25_r0.2,coverage090,47.80591738392364,28,0.208955223880597,z,multivariate,0.25,0.2,average,2,0.695472302688558,0.7299749252833083,5,0.8214285714285714,True,0.8645833333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.05576230959445694,0.23177772972245722,0.031868131868131866,0.7347683146663629,False
