candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score
M000352,coverage100_y0_multivariate_l0.25_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,y0,multivariate,0.25,0.05,average,2,0.7328461100278238,0.567300378474881,3,0.896551724137931,True,0.9576444003527337
M000596,coverage100_y0_multivariate_l0.5_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,y0,multivariate,0.5,0.2,average,3,0.6219344794119019,0.28672411273178694,3,0.7931034482758621,True,0.7886629188712522
M001162,coverage100_ymax_classic_l0_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,classic,0.0,0.05,average,2,0.7437534815202869,0.6248077365298044,3,0.896551724137931,True,0.9832727072310405
M001307,coverage100_ymax_derivative_l1_r0.02,coverage100,27.748780763058747,29,0.21641791044776118,ymax,derivative,1.0,0.02,complete,3,0.5332363243522409,0.2783933675529381,3,0.7586206896551724,True,0.6866181657848325
M001486,coverage100_ymax_multivariate_l0.25_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,0.25,0.05,average,2,0.743538031742017,0.625166678301529,3,0.896551724137931,True,0.9826113315696648
M001568,coverage100_ymax_multivariate_l0.25_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,0.25,0.2,average,3,0.6360215811058535,0.32333048164962963,3,0.7931034482758621,True,0.8309909611992945
M001648,coverage100_ymax_multivariate_l0.5_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,0.5,0.05,average,2,0.7429050688103103,0.6262372802441565,3,0.896551724137931,True,0.9818397266313933
M001837,coverage100_ymax_multivariate_l1_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,1.0,0.1,average,2,0.7418202592510631,0.6304285375922819,3,0.896551724137931,True,0.9805445326278659
M001972,coverage100_ymax_multivariate_l2_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,2.0,0.05,average,2,0.7321749474473511,0.630502188443129,3,0.896551724137931,True,0.9690531305114638
M002134,coverage100_ymax_multivariate_l4_r0.05,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,4.0,0.05,average,2,0.707366730293005,0.5923426275712104,3,0.896551724137931,True,0.9502039241622575
M002665,coverage100_z_multivariate_l0.25_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,z,multivariate,0.25,0.1,weighted,2,0.4966248819150351,0.3599924154981813,6,0.7931034482758621,True,0.6722883597883598
M002701,coverage100_z_multivariate_l0.25_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,z,multivariate,0.25,0.2,average,2,0.5664259247249104,0.43008776153719697,3,0.896551724137931,True,0.7996582892416226
M004006,coverage100_robust_multivariate_l0.5_r0.2,coverage100,27.748780763058747,29,0.21641791044776118,robust,multivariate,0.5,0.2,complete,2,0.46808117857487064,0.2483377719805715,4,0.8620689655172413,True,0.5509810405643739
M006913,coverage090_z_classic_l0_r0.2,coverage090,47.80591738392364,28,0.208955223880597,z,classic,0.0,0.2,average,2,0.6978566220807949,0.7053495582057613,5,0.8214285714285714,True,0.865354938271605
