replicate,ARI,n_unique,groups_unique
0,1.0,54,26
1,0.7770104928702292,60,32
2,1.0,58,30
3,1.0,66,34
4,1.0,56,27
5,1.0,63,31
6,1.0,57,29
7,1.0,61,32
8,1.0,56,28
9,1.0,55,29
10,1.0,61,30
11,1.0,50,26
12,1.0,61,32
13,1.0,64,32
14,1.0,52,27
15,1.0,54,29
16,1.0,67,34
17,1.0,57,28
18,1.0,53,28
19,1.0,61,29
20,1.0,59,31
21,0.8831144008896302,63,31
22,1.0,55,28
23,1.0,68,34
24,1.0,46,25
25,1.0,53,28
26,1.0,57,28
27,0.8279525575857489,52,28
28,1.0,61,30
29,1.0,59,30
30,1.0,53,27
31,1.0,54,29
32,1.0,62,34
33,1.0,62,33
34,1.0,59,29
35,1.0,54,27
36,1.0,63,32
37,1.0,49,27
38,1.0,63,30
39,1.0,73,35
40,1.0,60,28
41,1.0,61,31
42,1.0,57,30
43,1.0,57,28
44,1.0,65,34
45,1.0,71,35
46,1.0,55,28
47,0.7778066713281595,62,33
48,1.0,56,29
49,1.0,55,26
