id,cluster,group,source,is_medoid,n_points,distance_to_medoid
C005,1,图片103,图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,False,25,0.18914530801800827
C006,1,图片103,图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,False,27,0.07507108566623988
C007,1,图片105,图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,False,22,0.2783970295710279
C008,1,图片105,图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,False,22,0.4475649010277696
C009,1,图片107,图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,False,11,0.19953710724878196
C010,1,图片107,图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,False,11,0.21460791656034064
C014,1,图片113,图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,False,21,0.20066355509233452
C015,1,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,False,35,0.15046430011713632
C016,1,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,False,35,0.8525646995452453
C017,1,图片114,图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,False,35,0.4076452304145172
C018,1,图片115,图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,False,10,0.24394860860099526
C019,1,图片115,图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,False,10,0.20819510835067084
C025,1,图片12,图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,False,14,0.1988930800526152
C028,1,图片121,图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,False,24,0.2064445109026967
C029,2,图片121,图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,False,24,0.3473453809550232
C030,1,图片122,图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,False,22,0.10765150955740467
C031,1,图片122,图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,False,22,0.35145751192236174
C034,1,图片127,图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,False,8,0.27897100247370205
C035,1,图片127,图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,False,8,0.2482601594819945
C036,1,图片127,图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,False,8,0.4360637440210497
C037,1,图片132,图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,False,19,0.18494771021890236
C038,1,图片132,图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,False,19,0.11157039947979869
C044,2,图片135,图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,False,24,0.6527163586004976
C045,1,图片135,图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,False,24,0.10337456141350561
C046,1,图片136,图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,False,10,0.25144878478527566
C047,1,图片136,图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,False,10,0.4896185982458971
C050,1,图片141,图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,False,8,0.1971090451768448
C051,1,图片141,图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,False,8,0.5945610220607972
C052,1,图片141,图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,False,8,0.19798032858748182
C053,1,图片141,图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,False,8,0.22597828465593753
C055,2,图片157,图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,False,31,0.41525715155088283
C056,1,图片159,图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,False,30,0.11311489016321649
C057,1,图片159,图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,False,30,0.07486629218854401
C061,1,图片160,图片160/accepted/samples_test__unknown__unknown__图片160__Series_1__Series_1.csv,False,15,0.25793173619557624
C062,1,图片160,图片160/accepted/samples_test__unknown__unknown__图片160__Series_2__Series_2.csv,False,15,0.1590486200920342
C063,1,图片162,图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,True,22,0.0
C064,1,图片162,图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,False,22,0.06631763738765047
C065,1,图片162,图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,False,22,0.12951553122762677
C086,1,图片184,图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,False,21,0.09900750096205606
C087,1,图片184,图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,False,21,0.34063432707267594
C091,1,图片19,图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,False,14,0.21731512706382794
C092,1,图片19,图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,False,14,0.10992334906653528
C093,1,图片190,图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,False,16,0.16784964160155488
C095,1,图片193,图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,False,36,0.11554343790358704
C099,1,图片197,图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,False,31,0.7457386765370476
C100,1,图片197,图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,False,31,0.7956596847265401
C103,1,图片202,图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,False,29,0.14520461001367718
C104,1,图片202,图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,False,29,0.36179793971979557
C105,1,图片203,图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,False,13,0.10765104516607418
C106,1,图片203,图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,False,13,0.23894068791067472
C109,1,图片205,图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,False,23,0.17844134199869024
C110,1,图片205,图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,False,23,0.3228408369132558
C118,1,图片28,图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,False,40,0.2745360573325514
C125,2,图片33,图片33/accepted/samples_test__unknown__unknown__图片33__AZO_SnOx__Series_1.csv,True,12,0.0
C129,1,图片39,图片39/accepted/samples_test__unknown__unknown__图片39__Series_1__Series_1.csv,False,9,0.26689321931351256
C130,1,图片39,图片39/accepted/samples_test__unknown__unknown__图片39__Series_2__Series_2.csv,False,9,0.2478011541014636
C138,2,图片48,图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,False,10,0.6707327751316166
C139,1,图片48,图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2.csv,False,10,0.33078154745817856
C140,1,图片48,图片48/accepted/samples_test__unknown__unknown__图片48__PTAA_BCP__Series_3.csv,False,10,0.1810659043576758
C141,1,图片50,图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,False,20,0.2074639428341079
C150,1,图片58,图片58/accepted/samples_test__unknown__unknown__图片58__Series_1__Series_1.csv,False,8,0.30179023548456374
C151,1,图片58,图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,False,8,0.640556741701907
C152,1,图片58,图片58/accepted/samples_test__unknown__unknown__图片58__Series_3__Series_3.csv,False,8,0.29246496915400155
C153,1,图片59,图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,False,19,0.17471598174982975
C154,1,图片59,图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,False,19,0.33045092262211667
C165,1,图片63,图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,False,31,0.07257509264159934
C166,1,图片63,图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,False,31,0.09215245521424231
C167,1,图片63,图片63/accepted/samples_test__unknown__unknown__图片63__PM6_Y6__Series_1.csv,False,31,0.20077234665663332
C172,1,图片68,图片68/accepted/samples_test__unknown__unknown__图片68__Series_1__Series_1.csv,False,26,0.22096494092138722
C173,1,图片68,图片68/accepted/samples_test__unknown__unknown__图片68__Series_2__Series_2.csv,False,26,0.4012855109382638
C174,1,图片70,图片70/accepted/samples_test__unknown__unknown__图片70__Series_1__Series_1.csv,False,19,0.5002149358419906
C175,1,图片70,图片70/accepted/samples_test__unknown__unknown__图片70__Series_2__Series_2.csv,False,19,0.41083882436381647
C176,2,图片70,图片70/accepted/samples_test__unknown__unknown__图片70__Series_3__Series_3.csv,False,19,0.5196202741763337
C177,1,图片71,图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,False,26,0.16009241652148376
