id_a,id_b,cluster,DTW
C006,C005,1,0.21054042146225557
C007,C005,1,0.31497119324801576
C007,C006,1,0.29954154964638535
C008,C005,1,0.484934256760253
C008,C006,1,0.49476930065779157
C008,C007,1,0.38357152070247785
C009,C005,1,0.33542409035048437
C009,C006,1,0.2383729128370888
C009,C007,1,0.5222717055398443
C009,C008,1,0.598843247303508
C010,C005,1,0.35229887737216425
C010,C006,1,0.24722522415112536
C010,C007,1,0.5429506453256073
C010,C008,1,0.5579169742131479
C010,C009,1,0.10271847406773861
C014,C005,1,0.25263299265253714
C014,C006,1,0.2249606851564824
C014,C007,1,0.11716747886716324
C014,C008,1,0.4085207153040069
C014,C009,1,0.4290009428922703
C014,C010,1,0.45739038218457484
C015,C005,1,0.3010853511864153
C015,C006,1,0.1655816374421505
C015,C007,1,0.4700499541249174
C015,C008,1,0.5337161984562151
C015,C009,1,0.20779986114280827
C015,C010,1,0.19114260871858144
C015,C014,1,0.37273594674988986
C016,C005,1,0.756159599396661
C016,C006,1,0.8861459890356109
C016,C007,1,0.9090011247864889
C016,C008,1,0.6631671413338497
C016,C009,1,0.9514737069620136
C016,C010,1,0.9607945754099816
C016,C014,1,0.8731557086945418
C016,C015,1,0.8769440757095801
C017,C005,1,0.4080400070463157
C017,C006,1,0.39670471202530555
C017,C007,1,0.12535453437647798
C017,C008,1,0.4668669642566275
C017,C009,1,0.6661776403766068
C017,C010,1,0.7206651852901133
C017,C014,1,0.18858772965336654
C017,C015,1,0.6149037002549773
C017,C016,1,0.9130866249273455
C018,C005,1,0.42312834207126954
C018,C006,1,0.2759894116435221
C018,C007,1,0.534092482205354
C018,C008,1,0.6127596623520237
C018,C009,1,0.09590125340458008
C018,C010,1,0.183770005707239
C018,C014,1,0.45905444772719844
C018,C015,1,0.24281569113214446
C018,C016,1,0.978134955632356
C018,C017,1,0.72351099407736
C019,C005,1,0.36296528182206833
C019,C006,1,0.2542043819543836
C019,C007,1,0.5365517433035542
C019,C008,1,0.5814530744972807
C019,C009,1,0.07134168616649281
C019,C010,1,0.08092760906091272
C019,C014,1,0.4602471630675148
C019,C015,1,0.219011897257278
C019,C016,1,0.9937279331468138
C019,C017,1,0.7225285204770051
C019,C018,1,0.11863477466606782
C025,C005,1,0.20886812522499007
C025,C006,1,0.2501139304280102
C025,C007,1,0.15129435413664297
C025,C008,1,0.41797367138289526
C025,C009,1,0.4272568518222613
C025,C010,1,0.4087193717823474
C025,C014,1,0.13761226255131814
C025,C015,1,0.3816769206639787
C025,C016,1,0.892515923155918
C025,C017,1,0.24476593601181124
C025,C018,1,0.4848561457217912
C025,C019,1,0.4531806228387131
C028,C005,1,0.2707377942480771
C028,C006,1,0.21237094176242116
C028,C007,1,0.111780434608793
C028,C008,1,0.4163182579052582
C028,C009,1,0.47521741452287
C028,C010,1,0.49451335489053777
C028,C014,1,0.08881262099144205
C028,C015,1,0.3860408412731558
C028,C016,1,0.884498013823544
C028,C017,1,0.14135170305937667
C028,C018,1,0.49147678360731173
C028,C019,1,0.4973641135250773
C028,C025,1,0.14604261777756994
C030,C005,1,0.22269202728523474
C030,C006,1,0.1158964828035535
C030,C007,1,0.29520742135880645
C030,C008,1,0.461026143727765
C030,C009,1,0.17242775446338265
C030,C010,1,0.2083728640417215
C030,C014,1,0.20736892649017588
C030,C015,1,0.17733070712329813
C030,C016,1,0.9081632248973853
C030,C017,1,0.45902438325117323
C030,C018,1,0.18549422002522675
C030,C019,1,0.19017654818941546
C030,C025,1,0.23610744716489493
C030,C028,1,0.23314589607834008
C031,C005,1,0.41736359701176856
C031,C006,1,0.3588189508901609
C031,C007,1,0.23911753646748315
C031,C008,1,0.4945742525683077
C031,C009,1,0.5355195017859498
C031,C010,1,0.5620607785426582
C031,C014,1,0.2510993214384938
C031,C015,1,0.45386087932921826
C031,C016,1,0.9602506652933313
C031,C017,1,0.30456652608671003
C031,C018,1,0.5384964559721929
C031,C019,1,0.5654498008914597
C031,C025,1,0.3516214131177387
