source_index,medoid_index,source_time_h,medoid_time_h
0,0,63.46999795473607,19.685806391230074
1,1,126.93999590947203,39.37161278246015
1,2,126.93999590947203,59.05741917369025
2,3,190.4099938642081,78.74322556492032
2,4,190.4099938642081,98.42903195615038
2,5,190.4099938642081,118.11483834738051
3,6,253.87999181894406,137.8006447386106
3,7,253.87999181894406,157.48645112984065
3,8,253.87999181894406,177.17225752107072
3,9,253.87999181894406,196.8580639123008
4,10,317.34998977368014,216.54387030353095
4,11,317.34998977368014,236.229676694761
4,12,317.34998977368014,255.9154830859911
4,13,317.34998977368014,275.60128947722114
4,14,317.34998977368014,295.2870958684513
4,15,317.34998977368014,314.9729022596813
5,16,380.8199877284162,334.6587086509114
6,17,399.4283373072515,354.34451504214155
6,18,399.4283373072515,374.03032143337157
6,19,399.4283373072515,393.7161278246017
6,20,399.4283373072515,399.4283373072515
