id,cluster
C003,1
C004,1
C005,1
C006,1
C007,1
C008,2
C011,1
C012,1
C014,1
C015,1
C016,2
C017,1
C024,1
C025,1
C028,1
C029,2
C030,1
C031,1
C037,1
C038,1
C044,1
C045,1
C055,2
C056,1
C057,1
C061,1
C062,1
C063,1
C064,1
C065,1
C076,1
C077,1
C080,1
C081,1
C086,1
C087,1
C091,1
C092,1
C093,1
C095,1
C099,2
C100,2
C103,1
C104,1
C109,1
C110,1
C118,1
C127,1
C128,1
C134,1
C135,1
C141,1
C153,1
C154,1
C165,1
C166,1
C167,1
C172,1
C173,2
C174,1
C175,1
C176,2
C177,1
C178,1
C182,1
C183,1
C186,1
C191,1
C192,1
C193,1
C194,1
C195,1
C197,1
C198,2
C199,2
C216,1
