K,mode,mean,min,median
2,bootstrap90,0.9820046013523701,0.6454154727793696,1.0
2,bootstrap95,0.981338721908861,0.830272765892641,1.0
2,drop05,0.9829749393694422,0.9054163298302345,1.0
2,drop10,0.9886499595796282,0.9054163298302345,1.0
3,bootstrap90,0.8269614718627147,0.36648064710917644,0.8310329337371543
3,bootstrap95,0.8527053854405735,0.6190906625689234,0.834876679132396
3,drop05,0.829483060470931,0.705631316182288,0.7934651736269877
3,drop10,0.8322191124882191,0.705631316182288,0.7934651736269877
4,bootstrap90,0.8884422502995512,0.5514084178072594,0.9409333111000908
4,bootstrap95,0.9024246251236366,0.5992747015392632,0.9169849608412082
4,drop05,0.8792489699780606,0.7900406153175172,0.8639203349653293
4,drop10,0.8645891769943443,0.7478297776392491,0.8499002052629777
5,bootstrap90,0.814155004741695,0.48678623514177427,0.8272695460835633
5,bootstrap95,0.8440852205479011,0.4886066003143007,0.891683771060234
5,drop05,0.8313607444053228,0.7056027532430026,0.8755206553637803
5,drop10,0.8521761229744952,0.7056027532430026,0.8755206553637803
6,bootstrap90,0.7506752544831075,0.4830065919013783,0.750693049579253
6,bootstrap95,0.8026633878714158,0.4967480964467005,0.8036210211757326
6,drop05,0.8059781570610803,0.6536868908773047,0.7973133750207515
6,drop10,0.8307351191703822,0.6875836011073672,0.8036079907033369
7,bootstrap90,0.6698594785975689,0.3030676543447413,0.6817409615296994
7,bootstrap95,0.7266984149515077,0.4492967615996797,0.7407990592459515
7,drop05,0.7834403457377499,0.65449670572084,0.7639915373322478
7,drop10,0.8050843452197322,0.6883611035318176,0.8041967044284243
8,bootstrap90,0.8391680764843096,0.2803919076486094,0.8692244373442242
8,bootstrap95,0.8775662651980951,0.3162122270970286,0.8808666002425058
8,drop05,0.9229155925116338,0.6731664584652653,0.9189713427606057
8,drop10,0.8932929768137486,0.663031819806936,0.9093671791204863
9,bootstrap90,0.8532323281153573,0.31295553212430544,0.9346046987304568
9,bootstrap95,0.8849718187662944,0.41969360401697586,0.9399497651294597
9,drop05,0.9242461800371757,0.7590794922272758,0.9193746809546813
9,drop10,0.8953827883390398,0.7494626243509686,0.9180342319259465
10,bootstrap90,0.7571057032543156,0.20746665995355365,0.7643804981021418
10,bootstrap95,0.7637786090643087,0.36237738026543564,0.8025501120068537
10,drop05,0.9360324157417169,0.7979867941081406,0.9555356140715938
10,drop10,0.9031290127309549,0.5982391619302352,0.9178809625354606
