analysis,n,n_overlap,ARI_to_frozen,normalization,mode,lambda_value,radius,rms_distance,silhouette,dunn,min_cluster,max_fraction
normalization_y0,91,91,-0.08221832051825392,y0,multivariate,4.0,0.2,True,0.6737553070539978,0.1489199702010121,18,0.8021978021978022
normalization_ymax,91,91,-0.08221832051825392,ymax,multivariate,4.0,0.2,True,0.7036942628433771,0.16792362899074292,18,0.8021978021978022
normalization_z,91,91,1.0,z,multivariate,4.0,0.2,True,0.6673535246745771,0.44398254666471104,7,0.9230769230769231
normalization_robust,91,91,-0.018164661476763388,robust,multivariate,4.0,0.2,True,0.6548017254048247,0.2730877095042807,1,0.989010989010989
mode_classic,91,91,1.0,z,classic,0.0,0.2,True,0.673428687997088,0.4348090576336758,7,0.9230769230769231
mode_derivative,91,91,-0.018164661476763388,z,derivative,1.0,0.2,True,0.6956082927616511,0.5816846800286773,1,0.989010989010989
lambda_0.25,91,91,1.0,z,multivariate,0.25,0.2,True,0.6734119273548795,0.4348452808086083,7,0.9230769230769231
lambda_0.5,91,91,1.0,z,multivariate,0.5,0.2,True,0.6733368329963442,0.4349539122507055,7,0.9230769230769231
lambda_1,91,91,1.0,z,multivariate,1.0,0.2,True,0.6730285324524994,0.4353878677585653,7,0.9230769230769231
lambda_2,91,91,1.0,z,multivariate,2.0,0.2,True,0.6717363875294707,0.43711462686022506,7,0.9230769230769231
lambda_4,91,91,1.0,z,multivariate,4.0,0.2,True,0.6673535246745771,0.44398254666471104,7,0.9230769230769231
radius_0.02,91,91,1.0,z,multivariate,4.0,0.02,True,0.6210291285957574,0.38355779300906695,7,0.9230769230769231
radius_0.05,91,91,1.0,z,multivariate,4.0,0.05,True,0.6227836969985099,0.38355779300906695,7,0.9230769230769231
radius_0.1,91,91,0.9054163298302345,z,multivariate,4.0,0.1,True,0.645679817570097,0.39300282257638747,6,0.9340659340659341
radius_0.15,91,91,1.0,z,multivariate,4.0,0.15,True,0.6559670853731837,0.40814218297222166,7,0.9230769230769231
radius_0.2,91,91,1.0,z,multivariate,4.0,0.2,True,0.6673535246745771,0.44398254666471104,7,0.9230769230769231
radius_-1.0,91,91,0.9054163298302345,z,multivariate,4.0,-1.0,True,0.6523081219422138,0.442002855195178,6,0.9340659340659341
conventional_sqrt_sum_DTW,91,91,1.0,z,multivariate,4.0,0.2,False,0.6595106848858759,0.3713909248265907,7,0.9230769230769231
three_point_local_linear_slope,91,91,1.0,z,multivariate,4.0,0.2,True,0.6697429095612366,0.43707363940377775,7,0.9230769230769231
linear_common_grid,91,91,1.0,z,multivariate,4.0,0.2,True,0.7191094145586575,0.4028912796770478,7,0.9230769230769231
absolute_time_common_interval,83,83,0.819531194758055,z,multivariate,4.0,0.2,True,0.6935450278253851,0.4377043651474771,7,0.9156626506024096
conflicting_duplicates_keep_first,95,91,1.0,z,multivariate,4.0,0.2,True,0.6605574565158793,0.44398254666471104,7,0.9263157894736842
conflicting_duplicates_keep_last,95,91,1.0,z,multivariate,4.0,0.2,True,0.6548634899988767,0.44398254666471104,7,0.9263157894736842
window_fixed_coverage100,29,0,,z,multivariate,4.0,0.2,True,0.5958688574602048,0.7758499517611045,1,0.9655172413793104
window_fixed_coverage090,28,2,,z,multivariate,4.0,0.2,True,0.6781981284679691,0.9195269020228439,1,0.9642857142857143
window_fixed_coverage080,76,63,0.40839219201582616,z,multivariate,4.0,0.2,True,0.6454851745917023,0.3782113405527752,10,0.868421052631579
window_fixed_coverage070,91,91,1.0,z,multivariate,4.0,0.2,True,0.6673535246745771,0.44398254666471104,7,0.9230769230769231
window_fixed_coverage060,80,78,0.4748377576174266,z,multivariate,4.0,0.2,True,0.6213749505811611,0.4802358452818663,6,0.925
window_fixed_coverage050,66,64,0.5157981124333196,z,multivariate,4.0,0.2,True,0.5627173288336097,0.284128022151645,7,0.8939393939393939
window_fixed_coverage040,54,52,0.5034966944244008,z,multivariate,4.0,0.2,True,0.5619526421419715,0.37663260320964576,7,0.8703703703703703
window_fixed_coverage030,40,38,0.6718020541549953,z,multivariate,4.0,0.2,True,0.5576160778636989,0.358544204856326,5,0.875
window_fixed_coverage020,26,24,-0.055865921787709494,z,multivariate,4.0,0.2,True,0.6352281469120947,0.6403029122366711,1,0.9615384615384616
