candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M000352,coverage100,bootstrap90,0,0.0,17,
M000352,coverage100,bootstrap90,1,0.3765281173594132,17,
M000352,coverage100,bootstrap90,2,1.0,16,
M000352,coverage100,bootstrap90,3,1.0,20,
M000352,coverage100,bootstrap90,4,1.0,19,
M000352,coverage100,bootstrap90,5,1.0,17,
M000352,coverage100,bootstrap90,6,0.7577903682719547,19,
M000352,coverage100,bootstrap90,7,0.7311827956989247,16,
M000352,coverage100,bootstrap90,8,0.3765281173594132,17,
M000352,coverage100,bootstrap90,9,1.0,17,
M000352,coverage100,bootstrap90,10,1.0,17,
M000352,coverage100,bootstrap90,11,0.6926229508196722,16,
M000352,coverage100,bootstrap90,12,1.0,15,
M000352,coverage100,bootstrap90,13,0.7007700770077008,17,
M000352,coverage100,bootstrap90,14,0.7138873396542108,19,
M000352,coverage100,bootstrap90,15,0.7138873396542108,19,
M000352,coverage100,bootstrap90,16,0.5941644562334217,18,
M000352,coverage100,bootstrap90,17,1.0,15,
M000352,coverage100,bootstrap90,18,1.0,18,
M000352,coverage100,bootstrap90,19,0.7577903682719547,19,
M000352,coverage100,bootstrap90,20,1.0,18,
M000352,coverage100,bootstrap90,21,1.0,18,
M000352,coverage100,bootstrap90,22,1.0,20,
M000352,coverage100,bootstrap90,23,1.0,17,
M000352,coverage100,bootstrap90,24,1.0,16,
M000352,coverage100,bootstrap90,25,1.0,17,
M000352,coverage100,bootstrap90,26,0.5540983606557377,18,
M000352,coverage100,bootstrap90,27,1.0,18,
M000352,coverage100,bootstrap90,28,0.0,17,
M000352,coverage100,bootstrap90,29,1.0,16,
M000352,coverage100,bootstrap90,30,1.0,19,
M000352,coverage100,bootstrap90,31,1.0,15,
M000352,coverage100,bootstrap90,32,1.0,19,
M000352,coverage100,bootstrap90,33,1.0,16,
M000352,coverage100,bootstrap90,34,1.0,17,
M000352,coverage100,bootstrap90,35,1.0,22,
M000352,coverage100,bootstrap90,36,0.764391071661663,20,
M000352,coverage100,bootstrap90,37,1.0,18,
M000352,coverage100,bootstrap90,38,1.0,18,
M000352,coverage100,bootstrap90,39,1.0,17,
M000352,coverage100,bootstrap90,40,1.0,18,
M000352,coverage100,bootstrap90,41,1.0,20,
M000352,coverage100,bootstrap90,42,0.6830530401034929,15,
M000352,coverage100,bootstrap90,43,1.0,16,
M000352,coverage100,bootstrap90,44,0.5985915492957746,19,
M000352,coverage100,bootstrap90,45,1.0,18,
M000352,coverage100,bootstrap90,46,1.0,16,
M000352,coverage100,bootstrap90,47,1.0,16,
M000352,coverage100,bootstrap90,48,1.0,18,
M000352,coverage100,bootstrap90,49,1.0,18,
M000352,coverage100,bootstrap95,0,0.0,19,
M000352,coverage100,bootstrap95,1,1.0,20,
M000352,coverage100,bootstrap95,2,1.0,20,
M000352,coverage100,bootstrap95,3,1.0,16,
M000352,coverage100,bootstrap95,4,1.0,17,
M000352,coverage100,bootstrap95,5,1.0,19,
M000352,coverage100,bootstrap95,6,1.0,14,
M000352,coverage100,bootstrap95,7,1.0,16,
M000352,coverage100,bootstrap95,8,1.0,19,
M000352,coverage100,bootstrap95,9,1.0,18,
M000352,coverage100,bootstrap95,10,1.0,19,
M000352,coverage100,bootstrap95,11,1.0,20,
M000352,coverage100,bootstrap95,12,1.0,19,
