candidate,mode,replicates,ARI_mean,ARI_median,ARI_p025,ARI_p975,ARI_min,actual_deleted_fraction
M000352,bootstrap90,50,0.860305719040951,1.0,0.084718826405868,1.0,0.0,
M000352,bootstrap95,50,0.8803171176206582,1.0,0.0,1.0,0.0,
M000352,drop05,50,0.9928896672504379,1.0,1.0,1.0,0.6444833625218914,0.07742054724517443
M000352,drop10,50,0.9928896672504378,1.0,1.0,1.0,0.6444833625218914,0.10315116564524754
M000596,bootstrap90,50,0.7882085185229566,0.7914893588334309,0.47271915459521247,1.0,0.2176991150442478,
M000596,bootstrap95,50,0.712980070444264,0.7786111741559709,0.2098481309481282,1.0,0.0791295746785361,
M000596,drop05,50,0.9069613881248009,0.8703273117510284,0.8703273117510284,1.0,0.7569408067050812,0.07742054724517443
M000596,drop10,50,0.8920521128630453,0.8703273117510284,0.7569408067050812,1.0,0.7569408067050812,0.10315116564524754
M001162,bootstrap90,50,0.8698745879267435,1.0,0.084718826405868,1.0,0.0,
M001162,bootstrap95,50,0.8681513925735773,1.0,0.0,1.0,0.0,
M001162,drop05,50,1.0,1.0,1.0,1.0,1.0,0.07742054724517443
M001162,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M001307,bootstrap90,50,0.8529682542704693,0.9237380807054394,0.4028771811017886,1.0,0.09040590405904059,
M001307,bootstrap95,50,0.8165302427181704,0.8190579451680707,0.4006331455823706,1.0,0.11126564673157163,
M001307,drop05,50,0.9184901754721304,1.0,0.3125961995914141,1.0,0.3125961995914141,0.07742054724517443
M001307,drop10,50,0.8745217929775693,0.9694277108433735,0.3125961995914141,1.0,0.3014598540145985,0.10315116564524754
M001486,bootstrap90,50,0.8698745879267435,1.0,0.084718826405868,1.0,0.0,
M001486,bootstrap95,50,0.8681513925735773,1.0,0.0,1.0,0.0,
M001486,drop05,50,1.0,1.0,1.0,1.0,1.0,0.07742054724517443
M001486,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M001568,bootstrap90,50,0.8364727769747158,0.8103647548623625,0.5088287218787465,1.0,0.12756598240469208,
M001568,bootstrap95,50,0.7651072848638326,0.7861336315348058,0.22969264680387352,1.0,0.0817140009965122,
M001568,drop05,50,0.8755265548284917,0.8703273117510284,0.7569408067050812,1.0,0.7569408067050812,0.07742054724517443
M001568,drop10,50,0.8726073773994517,0.8703273117510284,0.7569408067050812,1.0,0.7569408067050812,0.10315116564524754
M001648,bootstrap90,50,0.8698745879267435,1.0,0.084718826405868,1.0,0.0,
M001648,bootstrap95,50,0.8681513925735773,1.0,0.0,1.0,0.0,
M001648,drop05,50,1.0,1.0,1.0,1.0,1.0,0.07742054724517443
M001648,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M001837,bootstrap90,50,0.8803223491207735,1.0,0.084718826405868,1.0,0.0,
M001837,bootstrap95,50,0.8803171176206582,1.0,0.0,1.0,0.0,
M001837,drop05,50,1.0,1.0,1.0,1.0,1.0,0.07742054724517443
M001837,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M001972,bootstrap90,50,0.8698745879267435,1.0,0.084718826405868,1.0,0.0,
M001972,bootstrap95,50,0.856223141452501,1.0,0.0,1.0,0.0,
M001972,drop05,50,1.0,1.0,1.0,1.0,1.0,0.07742054724517443
M001972,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M002134,bootstrap90,50,0.8976359794081461,1.0,0.084718826405868,1.0,0.0,
M002134,bootstrap95,50,0.8806865348703627,1.0,0.0,1.0,0.0,
M002134,drop05,50,0.9919757182183949,1.0,0.8445295404814005,1.0,0.7993929554598715,0.07742054724517443
M002134,drop10,50,1.0,1.0,1.0,1.0,1.0,0.10315116564524754
M002665,bootstrap90,50,0.74533082182622,1.0,-0.032957446808510614,1.0,-0.10869565217391304,
M002665,bootstrap95,50,0.7099846839835603,0.7577903682719547,0.20009307520476546,1.0,-0.08665511265164645,
M002665,drop05,50,0.4865479135647415,0.35244100295361813,0.18348193336461754,1.0,0.18348193336461754,0.07742054724517443
M002665,drop10,50,0.4632348290619596,0.18348193336461754,0.18348193336461754,1.0,0.1814516129032258,0.10315116564524754
M002701,bootstrap90,50,0.7541099230843339,0.8655913978494624,0.0,1.0,0.0,
M002701,bootstrap95,50,0.7351340148025943,1.0,0.0,1.0,0.0,
M002701,drop05,50,0.8530147394809297,1.0,0.5214000725426188,1.0,0.4330195510499638,0.07742054724517443
M002701,drop10,50,0.8458237224930515,1.0,0.4330195510499638,1.0,0.4330195510499638,0.10315116564524754
M004006,bootstrap90,50,0.7303225575628407,1.0,-0.11484101459024476,1.0,-0.1172901921132457,
M004006,bootstrap95,50,0.6205458642242978,1.0,-0.09260156593993452,1.0,-0.13655287260616153,
M004006,drop05,50,0.6002652395637517,0.5761348696929859,-0.050724637681159424,1.0,-0.050724637681159424,0.07742054724517443
M004006,drop10,50,0.3245351598145188,0.3170289855072464,-0.050724637681159424,1.0,-0.0832108885623695,0.10315116564524754
M006913,bootstrap90,50,1.0,1.0,1.0,1.0,1.0,
M006913,bootstrap95,50,1.0,1.0,1.0,1.0,1.0,
M006913,drop05,50,1.0,1.0,1.0,1.0,1.0,0.08853890623848605
M006913,drop10,50,1.0,1.0,1.0,1.0,1.0,0.09973473655196342
M007237,bootstrap90,50,1.0,1.0,1.0,1.0,1.0,
M007237,bootstrap95,50,1.0,1.0,1.0,1.0,1.0,
M007237,drop05,50,1.0,1.0,1.0,1.0,1.0,0.08853890623848605
M007237,drop10,50,1.0,1.0,1.0,1.0,1.0,0.09973473655196342
M007399,bootstrap90,50,0.9916666666666666,1.0,1.0,1.0,0.5833333333333334,
M007399,bootstrap95,50,1.0,1.0,1.0,1.0,1.0,
M007399,drop05,50,1.0,1.0,1.0,1.0,1.0,0.08853890623848605
M007399,drop10,50,1.0,1.0,1.0,1.0,1.0,0.09973473655196342
M007507,bootstrap90,50,0.9485201017786588,1.0,0.6124111609132782,1.0,0.5833333333333334,
M007507,bootstrap95,50,0.978730730019992,1.0,0.7190367054597743,1.0,0.7007700770077008,
M007507,drop05,50,1.0,1.0,1.0,1.0,1.0,0.08853890623848605
M007507,drop10,50,1.0,1.0,1.0,1.0,1.0,0.09973473655196342
M007678,bootstrap90,50,0.9029493889301246,1.0,0.1297379032258065,1.0,0.0,
M007678,bootstrap95,50,0.9118088218234276,1.0,0.1297379032258065,1.0,0.0,
M007678,drop05,50,0.947587147112913,1.0,0.4356861340021498,1.0,0.4356861340021498,0.08853890623848605
