sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0003,0.9950899732047619,0.1407453108333909,1.0,0.1407453108333909,0.03703703703703708,1.0,-0.854344662371371,0.8641647159618473,0.6270198164061976,0.037037037037037035,0.8888888888888888,0.13257072347142881,-2.1211315755427087,0.13257072347142881,-0.9279950642999397,3.0,0.8592546891666091,0.0,0.004910026795238109,0.005714285714286114,0.13257072347142881,0.0,-0.3787734956326279,-1.0112599275640066,,0.0,0.0,,0.5185185185185185,-0.6192946653593465,-0.6186633761999599,0.9950899732047619,0.6857582851047828,-0.30933168809997913,-0.3599999999999998,0.010327594171749496,15.0,0.2592592592592593,-1.7818136523718193,-1.7764476945170231,0.6562981243333562,0.21930573955719512,-0.4369923847761611,-0.5085714285714285,0.023005028823583587,8.0,0.14814814814814803,-0.2518843745956979,-0.2651414469428397,0.18002552519529305,0.1407453108333909,-0.039280214361902155,-0.04571428571428574,0.00017936622168684946,5.0,,,,,,,,,
S0004,0.919522455667473,0.8301029619646655,1.0,0.8301029619646655,0.25925925925925924,1.0,-0.08941949370280755,0.2503745823678615,0.9215095555275354,0.25925925925925924,0.6666666666666666,0.48286526599516716,-0.48286526599516827,0.36214894949637094,-0.2414326329975796,2.0,0.1698970380353345,0.0,0.08047754433252696,0.4736842105263163,0.32478437534198346,0.0,-0.11036920365603621,-0.16267300012042793,,0.6035815824939539,1.0,,0.22222222222222227,0.36214894949637066,0.3621489494963716,0.919522455667473,0.9955290253148595,0.0760065696473865,0.44736842105263164,0.0007408395954584014,7.0,0.7407407407407407,-0.2509958736552771,-0.24143263299758233,1.0,0.8301029619646655,-0.1698970380353345,-1.0,0.0032483803701010144,21.0,,,,,,,,,,,,,,,,,,
S0006,1.0,0.9544904720907912,1.0,0.9544904720907912,0.0,1.0,-0.04550952790920881,0.04550952790920881,0.9729109952921375,0.0,0.8333333333333334,0.0,-0.11702450033796542,0.0,-0.039008166779321875,2.0,0.04550952790920881,0.0,0.0,0.0,,-0.039008166779321805,-0.0390081667793218,-0.04715272907390556,,0.0,0.0,,0.3333333333333333,-0.06631388352484713,-0.06338827101639802,1.0,0.9772452360453956,-0.022754763954604407,-0.5,6.509225267345615e-05,5.0,0.5833333333333333,-0.024612295706000806,-0.026005444519547897,0.9707438749155087,0.9544904720907912,-0.016253402824717544,-0.3571428571428596,2.3610471114814094e-05,8.0,,,,,,,,,,,,,,,,,,
S0011,1.0,0.8830753679488967,1.0,0.8830753679488967,0.0,1.0,-0.11692463205110326,0.11692463205110326,0.9285603347028424,0.0,0.6285714285714286,0.0,-0.31479708629143827,0.0,-0.15739854314571536,2.0,0.11692463205110326,0.0,0.0,0.0,,-0.31479708629143827,-0.07869927157285796,-0.10150889314069264,,0.0,0.0,,0.19999999999999998,-0.22298126945643074,-0.22260651102036938,1.0,0.9550289876726525,-0.04497101232734746,-0.3846153846153851,0.0002170911358555934,8.0,0.7714285714285714,-0.08442833731954098,-0.0839458896777151,0.9505318864399177,0.8830753679488967,-0.06745651849102097,-0.5769230769230757,0.0003840481039263368,28.0,,,,,,,,,,,,,,,,,,
S0012,1.0,0.7313819286955143,1.0,0.7313819286955143,0.0,0.9714285714285714,-0.2686180713044857,0.2686180713044857,0.840364117624763,0.0,0.8857142857142857,0.0,-0.4700816247828559,0.0,-0.3133877498552323,3.0,0.2686180713044857,0.0,0.0,0.0,,-0.3133877498552233,-0.08021234073675723,-0.28340962196291913,0.0,0.0,0.0,,0.19999999999999998,-0.39360009059198864,-0.3917346873190416,1.0,0.9238915464637294,-0.0761084535362706,-0.2833333333333321,0.0006661245934377748,8.0,0.5714285714285714,-0.2840839602583805,-0.28489795441384863,0.9104606428985049,0.7448128322607388,-0.16564781063776612,-0.6166666666666665,0.00241836930372241,21.0,0.17142857142857137,-0.09513556692033996,-0.09401632495657135,0.7448128322607388,0.7313819286955143,-0.013430903565224472,-0.050000000000000704,3.272365906183382e-05,7.0,,,,,,,,,
S0015,1.0,0.5971110972390368,1.0,0.5971110972390368,0.0,1.0,-0.40288890276096323,0.40288890276096323,0.722014650922371,0.0,0.9375,0.0,-1.227851894128653,0.0,-0.4092839647095481,2.0,0.40288890276096323,0.0,0.0,0.0,,-1.227851894128653,-0.06139259470643221,-0.38144663622746655,,0.0,0.0,,0.43749999999999994,-0.6187983752156291,-0.6139259470643239,1.0,0.705827150365011,-0.294172849634989,-0.7301587301587301,0.008046448808941998,8.0,0.4999999999999999,-0.15859753632495047,-0.174798359928037,0.6738518406220773,0.5971110972390368,-0.07674074338304049,-0.19047619047619016,0.0006856528139390538,9.0,,,,,,,,,,,,,,,,,,
S0016,0.9877578990600687,0.9877578990600687,1.0,0.9632736971802057,0.875,0.125,0.0,0.07345260563958855,0.9781937577007471,0.375,0.25,0.0979368075194584,-0.19587361503890582,0.09793680751945111,-0.14690521127917663,3.0,0.012242100939931277,0.036726302819794276,0.036726302819794276,1.0,0.029730816568404782,-0.09793680751945111,-0.03917472300777991,-0.195873615038904,0.044421337696322685,0.25028295254971034,2.0,0.6875,0.125,-0.195873615038904,-0.195873615038904,0.9877578990600687,0.9632736971802057,-0.024484201879863,-0.6666666666666707,9.991269028231446e-05,3.0,0.6250000000000001,0.0543104114426049,0.05440933751080636,0.9632736971802057,0.9938789495300343,0.030605252349828582,0.8333333333333338,0.00012262011989193003,11.0,0.125,-0.09793680751945022,-0.09793680751945022,1.0,0.9877578990600687,-0.012242100939931277,-0.3333333333333293,2.4978172570577708e-05,3.0,,,,,,,,,
S0017,1.0,0.9876825030395094,1.0,0.9876825030395094,0.0,0.5625000000000001,-0.01231749696049056,0.01231749696049056,0.9919166426196783,0.0,0.125,0.0,-0.09853997568392892,0.0,-0.09853997568392446,3.0,0.01231749696049056,0.0,0.0,0.0,,0.0,0.0,-0.01791635921525867,0.0,0.0,0.0,,0.1249999999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.3125000000000002,0.0,0.0,0.993841251519755,0.993841251519755,0.0,0.0,0.0,6.0,0.4374999999999999,0.0,0.0,0.9876825030395094,0.9876825030395094,0.0,0.0,0.0,8.0,,,,,,,,,
S0028,0.9943601770809389,0.9605212395665729,1.0,0.9605212395665729,0.09090909090909094,1.0,-0.03383893751436606,0.045118583352488195,0.9800042641960565,0.09090909090909091,0.6363636363636364,0.062038052109671706,-0.06203805210967178,0.062038052109671706,-0.062038052109671706,2.0,0.03947876043342713,0.0,0.005639822919061066,0.14285714285714407,0.062038052109671706,-0.062038052109671726,-0.031019026054835853,-0.03839417910283838,,0.0,0.0,,0.18181818181818185,3.2797115717686494e-18,0.0,0.9943601770809389,0.9943601770809389,0.0,0.0,7.068356124081442e-06,3.0,0.7272727272727273,-0.037222831265802676,-0.03722283126580278,0.9887203541618779,0.9605212395665729,-0.028199114595304997,-0.7142857142857119,7.853729026756999e-05,9.0,,,,,,,,,,,,,,,,,,
S0029,0.98032566258028,1.0,1.0,0.98032566258028,0.8181818181818182,0.0,0.019674337419720023,0.019674337419720023,0.9946342716128037,0.2727272727272727,0.0,0.1082088558084607,0.0,0.05410442790423106,0.0,3.0,0.0,0.019674337419720023,0.019674337419720023,1.0,0.015739469935776084,0.0,0.0,,0.014377400422103063,0.0,0.0,,0.18181818181818188,0.054104427904230354,0.05410442790423035,0.98032566258028,0.99016283129014,0.009837168709860067,0.5000000000000028,2.1504419605833328e-05,3.0,0.45454545454545464,0.0,0.0,0.9950814156450701,0.9950814156450701,0.0,0.0,0.0,6.0,0.18181818181818177,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,
