sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,1.0,0.6858925397326343,1.0,0.6858925397326343,0.0,1.0,-0.3141074602673657,0.4449855687121014,0.8194856727674471,0.26666666666666666,0.5555555555555556,0.46134533226769237,-2.1529448839159047,0.23067266613384618,-0.461345332267693,5.0,0.3141074602673657,0.0,0.03271952711118398,0.10416666666666682,,-2.1529448839159047,-0.13980161583869496,-0.3177083386244634,,1.3263678302696231,2.0,0.2127659574468086,0.0851063829787234,-0.8694585108121914,-0.9611361088910281,1.0,0.9182011822220402,-0.08179881777795983,-0.26041666666666674,0.0011205272689172104,3.0,0.19148936170212777,0.02982434471225495,0.019222722177820967,0.8494901752885539,0.8364023644440803,-0.013087810844473524,-0.04166666666666652,4.539206006569056e-05,10.0,0.08510638297872342,-1.2610105748650298,-1.3071451080918022,0.7971389319106597,0.692436445154871,-0.10470248675578864,-0.3333333333333336,0.0015176364233283812,5.0,0.276595744680851,-0.11525183758482309,-0.11533633306692324,0.7022523032882262,0.6858925397326343,-0.016359763555591877,-0.05208333333333306,0.0001475307497081143,14.0
S0006,1.0,0.9122316247465256,1.0,0.9089809441815822,0.0,0.9787234042553192,-0.08776837525347436,0.13327790316268384,0.9428364364483873,0.14893617021276595,0.574468085106383,0.1527819865523549,-0.45834595965703123,0.15278198655234365,-0.15278198655234446,4.0,0.09101905581841785,0.0032506805649434867,0.013002722259774058,0.14285714285714374,,-0.15278198655234376,-0.13148510357838147,-0.06688628597215267,0.15278198655234446,0.0,0.0,,0.0851063829787234,-0.25972937713898464,-0.2482707281475589,1.0,0.9772452360453956,-0.022754763954604407,-0.2499999999999994,6.509225267345615e-05,5.0,0.23404255319148934,-0.09989591428422553,-0.10185465770156317,0.9707438749155087,0.9447384303959606,-0.026005444519548115,-0.2857142857142875,5.540297029272639e-05,12.0,0.3829787234042553,-0.03618520734134484,-0.03819549663808531,0.9382370692660736,0.9317357081361868,-0.006501361129886862,-0.07142857142857004,2.5407451937511522e-05,19.0,0.23404255319148937,-0.12126402429154635,-0.12222558924187668,0.9349863887011302,0.9122316247465256,-0.022754763954604518,-0.2500000000000006,8.358143465352995e-05,12.0
S0008,1.0,1.0156202796210245,1.0989284375998203,1.0,0.13157894736842105,0.0,0.015620279621024524,0.22389067456801404,1.0551505486619497,0.18421052631578946,0.47368421052631576,2.967853127994609,-0.3957137503992856,0.19785687519963857,-0.19785687519963857,2.0,0.08330815797879576,0.09892843759982028,0.09892843759982028,1.0,0.5879175720217893,0.0,-0.028265267885661416,,-0.0808249340390433,1.8796403143965865,1.0,,0.05263157894736842,1.7807118767967662,1.7807118767967662,1.0,1.0937216777261456,0.09372167772614559,0.9473684210526322,0.0016808415996907918,3.0,0.9210526315789473,-0.10178042859368883,-0.09892843759982038,1.0937216777261456,1.0156202796210245,-0.07810139810512107,-0.7894736842105242,0.0008115323807746414,36.0,,,,,,,,,,,,,,,,,,
S0009,1.0,0.6628030477663738,1.0,0.6628030477663738,0.0,1.0,-0.3371969522336262,0.3371969522336262,0.7477337407915099,0.0,1.0,0.0,-1.7049284101700186,0.0,-0.13639427281360325,2.0,0.3371969522336262,0.0,0.0,0.0,,-1.295745591729217,-0.13639427281360186,-0.24323645318425616,,0.0,0.0,,0.1111111111111111,-1.5003370009496177,-1.500337000949618,1.0,0.8332958887833758,-0.1667041112166242,-0.49438202247191015,0.004660419063087977,3.0,0.8333333333333334,-0.14501920477093228,-0.13639427281360184,0.7916198609792198,0.6628030477663738,-0.128816813212846,-0.3820224719101124,0.0013950753933075852,16.0,,,,,,,,,,,,,,,,,,
S0010,1.0,0.7221612017787941,1.0,0.7221612017787941,0.0,1.0,-0.27783879822120594,0.27783879822120594,0.7870931579556759,0.0,1.0,0.0,-1.2669449198886973,0.0,-0.10002196735963301,2.0,0.27783879822120594,0.0,0.0,0.0,,-0.8668570504501673,-0.10669009851694315,-0.2014477518050173,,0.0,0.0,,0.16666666666666663,-1.0669009851694313,-1.0557874332405834,1.0,0.8258876864480442,-0.17411231355195578,-0.6266666666666668,0.004412088691864317,4.0,0.7777777777777777,-0.08859088537567583,-0.0848671238202953,0.7999560652807317,0.7221612017787941,-0.07779486350193765,-0.27999999999999997,0.00045866814533014795,15.0,,,,,,,,,,,,,,,,,,
S0013,1.0,0.9694381552646864,1.0,0.9694381552646864,0.0,0.6666666666666667,-0.030561844735313648,0.040749126313751494,0.9793424567992789,0.027777777777777776,0.19444444444444445,0.18337106841188114,-0.18337106841188533,0.18337106841188114,-0.18337106841188114,5.0,0.030561844735313648,0.0,0.005093640789218923,0.16666666666666607,,-0.18337106841187714,0.0,-0.024684566901599588,-7.021728936582637e-31,0.12988784012508264,2.0,0.27777777777777785,0.05555555555555558,-0.1833710684118791,-0.18337106841187914,1.0,0.9898127184215623,-0.010187281578437735,-0.3333333333333285,1.7296784326396136e-05,3.0,0.16666666666666674,-0.039293800373975396,-0.03667421368237703,0.9898127184215623,0.9847190776323432,-0.005093640789219034,-0.16666666666666968,6.353920772962262e-06,7.0,0.08333333333333326,-0.11002264104712889,-0.1069664565735975,0.9847190776323432,0.9745317960539054,-0.010187281578437846,-0.33333333333333215,1.2972588244797386e-05,4.0,0.33333333333333326,-7.021728936582637e-31,0.0,0.9694381552646864,0.9694381552646864,0.0,0.0,1.232595164407831e-32,13.0
S0014,1.0,0.4957295618673236,1.0,0.4957295618673236,0.0,1.0,-0.5042704381326764,0.5042704381326764,0.7777899205703231,0.0,0.9722222222222222,0.0,-1.1002264104712864,0.0,-0.5501132052356452,2.0,0.5042704381326764,0.0,0.0,0.0,,-0.5501132052356434,-0.5675771165129697,-0.5098567781731996,,0.0,0.0,,0.3333333333333333,-0.30427506956257383,-0.2907741227674123,1.0,0.8930335434264021,-0.10696645657359793,-0.21212121212121196,0.0010543874090564423,13.0,0.638888888888889,-0.6325504594695107,-0.6316114578631504,0.887939902637183,0.4957295618673236,-0.39221034076985944,-0.7777777777777779,0.014849109169374855,24.0,,,,,,,,,,,,,,,,,,
S0016,1.0,0.9752123451473669,1.0123938274263165,0.9690154314342087,0.2222222222222222,0.36507936507936506,-0.024787654852633123,0.16111975654211497,0.9816059862799902,0.1746031746031746,0.20634920634920634,0.3904055639289899,-0.7808111278579506,0.3904055639289682,-0.3904055639289682,5.0,0.0433783959921078,0.018590741139474898,0.037181482278949574,0.8571428571428579,0.11851597476415132,-0.3904055639289752,-0.030031197225305253,-0.0023763816934807926,0.0014283130387644967,0.997703107818482,2.0,0.1746031746031746,0.031746031746031744,-0.7808111278579434,-0.7808111278579434,1.0,0.9752123451473669,-0.024787654852633123,-0.5714285714285736,0.00010240463884887773,3.0,0.09523809523809523,-0.3904055639289702,-0.39040556392896997,1.0123938274263165,0.9752123451473669,-0.037181482278949574,-0.8571428571428579,0.00015360695827331544,7.0,0.15873015873015872,0.017745707451316737,0.0,0.9752123451473669,0.9752123451473669,0.0,0.0,5.712655472974483e-06,11.0,0.4920634920634921,-0.015455938747921097,0.0,0.9814092588605251,0.9752123451473669,-0.006196913713158225,-0.14285714285714213,1.140051643434763e-05,32.0
S0017,1.0,0.7967613001519107,1.0,0.7967613001519107,0.0,1.0,-0.2032386998480893,0.2032386998480893,0.9190075695891573,0.0,0.47619047619047616,0.0,-0.7760023085108982,0.0,-0.38800115425544623,3.0,0.2032386998480893,0.0,0.0,0.0,,0.0,-0.2622205602935138,-0.2217415937197486,,0.0,0.0,,0.3492063492063492,-0.047925043756849195,-0.04311123936171696,1.0,0.9753650060790194,-0.024634993920980564,-0.12121212121212142,3.212234766281554e-05,23.0,0.15873015873015878,-0.4761832347680435,-0.46560138510653337,0.9753650060790194,0.9076187727963231,-0.06774623328269636,-0.333333333333333,0.0005818051186484509,11.0,0.46031746031746035,-0.24108725780543983,-0.2425007214096518,0.9076187727963231,0.7967613001519107,-0.11085747264441237,-0.5454545454545456,0.0011067605907088501,30.0,,,,,,,,,
S0018,1.0,0.672676703176604,1.0,0.672676703176604,0.0,1.0,-0.327323296823396,0.327323296823396,0.7518847445553425,0.0,1.0,0.0,-1.7457242497247802,0.0,-0.13428648074806115,2.0,0.327323296823396,0.0,0.0,0.0,,-1.2085783267325363,-0.10742918459844816,-0.23895094368404776,,0.0,0.0,,0.12499999999999999,-1.477151288228658,-1.4771512882286582,1.0,0.8153560889714178,-0.18464391102858224,-0.5641025641025638,0.005744843073431899,3.0,0.8125,-0.13502431855436792,-0.13428648074805952,0.7901773738311565,0.672676703176604,-0.1175006706545525,-0.35897435897435925,0.0011760208580557892,14.0,,,,,,,,,,,,,,,,,,
S0019,1.0,0.7287260742091828,1.0,0.7287260742091828,0.0,1.0,-0.2712739257908172,0.2712739257908172,0.7916636800981509,0.0,1.0,0.0,-1.183740767087202,0.0,-0.0986450639239339,2.0,0.2712739257908172,0.0,0.0,0.0,,-0.8549238873407538,-0.08549238873407582,-0.20405988713676457,,0.0,0.0,,0.18749999999999997,-0.9667216264545482,-0.9645295139229062,1.0,0.8232609271362858,-0.17673907286371415,-0.6515151515151512,0.004589843644000971,4.0,0.75,-0.08816628423970625,-0.08768450126571858,0.7985996611553025,0.7287260742091828,-0.06987358694611967,-0.2575757575757579,0.00042924334366140234,13.0,,,,,,,,,,,,,,,,,,
S0020,1.0,0.5555614929952702,1.0,0.5555614929952702,0.0,1.0,-0.44443850700472975,0.44443850700472975,0.6985353173032572,0.0,0.8648648648648649,0.0,-2.8607536083063185,0.0,-0.4086790869008979,2.0,0.44443850700472975,0.0,0.0,0.0,,-0.8173581738017919,-0.31938785783011625,-0.3442789358592237,,0.0,0.0,,0.125,-1.5938484389135137,-1.6347163476036033,1.0,0.8160944108945947,-0.18390558910540533,-0.4137931034482757,0.004817007686137911,6.0,0.85,-0.2652388996827361,-0.2600685098460278,0.8007689451358109,0.5555614929952702,-0.24520745214054063,-0.5517241379310347,0.00464194262124667,32.0,,,,,,,,,,,,,,,,,,
S0021,1.0,0.7714325897681685,1.0,0.7714325897681685,0.0,0.975,-0.22856741023183147,0.22856741023183147,0.8373137844820494,0.0,0.55,0.0,-1.882319848968026,0.0,-0.2689028355668641,3.0,0.22856741023183147,0.0,0.0,0.0,,-1.882319848968026,-0.10756113422674371,-0.170145368283159,0.0,0.0,0.0,,0.04999999999999997,-1.4789655956177346,-1.4789655956177348,1.0,0.9260517202191133,-0.0739482797808867,-0.32352941176470607,0.0009339878267720173,3.0,0.42500000000000004,-0.2153442728584971,-0.21512226845348884,0.9126065784407703,0.8252131568815407,-0.08739342155922958,-0.3823529411764701,0.0007883660688344432,18.0,0.475,-0.08350140683391986,-0.08273933402057262,0.8184905859923691,0.7714325897681685,-0.04705799622420059,-0.20588235294117646,0.00015941816414217518,20.0,,,,,,,,,
