sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0001,1.0,0.9034446080688839,1.0,0.9034446080688839,0.0,1.0,-0.09655539193111606,0.1037076431852727,0.9459323863525056,0.015873015873015872,0.4126984126984127,0.22529591450593492,-0.4505918290118838,0.22529591450593492,-0.22529591450594103,4.0,0.09655539193111606,0.0,0.0035761256270783193,0.03703703703703649,,0.0,-0.037136689204275763,-0.0934709835777612,,0.0,0.0,,0.2698412698412698,-0.16368248071432379,-0.16092565321852834,1.0,0.9570864924750596,-0.042913507524940386,-0.44444444444444353,0.00018504106808343051,18.0,0.22222222222222227,-0.04747306769946582,-0.045059182901188224,0.9606626181021379,0.9499342412209028,-0.01072837688123518,-0.11111111111111174,1.1595064880586533e-05,15.0,0.20634920634920628,-0.11735193788551163,-0.11264795725297126,0.9463581155938247,0.9213252362042758,-0.0250328793895489,-0.2592592592592623,5.931074041371489e-05,14.0,0.25396825396825395,-0.03975810255987141,-0.037549319084323504,0.9177491105771972,0.9034446080688839,-0.014304502508313277,-0.14814814814814595,1.1239873090533758e-05,17.0
S0002,1.0,0.3443376156728804,1.0,0.3443376156728804,0.0,1.0,-0.6556623843271197,0.6556623843271195,0.7382893502172547,0.0,1.0,0.0,-1.3469585938894295,0.0,-0.6734792969446977,2.0,0.6556623843271197,0.0,0.0,0.0,,-0.44898619796312245,-1.1705711589753194,-0.582762087921727,,0.0,0.0,,0.7142857142857141,-0.45091062230839923,-0.44898619796313677,1.0,0.6507885126953387,-0.34921148730466134,-0.5326086956521736,0.009107781793200504,46.0,0.26984126984127,-1.127330670427565,-1.1224654949078459,0.6436617476483046,0.3443376156728804,-0.29932413197542423,-0.45652173913043487,0.008633021751055134,18.0,,,,,,,,,,,,,,,,,,
S0026,1.0,0.8937743493217083,1.0,0.8937743493217083,0.0,1.0,-0.1062256506782917,0.1062256506782917,0.9624124620676815,0.0,0.48717948717948717,0.0,-0.4142800376453347,0.0,-0.20714001882266828,3.0,0.1062256506782917,0.0,0.0,0.0,,0.0,-0.2367314500830504,-0.09820690948684499,,0.0,0.0,,0.1282051282051282,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.6153846153846154,-0.08922954656976508,-0.08877429378114389,0.9946887174660854,0.9415758921269397,-0.05311282533914574,-0.49999999999999895,0.00027641014156420013,25.0,0.20512820512820507,-0.23130635435198071,-0.20714001882267152,0.9415758921269397,0.8937743493217083,-0.04780154280523141,-0.45000000000000134,0.00023682235883265492,9.0,,,,,,,,,
S0027,1.0,0.5034132116101964,1.0,0.5034132116101964,0.0,1.0,-0.49658678838980364,0.49658678838980364,0.811264161071038,0.0,1.0,0.0,-1.041230362752813,0.0,-0.416492145101127,2.0,0.49658678838980364,0.0,0.0,0.0,,-0.2082460725505654,-0.8528172494927814,-0.47238257789354204,,0.0,0.0,,0.641025641025641,-0.343161049467936,-0.34299353125975035,1.0,0.7864142845635252,-0.21358571543647475,-0.4301075268817206,0.004383729297617837,26.0,0.33333333333333326,-0.8014041165627155,-0.8009464328867801,0.7703953559057897,0.5034132116101964,-0.2669821442955933,-0.5376344086021504,0.006873231549782504,14.0,,,,,,,,,,,,,,,,,,
S0097,1.0,0.6604245240212975,1.1282840687030653,0.6604245240212975,0.31034482758620685,1.0,-0.3395754759787025,0.6112358567616644,1.0118396047180314,0.1724137931034483,0.5862068965517241,1.7507002317124236,-1.094187644820266,0.21883752896405323,-1.094187644820259,3.0,0.4678595446817678,0.0,0.1282840687030653,0.27419354838709664,0.28382564362610496,0.0,-1.044167638199908,-0.3948812452563812,,1.6899120292224128,1.0,,0.06896551724137931,1.6412814672304006,1.6412814672304004,1.0,1.1131918253262345,0.11319182532623451,0.2419354838709685,0.002138561773032818,3.0,0.4482758620689655,-0.04857712181399913,-0.04863056199201249,1.1131918253262345,1.098099581949403,-0.01509224337683146,-0.032258064516129545,0.00010139509915916027,14.0,0.4137931034482759,-1.0352698485607112,-1.0394782625792502,1.0905534602609874,0.6604245240212975,-0.43012893623968995,-0.9193548387096778,0.01784670644995099,13.0,,,,,,,,,
S0098,1.0,1.0912419833705942,1.2205014598122697,1.0,0.3076923076923077,0.0,0.09124198337059419,0.3497609362539451,1.1742955836181868,0.3076923076923077,0.34615384615384615,1.1861457838177332,-0.5930728919088537,0.691918373893671,-0.3953819279392443,3.0,0.12925947644167546,0.22050145981226965,0.22050145981226965,1.0,0.7050977714916479,0.0,-0.4010302411955185,,0.029569161277507368,0.0,0.0,,0.1923076923076923,0.9602132535667308,0.9884548198481053,1.0,1.1824839667411886,0.1824839667411886,0.8275862068965514,0.004040499694438644,6.0,0.42307692307692313,0.03525258448409357,0.0,1.1976909639696207,1.2205014598122697,0.022810495842648937,0.10344827586207056,5.259394475074251e-05,12.0,0.3076923076923076,-0.4019716267382292,-0.39538192793924276,1.2128979611980535,1.0912419833705942,-0.1216559778274593,-0.5517241379310353,0.0015987845461124448,9.0,,,,,,,,,
S0155,1.0,0.9676899193683404,1.047388118259767,0.9676899193683404,0.4920634920634921,1.0,-0.03231008063165963,0.14431836015474553,1.0195740964673279,0.23809523809523808,0.47619047619047616,0.4071070159589172,-0.4071070159588987,0.13570233865297723,-0.13570233865297746,3.0,0.07969819889142671,0.0,0.047388118259767076,0.5945945945945926,0.052505065413566504,-0.13570233865297746,-0.11035135231120552,-0.06321280871272841,,0.0,0.0,,0.11111111111111109,0.36025739904300086,0.37318143129566406,1.0,1.038772096757991,0.03877209675799098,0.4864864864864816,0.00017275778769035841,8.0,0.4285714285714286,-0.004493700869461101,0.0,1.040926102133435,1.0344640860071028,-0.006462016126332237,-0.08108108108108537,7.450805611248988e-06,28.0,0.4285714285714285,-0.11828460553084533,-0.11631629027397467,1.030156075256215,0.9676899193683404,-0.06246615588787474,-0.7837837837837807,0.00024672878215930275,28.0,,,,,,,,,
S0156,1.0,1.040926102133435,1.0430801075088791,1.0,0.30645161290322587,0.0,0.04092610213343506,0.06677416663876357,1.036427010260532,0.3225806451612903,0.0967741935483871,0.2670966665550656,-0.13354833327753393,0.13354833327753302,-0.13354833327753302,2.0,0.006462016126332015,0.04308010750887914,0.04308010750887914,1.0,0.14660192976329836,0.0,-0.013941858968533517,,0.022386270151935405,0.0,0.0,,0.2258064516129033,0.1779054582589881,0.17806444437003235,1.0,1.038772096757991,0.03877209675799098,0.8999999999999944,0.0001555652986832799,15.0,0.7580645161290323,-0.0031458953887564443,0.0,1.040926102133435,1.040926102133435,0.0,0.0,1.739902184040706e-06,48.0,,,,,,,,,,,,,,,,,,
S0157,1.0,1.0322406341324302,1.042987512176574,1.0,0.31147540983606553,0.0,0.03224063413243017,0.10961815605026293,1.0312011819937346,0.4426229508196721,0.2786885245901639,0.2622238242771255,-0.26222382427708485,0.13111191213854875,-0.1311119121385483,4.0,0.021493756088287075,0.04298751217657393,0.04298751217657393,1.0,0.1404770487198756,0.0,0.02593422437905354,,0.008851729657864345,0.20759386088603968,2.0,0.5901639344262296,0.2459016393442623,0.1631186436311967,0.1638898901731884,1.0,1.0386887609589166,0.0386887609589166,0.9000000000000016,0.00015389760410451127,16.0,0.3442622950819674,-0.04427155474808254,-0.04370397071285128,1.0408381365677453,1.0322406341324302,-0.008597502435315096,-0.20000000000000723,2.63062221892013e-05,22.0,0.21311475409836067,-0.059360558023168544,-0.06555595606927564,1.036539385350088,1.0257925073059444,-0.010746878044143537,-0.2500000000000013,2.404189703053236e-05,14.0,0.14754098360655732,0.07231020608853381,0.06555595606927438,1.0236431316971155,1.0322406341324302,0.008597502435314652,0.1999999999999969,1.3166474197309002e-05,10.0
S0158,1.0,1.0107932756509908,1.1122500667703035,1.0,0.43548387096774194,0.0,0.010793275650990752,0.21802416815001213,1.0560379908395792,0.45161290322580644,0.41935483870967744,0.6691830903614295,-0.535346472289139,0.13383661807230182,-0.2676732361445622,2.0,0.10145679111931272,0.11225006677030347,0.11225006677030347,1.0,0.2471252496260825,-0.1338366180722882,-0.2757622625115761,,0.021123982345510425,0.32772812886931313,1.0,,0.3709677419354838,0.2083196055212084,0.17844882409637952,1.0,1.090663515468322,0.09066351546832196,0.807692307692307,0.0005716011484587058,24.0,0.6129032258064515,-0.14554054904540756,-0.14927930477293358,1.0971394808589163,1.0107932756509908,-0.08634620520792557,-0.7692307692307677,0.0007491205343727094,39.0,,,,,,,,,,,,,,,,,,
