sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,1.0,0.8494901752885539,1.0,0.8494901752885539,0.0,1.0,-0.15050982471144614,0.1766854464003932,0.9123461089495125,0.23529411764705882,0.6470588235294118,0.0621671015112507,-0.8703394211574933,0.062167101511248796,-0.18650130453374805,3.0,0.15050982471144614,0.0,0.006543905422236818,0.04347826086956541,,-0.8703394211574933,-0.2735352466494979,-0.09623126672289296,,0.0,0.0,,0.2105263157894737,-0.3514832277751412,-0.38854438444530914,1.0,0.9182011822220402,-0.08179881777795983,-0.5434782608695651,0.0011205272689172104,3.0,0.36842105263157904,-0.017762029003214067,-0.012951479481510144,0.9214731349331585,0.908385324088685,-0.013087810844473524,-0.08695652173913009,1.538940715670526e-05,8.0,0.3157894736842104,-0.11545318852089186,-0.08703394211574902,0.8952975132442114,0.8494901752885539,-0.0458073379556575,-0.3043478260869564,0.00022328978334201045,7.0,,,,,,,,,
S0006,1.0,0.9382370692660736,1.0,0.9382370692660736,0.0,0.8947368421052634,-0.06176293073392636,0.06176293073392636,0.9629593504047229,0.0,0.7368421052631579,0.0,-0.18528879220177855,0.0,-0.06176293073392641,3.0,0.06176293073392636,0.0,0.0,0.0,,-0.061762930733926184,-0.03705775844035581,-0.06259153558381396,0.0,0.0,0.0,,0.2105263157894737,-0.10499698224767462,-0.10036476244263018,1.0,0.9772452360453956,-0.022754763954604407,-0.36842105263157826,6.509225267345615e-05,5.0,0.42105263157894746,-0.03705775844035588,-0.03705775844035597,0.9707438749155087,0.9544904720907912,-0.016253402824717544,-0.2631578947368434,2.687390582558133e-05,9.0,0.2631578947368419,-0.05470431007862042,-0.061762930733926184,0.9512397915258476,0.9382370692660736,-0.013002722259773947,-0.2105263157894733,2.7297887349528372e-05,6.0,,,,,,,,,
S0007,0.971970216501664,0.6963440121013592,1.0,0.6963440121013592,0.13333333333333325,1.0,-0.27562620440030483,0.33168577139697675,0.8802505360543309,0.13333333333333333,0.8666666666666667,0.2802978349833622,-0.6306701287125617,0.21022337623751985,-0.3503722937292004,3.0,0.3036559878986408,0.0,0.02802978349833596,0.09230769230769192,0.21022337623751983,-0.28029783498336175,-0.4344616442242093,-0.2998774631623455,,0.0,0.0,,0.5333333333333333,-0.19270476155106062,-0.2511001438392602,0.971970216501664,0.8785376048405437,-0.09343261166112038,-0.30769230769230815,0.0013875837205975666,9.0,0.20000000000000018,-0.35037229372920076,-0.3503722937292006,0.8551794519252636,0.7851049931794234,-0.07007445874584017,-0.23076923076923075,0.000682004134517008,4.0,0.1333333333333333,-0.4905212112208816,-0.4905212112208816,0.7617468402641434,0.6963440121013592,-0.0654028281627842,-0.21538461538461548,0.0007323208839969301,3.0,,,,,,,,,
S0008,0.9099773613867971,0.9715717983326728,1.0,0.9099773613867971,0.33333333333333326,0.0,0.06159443694587574,0.1279269075029722,0.9837327512681404,0.26666666666666666,0.4,1.0660575625247726,-0.14214100833663815,0.14214100833663565,-0.07107050416831735,3.0,0.03316623527854823,0.09002263861320292,0.09002263861320292,1.0,0.21118092667157376,0.0,0.007107050416831575,,0.00041806178922547285,0.0,0.0,,0.13333333333333333,0.6396345375148631,0.6396345375148632,0.9099773613867971,0.9952619663887788,0.08528460500198176,0.9473684210526321,0.0013918356750658378,3.0,0.39999999999999997,-0.010152929166902306,0.0,0.9952619663887788,0.9905239327775578,-0.004738033611221049,-0.05263157894736667,9.162841837167755e-06,7.0,0.33333333333333337,-0.028428201667327145,-0.028428201667327287,0.9810478655551153,0.9715717983326728,-0.00947606722244243,-0.10526315789473703,1.9954633334276878e-05,6.0,,,,,,,,,
S0013,1.0,0.9796254368431243,1.0,0.9796254368431243,0.0,0.7142857142857141,-0.02037456315687569,0.02037456315687569,0.9861744035721202,0.0,0.2857142857142857,0.0,-0.07131097104906656,0.0,-0.07131097104906503,2.0,0.02037456315687569,0.0,0.0,0.0,,-0.07131097104906334,0.0,-0.021393291314719606,1.207943261119673e-30,0.0,0.0,,0.42857142857142855,-0.020374563156875525,-0.014262194209812985,1.0,0.9898127184215623,-0.010187281578437735,-0.49999999999999456,1.376682834141738e-05,7.0,0.5000000000000001,-0.012734101973047305,-0.011036221709974332,0.9847190776323432,0.9796254368431243,-0.005093640789218923,-0.25,6.0809007397487745e-06,8.0,,,,,,,,,,,,,,,,,,
S0014,1.0,0.8828462618479642,1.0,0.8828462618479642,0.0,1.0,-0.11715373815203578,0.11715373815203578,0.92741561875363,0.0,0.9285714285714286,0.0,-0.21393291314719645,0.0,-0.14262194209813,3.0,0.11715373815203578,0.0,0.0,0.0,,-0.21393291314719465,-0.071310971049065,-0.10925859492874652,,0.0,0.0,,0.28571428571428575,-0.19967071893738256,-0.21393291314719465,1.0,0.9439699513185916,-0.05603004868140837,-0.478260869565217,0.0004088959814760167,5.0,0.2857142857142858,-0.07844206815397124,-0.07131097104906559,0.9337826697401538,0.9134081065832781,-0.02037456315687569,-0.17391304347826003,6.849526593253016e-05,5.0,0.2857142857142855,-0.07131097104906514,-0.07131097104906499,0.9032208250048399,0.8828462618479642,-0.02037456315687569,-0.17391304347826003,5.189035297918977e-05,5.0,,,,,,,,,
S0015,1.0,0.5843209733418633,1.0,0.5843209733418633,0.0,1.0,-0.4156790266581367,0.4284691505553102,0.6757703592066534,0.04,0.72,0.15987654871466847,-1.9185185845760202,0.15987654871466847,-0.31975309742933694,3.0,0.4156790266581367,0.0,0.006395061948586744,0.015384615384615446,,-1.9185185845760202,-0.027407408351086057,-0.34238177817048887,,0.0,0.0,,0.08,-1.5987654871466792,-1.5987654871466792,1.0,0.8720987610282657,-0.12790123897173433,-0.3076923076923076,0.0027628072149296825,3.0,0.12000000000000001,-0.8633333630592073,-0.9059671093831174,0.8465185132339187,0.7441975220565312,-0.10232099117738747,-0.24615384615384608,0.0015029580367401205,4.0,0.72,-0.13014512035720333,-0.10658436580977854,0.705827150365011,0.5843209733418633,-0.1215061770231477,-0.29230769230769243,0.0010843887408503521,19.0,,,,,,,,,
S0016,0.9877578990600687,0.9632736971802057,1.0,0.95715264671024,0.56,0.92,-0.024484201879863,0.11017890845938294,0.974291588026144,0.28,0.36,0.15302626174915374,-0.3060525234982903,0.15302626174914222,-0.15302626174914263,3.0,0.04284735328975997,0.006121050469965694,0.036726302819794276,0.8571428571428575,0.04645440088813247,-0.15302626174914263,-0.01748871562847342,-0.000931464201951358,0.07651313087457123,0.0,0.0,,0.32000000000000006,-0.0280548146540097,0.0,0.9877578990600687,0.9755157981201373,-0.012242100939931388,-0.285714285714285,6.660846018820995e-05,9.0,0.35999999999999993,-0.004637159446943159,0.0,0.9816368485901026,0.9755157981201373,-0.00612105046996525,-0.14285714285713214,4.833276392406963e-05,10.0,0.24,-0.03279134180338765,-0.03825656543728561,0.9693947476501714,0.9632736971802057,-0.006121050469965694,-0.1428571428571425,1.5292758716680505e-05,7.0,,,,,,,,,
S0017,1.0,0.9692062575987743,1.0,0.9692062575987743,0.0,1.0,-0.030793742401225677,0.030793742401225677,0.988298377887534,0.0,0.2,0.0,-0.153968712006139,0.0,-0.1539687120061277,3.0,0.030793742401225677,0.0,0.0,0.0,,0.0,-0.07918390903172248,-0.023161105395793875,,0.0,0.0,,0.32,-0.023095306800918754,-0.009623044500382816,1.0,0.993841251519755,-0.006158748480245002,-0.19999999999999568,8.428929520648916e-06,9.0,0.43999999999999984,-2.962969145211134e-31,0.0,0.9876825030395094,0.9876825030395094,0.0,0.0,1.232595164407831e-32,12.0,0.16000000000000014,-0.061587484802452165,-0.06415363000255407,0.9815237545592648,0.9692062575987743,-0.012317496960490448,-0.4000000000000058,1.5172073137169145e-05,5.0,,,,,,,,,
S0020,1.0,0.6985991734105856,1.0,0.6985991734105856,0.0,1.0,-0.30140082658941436,0.30140082658941436,0.7967779384277942,0.0,1.0,0.0,-1.1443014433225274,0.0,-0.2043395434504508,3.0,0.30140082658941436,0.0,0.0,0.0,,-0.3269432695207168,-0.1307773078082881,-0.27105039440045053,,0.0,0.0,,0.18749999999999992,-0.7764902651117124,-0.7356223564216222,1.0,0.862070808170946,-0.13792919182905405,-0.45762711864406785,0.003058201832339252,4.0,0.25000000000000006,-0.24520745214054068,-0.24520745214054065,0.8365283652396397,0.7752265022045045,-0.061301863035135185,-0.20338983050847478,0.0004760029987999399,5.0,0.4375,-0.1401185440803088,-0.14157811224781197,0.7599010364457207,0.6985991734105856,-0.061301863035135074,-0.2033898305084744,0.0004044981623574041,8.0,,,,,,,,,
