sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,0.9058614564831278,-0.7282415630550635,0.9058614564831278,-0.7282415630550635,0.0,1.0,-1.6341030195381911,1.9182948490230922,-0.0458072356735532,0.23529411764705882,0.6470588235294118,0.6749555950266412,-9.449378330373033,0.6749555950266397,-2.024866785079917,4.0,1.6341030195381911,0.0,0.07104795737122524,0.04347826086956493,,-9.449378330373033,-2.969804618117238,-1.0447942772330232,,0.0,0.0,,0.2105263157894737,-3.8160950949583343,-4.218472468916527,0.9058614564831278,0.01776198934280631,-0.8880994671403215,-0.5434782608695654,0.1320844204533151,3.0,0.36842105263157904,-0.192844455721897,-0.14061574896388324,0.05328596802841892,-0.08880994671403154,-0.14209591474245048,-0.08695652173912986,0.0018140575261302982,8.0,0.1578947368421052,-0.2024866785079916,-0.11249259917110654,-0.23090586145648323,-0.2664298401420958,-0.03552397868561258,-0.02173913043478244,0.000867592729888403,4.0,0.10526315789473661,-4.049733570159881,-4.049733570159882,-0.30195381882770844,-0.7282415630550635,-0.42628774422735505,-0.2608695652173918,0.03056730749344246,3.0
S0006,0.664819944598336,-0.38781163434903015,0.664819944598336,-0.38781163434903015,0.0,0.8947368421052634,-1.0526315789473661,1.0526315789473661,0.03353258492491613,0.0,0.7368421052631579,0.0,-3.1578947368420844,0.0,-1.0526315789473655,3.0,1.0526315789473661,0.0,0.0,0.0,,-1.0526315789473615,-0.6315789473684186,-1.0667535712345868,0.0,0.0,0.0,,0.2105263157894737,-1.7894736842105163,-1.7105263157894643,0.664819944598336,0.2770083102493078,-0.38781163434902827,-0.36842105263157765,0.018907160012584127,5.0,0.42105263157894746,-0.6315789473684197,-0.6315789473684212,0.16620498614958543,-0.11080332409972236,-0.2770083102493078,-0.263157894736843,0.007805986376848559,9.0,0.2631578947368419,-0.9323308270676645,-1.0526315789473613,-0.16620498614958543,-0.38781163434903015,-0.22160664819944473,-0.21052631578947295,0.007929139074541491,6.0,,,,,,,,,
S0007,0.30769230769230804,-0.7601809954751133,0.416289592760181,-0.7601809954751133,0.13333333333333325,1.0,-1.0678733031674215,1.2850678733031673,-0.047662141779789086,0.13333333333333333,0.8666666666666667,1.0859728506787383,-2.4434389140271477,0.814479638009048,-1.3574660633484144,4.0,1.1764705882352944,0.0,0.10859728506787297,0.09230769230769201,0.8144796380090478,-1.0859728506787365,-1.6832579185520369,-1.1618312483364388,,0.0,0.0,,0.2666666666666666,-0.1085972850678757,-0.06787330316742225,0.30769230769230804,0.27149321266968285,-0.036199095022625194,-0.03076923076923141,0.0023062590856043137,5.0,0.13333333333333336,-1.2217194570135737,-1.2217194570135739,0.21719457013574636,0.054298642533936486,-0.16289592760180988,-0.13846153846153836,0.004440713517104251,3.0,0.20000000000000007,-1.3574660633484177,-1.3574660633484177,-0.05429864253393691,-0.3257918552036206,-0.2714932126696837,-0.2307692307692311,0.01023730062857029,4.0,0.19999999999999984,-1.6832579185520369,-1.5384615384615405,-0.4162895927601814,-0.7601809954751133,-0.3438914027149319,-0.29230769230769205,0.016133985790626713,4.0
S0008,-1.600000000000008,-0.300000000000004,0.29999999999999694,-1.600000000000008,0.33333333333333326,0.0,1.300000000000004,2.7000000000000006,-0.04333333333333629,0.26666666666666666,0.4,22.50000000000009,-3.0000000000000293,2.999999999999994,-1.4999999999999956,3.0,0.6999999999999984,1.900000000000005,1.900000000000005,1.0,4.457142857142869,0.0,0.14999999999999616,,0.00882352941176568,0.0,0.0,,0.13333333333333333,13.500000000000037,13.500000000000039,-1.600000000000008,0.19999999999999718,1.8000000000000052,0.9473684210526317,0.620000000000004,3.0,0.39999999999999997,-0.21428571428571,0.0,0.19999999999999718,0.09999999999999977,-0.09999999999999741,-0.05263157894736692,0.004081632653061128,7.0,0.33333333333333337,-0.6000000000000025,-0.6000000000000055,-0.10000000000000211,-0.300000000000004,-0.20000000000000187,-0.10526315789473754,0.008888888888888872,6.0,,,,,,,,,
S0013,0.9090909090909031,-0.3030303030303054,0.9090909090909031,-0.3030303030303054,0.0,0.7142857142857141,-1.2121212121212084,1.2121212121212084,0.08658008658008674,0.0,0.2857142857142857,0.0,-4.242424242424291,0.0,-4.242424242424278,4.0,1.2121212121212084,0.0,0.0,0.0,,-4.242424242424089,0.0,-1.2727272727272745,0.0,0.0,0.0,,0.1428571428571429,-4.242424242424182,-4.242424242424182,0.9090909090909031,0.3030303030303054,-0.6060606060605976,-0.4999999999999946,0.06121824303642315,3.0,0.21428571428571427,0.0,0.0,0.3030303030303054,0.3030303030303054,0.0,0.0,0.0,4.0,0.14285714285714302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2857142857142859,0.0,0.0,-0.3030303030303054,-0.3030303030303054,0.0,0.0,0.0,5.0
S0014,0.7920792079207915,-0.34653465346534584,0.7920792079207915,-0.34653465346534584,0.0,1.0,-1.1386138613861374,1.138613861386137,0.08663366336633727,0.0,0.9285714285714286,0.0,-2.07920792079208,0.0,-1.3861386138613832,4.0,1.1386138613861374,0.0,0.0,0.0,,-2.0792079207920646,-0.6930693069306915,-1.0618811881188117,,0.0,0.0,,0.14285714285714285,-2.079207920792072,-2.079207920792072,0.7920792079207915,0.49504950495049543,-0.297029702970296,-0.2608695652173907,0.014704440741103712,3.0,0.2142857142857144,-1.1782178217821802,-1.2706270627062706,0.346534653465348,0.09900990099009974,-0.24752475247524827,-0.21739130434782697,0.009037104205470093,4.0,0.21428571428571452,-0.6237623762376235,-0.6930693069306798,0.0,-0.14851485148514854,-0.14851485148514854,-0.13043478260869582,0.0029102538966768194,4.0,0.2142857142857142,-0.6930693069306897,-0.6930693069306898,-0.1980198019801984,-0.34653465346534584,-0.14851485148514745,-0.13043478260869487,0.0030634251543965926,4.0
S0015,1.2000000000000004,-0.10000000000000017,1.2000000000000004,-0.10000000000000017,0.0,1.0,-1.3000000000000005,1.3400000000000007,0.18599999999999997,0.04,0.72,0.5000000000000022,-6.000000000000015,0.5000000000000022,-1.0000000000000044,4.0,1.3000000000000005,0.0,0.020000000000000108,0.015384615384615462,,-6.000000000000015,-0.08571428571428617,-1.070769230769231,,0.0,0.0,,0.15999999999999995,-3.4000000000000017,-3.250000000000001,1.2000000000000004,0.6400000000000002,-0.5600000000000002,-0.43076923076923074,0.039424000000000015,5.0,0.08000000000000002,-2.999999999999997,-2.9999999999999973,0.5199999999999999,0.2800000000000001,-0.23999999999999982,-0.1846153846153844,0.009599999999999985,3.0,0.11999999999999994,-1.0000000000000002,-1.0,0.17999999999999988,0.05999999999999996,-0.11999999999999991,-0.0923076923076922,0.0019999999999999996,4.0,0.52,-0.1582417582417583,-0.1363636363636363,0.020000000000000108,-0.10000000000000017,-0.12000000000000027,-0.09230769230769248,0.0008489795918367363,14.0
S0016,0.43478260869565366,-0.2608695652173947,0.7826086956521716,-0.43478260869565366,0.56,0.92,-0.6956521739130483,3.130434782608699,0.05217391304347609,0.28,0.36,4.347826086956792,-8.695652173913183,4.347826086956471,-4.347826086956548,5.0,1.2173913043478253,0.17391304347825898,1.0434782608695663,0.8571428571428586,1.3198757763975135,-4.347826086956482,-0.496894409937883,-0.026465028355388342,2.1739130434782394,0.0,0.0,,0.27999999999999997,-1.6045548654244464,0.0,0.43478260869565366,-0.08695652173913258,-0.5217391304347863,-0.4285714285714319,0.05623818525519943,8.0,0.08000000000000002,2.1739130434781204,2.173913043478121,0.08695652173913258,0.2608695652173823,0.1739130434782497,0.14285714285713377,0.006721277042637239,3.0,0.07999999999999985,-4.347826086956444,-4.347826086956444,0.2608695652173823,-0.08695652173913258,-0.3478260869565149,-0.2857142857142803,0.02016383112791351,3.0,0.19999999999999996,-0.496894409937883,0.0,-0.2608695652173947,-0.2608695652173947,0.0,0.0,0.006721277042637956,6.0
S0017,0.5000000000000111,-0.74999999999999,0.5000000000000111,-0.74999999999999,0.0,1.0,-1.250000000000001,1.250000000000001,0.02500000000000667,0.0,0.2,0.0,-6.250000000000364,0.0,-6.250000000000022,4.0,1.250000000000001,0.0,0.0,0.0,,0.0,-3.2142857142856873,-0.9401709401709467,,0.0,0.0,,0.07999999999999992,0.0,0.0,0.5000000000000111,0.5000000000000111,0.0,0.0,0.0,3.0,0.20000000000000007,0.0,0.0,0.25000000000001443,0.25000000000001443,0.0,0.0,0.0,6.0,0.43999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.16000000000000014,-2.50000000000003,-2.6041666666666923,-0.24999999999998332,-0.74999999999999,-0.5000000000000067,-0.40000000000000496,0.025000000000000668,5.0
S0020,0.8118081180811801,-0.27675276752767497,0.8118081180811801,-0.27675276752767497,0.0,1.0,-1.0885608856088551,1.0885608856088551,0.07783671586715872,0.0,1.0,0.0,-4.132841328413296,0.0,-0.7380073800738018,4.0,1.0885608856088551,0.0,0.0,0.0,,-1.1808118081180685,-0.47232472324723124,-0.9789450835684822,,0.0,0.0,,0.12499999999999993,-2.656826568265681,-2.656826568265681,0.8118081180811801,0.4797047970479702,-0.33210332103320994,-0.3050847457627118,0.020273265463281922,3.0,0.18750000000000003,-1.1808118081180796,-1.1808118081180807,0.31365313653136523,0.09225092250922527,-0.22140221402213994,-0.2033898305084745,0.006893288490080458,4.0,0.2499999999999999,-0.6199261992619929,-0.5904059040590429,0.036900369003690286,-0.11070110701106999,-0.14760147601476026,-0.13559322033898327,0.0030773001456951845,5.0,0.2500000000000001,-0.5018450184501841,-0.5043050430504307,-0.14760147601475984,-0.27675276752767497,-0.12915129151291513,-0.11864406779661027,0.0019879903596083924,5.0
