sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,1.0,0.8494901752885539,1.0,0.8494901752885539,0.0,1.0,-0.15050982471144614,0.1766854464003932,0.9123461089495125,0.23529411764705882,0.6470588235294118,0.0621671015112507,-0.8703394211574933,0.062167101511248796,-0.18650130453374805,3.0,0.15050982471144614,0.0,0.006543905422236818,0.04347826086956541,,-0.8703394211574933,-0.2735352466494979,-0.09623126672289296,,0.0,0.0,,0.2105263157894737,-0.3514832277751412,-0.38854438444530914,1.0,0.9182011822220402,-0.08179881777795983,-0.5434782608695651,0.0011205272689172104,3.0,0.2631578947368421,-0.0017762029003214515,0.0,0.9214731349331585,0.9214731349331585,0.0,0.0,5.0554574234587695e-06,6.0,0.42105263157894735,-0.12433420302249894,-0.12433420302249823,0.9182011822220402,0.8494901752885539,-0.06871100693348631,-0.456521739130435,0.0003460179747611771,9.0,,,,,,,,,
S0006,1.0,0.9382370692660736,1.0,0.9382370692660736,0.0,0.8947368421052634,-0.06176293073392636,0.06176293073392636,0.9629593504047229,0.0,0.7368421052631579,0.0,-0.18528879220177855,0.0,-0.06176293073392641,2.0,0.06176293073392636,0.0,0.0,0.0,,-0.061762930733926184,-0.03705775844035581,-0.06259153558381396,0.0,0.0,0.0,,0.26315789473684215,-0.11470258564871993,-0.12352586146785033,1.0,0.9707438749155087,-0.02925612508449127,-0.47368421052631315,0.00011065917775023825,6.0,0.6842105263157894,-0.04465934991530074,-0.044116379095661906,0.9674931943505651,0.9382370692660736,-0.02925612508449149,-0.47368421052631676,9.321536647926601e-05,14.0,,,,,,,,,,,,,,,,,,
S0007,1.0,0.7164252569463039,1.0288381094630876,0.7164252569463039,0.13333333333333325,1.0,-0.2835747430536961,0.34125096197987137,0.9056352973680071,0.13333333333333333,0.8666666666666667,0.2883810946308778,-0.6488574629194733,0.2162858209731574,-0.3604763682885965,2.0,0.31241285251678375,0.0,0.028838109463087624,0.09230769230769197,0.21628582097315732,-0.2883810946308773,-0.44699069667786,-0.3085253622705342,,0.5767621892617538,1.0,,0.13333333333333325,0.21628582097315732,0.21628582097315732,1.0,1.0288381094630876,0.028838109463087624,0.09230769230769197,0.0001437396518971648,3.0,0.8,-0.3608724961658368,-0.3604763682885965,1.0096127031543625,0.7164252569463039,-0.2931874462080586,-0.9384615384615385,0.008151514540481849,13.0,,,,,,,,,,,,,,,,,,
S0008,1.0,1.067687878357772,1.0989284375998203,1.0,0.33333333333333326,0.0,0.0676878783577719,0.14058251658921805,1.0810518953668702,0.26666666666666666,0.4,1.1715209715768193,-0.15620279621024416,0.15620279621024252,-0.07810139810512041,2.0,0.036447319115723076,0.09892843759982028,0.09892843759982028,1.0,0.2320727257980748,0.0,0.007810139810512041,,0.0004594199888537861,0.7517259567617927,1.0,,0.13333333333333333,0.7029125829460919,0.7029125829460919,1.0,1.0937216777261456,0.09372167772614559,0.9473684210526322,0.0016808415996907918,3.0,0.8,-0.04806239883392063,-0.04881337381570067,1.0937216777261456,1.067687878357772,-0.02603379936837369,-0.26315789473684137,0.0001729287311000821,13.0,,,,,,,,,,,,,,,,,,
S0013,1.0,0.9796254368431243,1.0,0.9796254368431243,0.0,0.7142857142857141,-0.02037456315687569,0.02037456315687569,0.9861744035721202,0.0,0.2857142857142857,0.0,-0.07131097104906656,0.0,-0.07131097104906503,2.0,0.02037456315687569,0.0,0.0,0.0,,-0.07131097104906334,0.0,-0.021393291314719606,1.207943261119673e-30,0.0,0.0,,0.1428571428571429,-0.07131097104906411,-0.07131097104906411,1.0,0.9898127184215623,-0.010187281578437735,-0.49999999999999456,1.7296784326396136e-05,3.0,0.7857142857142857,-0.016705716994011886,-0.015846882455347933,0.9898127184215623,0.9796254368431243,-0.010187281578437957,-0.5000000000000054,1.927870753046319e-05,12.0,,,,,,,,,,,,,,,,,,
S0014,1.0,0.8828462618479642,1.0,0.8828462618479642,0.0,1.0,-0.11715373815203578,0.11715373815203578,0.92741561875363,0.0,0.9285714285714286,0.0,-0.21393291314719645,0.0,-0.14262194209813,2.0,0.11715373815203578,0.0,0.0,0.0,,-0.21393291314719465,-0.071310971049065,-0.10925859492874652,,0.0,0.0,,0.2142857142857143,-0.21393291314719537,-0.2139329131471954,1.0,0.9541572328970296,-0.045842767102970416,-0.39130434782608603,0.00029188323550794284,4.0,0.7142857142857142,-0.08233175748392098,-0.08022484243019844,0.9439699513185916,0.8828462618479642,-0.06112368947062741,-0.5217391304347829,0.00035079593997502207,11.0,,,,,,,,,,,,,,,,,,
S0015,1.0,0.5843209733418633,1.0,0.5843209733418633,0.0,1.0,-0.4156790266581367,0.4284691505553102,0.6757703592066534,0.04,0.72,0.15987654871466847,-1.9185185845760202,0.15987654871466847,-0.31975309742933694,3.0,0.4156790266581367,0.0,0.006395061948586744,0.015384615384615446,,-1.9185185845760202,-0.027407408351086057,-0.34238177817048887,,0.0,0.0,,0.08,-1.5987654871466792,-1.5987654871466792,1.0,0.8720987610282657,-0.12790123897173433,-0.3076923076923076,0.0027628072149296825,3.0,0.16000000000000003,-0.8953086728021402,-0.9592592922880059,0.8465185132339187,0.705827150365011,-0.1406913628689077,-0.3384615384615382,0.0025781353642475397,5.0,0.6799999999999999,-0.10889424370658486,-0.08720539020800055,0.6738518406220773,0.5843209733418633,-0.08953086728021398,-0.21538461538461517,0.0006674764506829371,18.0,,,,,,,,,
S0016,1.0,0.9752123451473669,1.0123938274263165,0.9690154314342087,0.56,0.92,-0.024787654852633123,0.11154444683684872,0.9863667898310517,0.28,0.36,0.15492284282896426,-0.30984568565791687,0.1549228428289556,-0.1549228428289587,3.0,0.0433783959921078,0.006196913713158225,0.037181482278949574,0.8571428571428579,0.047030148715933036,-0.1549228428289587,-0.01770546775188065,-0.0009430086085241245,0.07746142141447789,0.40279939135528686,2.0,0.4800000000000001,0.08,-0.30984568565791404,-0.30984568565791404,1.0,0.9752123451473669,-0.024787654852633123,-0.5714285714285736,0.00010240463884887773,3.0,0.4400000000000001,0.08992025143219151,0.09295370569737281,0.9752123451473669,1.0123938274263165,0.037181482278949574,0.8571428571428579,0.00016214067817738853,12.0,0.4,-0.0873201477763208,-0.09295370569737446,1.0061969137131581,0.9752123451473669,-0.030984568565791237,-0.7142857142857132,0.00014535534481235188,11.0,,,,,,,,,
S0017,1.0,0.9692062575987743,1.0,0.9692062575987743,0.0,1.0,-0.030793742401225677,0.030793742401225677,0.988298377887534,0.0,0.2,0.0,-0.153968712006139,0.0,-0.1539687120061277,3.0,0.030793742401225677,0.0,0.0,0.0,,0.0,-0.07918390903172248,-0.023161105395793875,,0.0,0.0,,0.32,-0.023095306800918754,-0.009623044500382816,1.0,0.993841251519755,-0.006158748480245002,-0.19999999999999568,8.428929520648916e-06,9.0,0.3999999999999999,-5.252536211965191e-31,0.0,0.9876825030395094,0.9876825030395094,0.0,0.0,1.232595164407831e-32,11.0,0.20000000000000018,-0.07918390903172248,-0.07698435600306523,0.9876825030395094,0.9692062575987743,-0.018476245440735117,-0.5999999999999907,3.371571808259642e-05,6.0,,,,,,,,,
S0020,1.0,0.6985991734105856,1.0,0.6985991734105856,0.0,1.0,-0.30140082658941436,0.30140082658941436,0.7967779384277942,0.0,1.0,0.0,-1.1443014433225274,0.0,-0.2043395434504508,2.0,0.30140082658941436,0.0,0.0,0.0,,-0.3269432695207168,-0.1307773078082881,-0.27105039440045053,,0.0,0.0,,0.18749999999999992,-0.7764902651117124,-0.7356223564216222,1.0,0.862070808170946,-0.13792919182905405,-0.45762711864406785,0.003058201832339252,4.0,0.75,-0.17514818010038616,-0.16347163476036056,0.8365283652396397,0.6985991734105856,-0.13792919182905405,-0.45762711864406785,0.0017128053509709233,13.0,,,,,,,,,,,,,,,,,,
S0021,1.0,0.8386582986598836,1.0,0.8386582986598836,0.0,1.0,-0.16134170134011638,0.16134170134011638,0.88907758032867,0.0,0.8125,0.0,-0.7529279395872104,0.0,-0.10756113422674564,2.0,0.16134170134011638,0.0,0.0,0.0,,-0.7529279395872104,-0.0968050208040701,-0.12126990623603513,,0.0,0.0,,0.12499999999999993,-0.5915862382470938,-0.5915862382470939,1.0,0.9260517202191133,-0.0739482797808867,-0.4583333333333334,0.0009339878267720173,3.0,0.8125,-0.08888568454781504,-0.08963427852228666,0.9126065784407703,0.8386582986598836,-0.0739482797808867,-0.4583333333333334,0.0005081902164760185,14.0,,,,,,,,,,,,,,,,,,
S0022,1.0,0.9564697162578376,1.0,0.9516330180642643,0.0,0.625,-0.04353028374216239,0.0628770765164558,0.9665965531006324,0.125,0.5,0.07738717109717391,-0.15477434219435793,0.07738717109717384,-0.07738717109717722,3.0,0.04836698193573574,0.004836698193573352,0.004836698193573352,0.09999999999999541,,-0.07738717109717727,-0.007738717109717397,-0.07035197372470657,0.00829148261755431,0.0,0.0,,0.18749999999999997,-0.10834203953604879,-0.10963182572100175,1.0,0.9806532072257056,-0.019346792774294408,-0.4000000000000023,5.84841235392955e-05,4.0,0.375,-0.05251272324451258,-0.05159144739811753,0.9709798108385583,0.9516330180642643,-0.019346792774294075,-0.3999999999999954,5.1561512997908127e-05,7.0,0.3124999999999999,0.004422124062695626,0.0,0.9516330180642643,0.9564697162578376,0.004836698193573352,0.09999999999999541,5.19858875904794e-06,6.0,,,,,,,,,
S0023,1.0,0.913597082352182,1.0,0.913597082352182,0.0,1.0,-0.08640291764781804,0.08640291764781804,0.9413921385807998,0.0,0.6875,0.0,-0.2439611792408965,0.0,-0.08132039308030059,2.0,0.08640291764781804,0.0,0.0,0.0,,-0.16264078616059938,-0.05692427515620967,-0.07593889647939701,,0.0,0.0,,0.24999999999999994,-0.18703690408468876,-0.18635923414235275,1.0,0.9542572788923316,-0.045742721107668416,-0.5294117647058828,0.0002748530756211489,5.0,0.6875,-0.03554212984278797,-0.03549699697949564,0.9440922297572941,0.913597082352182,-0.030495147405112166,-0.35294117647058726,6.511830778148222e-05,12.0,,,,,,,,,,,,,,,,,,
