sample_id,initial,final,global_max,global_min,peak_time,valley_time,net_change,total_variation,area,positive_fraction,negative_fraction,max_positive_slope,max_negative_slope,median_positive_slope,median_negative_slope,segment_count,max_to_next_min,min_to_next_max,recovery_amplitude,recovery_ratio,pre_peak_slope,immediate_post_peak_slope,late_time_slope,pre_valley_slope,post_valley_slope,largest_slope_reversal,slope_sign_reversals,time_between_strongest_reversals,seg1_duration,seg1_ordinary_slope,seg1_theil_sen_slope,seg1_start_value,seg1_end_value,seg1_amplitude_change,seg1_normalized_amplitude_change,seg1_local_variance,seg1_raw_point_count,seg2_duration,seg2_ordinary_slope,seg2_theil_sen_slope,seg2_start_value,seg2_end_value,seg2_amplitude_change,seg2_normalized_amplitude_change,seg2_local_variance,seg2_raw_point_count,seg3_duration,seg3_ordinary_slope,seg3_theil_sen_slope,seg3_start_value,seg3_end_value,seg3_amplitude_change,seg3_normalized_amplitude_change,seg3_local_variance,seg3_raw_point_count,seg4_duration,seg4_ordinary_slope,seg4_theil_sen_slope,seg4_start_value,seg4_end_value,seg4_amplitude_change,seg4_normalized_amplitude_change,seg4_local_variance,seg4_raw_point_count
S0005,1.0,0.8501906176466565,1.0,0.8501906176466565,0.0,1.0,-0.1498093823533435,0.16545047680365843,0.9125770677295564,0.17647058823529413,0.8235294117647058,0.0573242703872615,-0.8023521667496595,0.04103443733431899,-0.15437713447142393,4.0,0.1498093823533435,0.0,0.005785806336563559,0.038621121358854794,,-0.8023521667496595,-0.23224644408269166,-0.0926128684154646,,0.0,0.0,,0.11764705882352941,-0.514965653623094,-0.514965653623094,1.0,0.9394158054561066,-0.06058419454389341,-0.4044085463285489,0.000675247890166418,3.0,0.4117647058823529,-0.01317571357870077,-0.010578271431850299,0.9260287971916049,0.9166455540702975,-0.00938324312130745,-0.06263454914443167,9.217524555037026e-06,8.0,0.17647058823529405,-0.07821774941054906,-0.07360567006306881,0.9047949550483484,0.8907883487105686,-0.014006606337779837,-0.09349618907541829,3.8913783000891695e-05,4.0,0.11764705882352944,-0.3350797958675519,-0.3350797958675518,0.8896117701016626,0.8501906176466565,-0.0394211524550061,-0.26314207986003546,0.0002643144627818038,3.0
S0006,1.0,0.9382370692660736,1.0,0.9382370692660736,0.0,0.9411764705882353,-0.06176293073392636,0.06176293073392636,0.9630323889961122,0.0,0.9411764705882353,0.0,-0.15938276032928547,0.0,-0.061663518086872586,2.0,0.06176293073392636,0.0,0.0,0.0,,-0.06166351808687354,-0.04232448229006972,-0.061635523669738464,0.0,0.0,0.0,,0.17647058823529413,-0.09104588593374781,-0.08367767665320772,1.0,0.9836080108963736,-0.01639198910362638,-0.26540173707499065,3.740001926532367e-05,4.0,0.7647058823529411,-0.0457510144851068,-0.04605130800336638,0.9742325544064157,0.9382370692660736,-0.03599548514034201,-0.5828007951146286,0.00012059531180624022,14.0,,,,,,,,,,,,,,,,,,
S0007,0.9757391363147961,0.7266334034508888,1.0,0.7266334034508888,0.125,1.0,-0.24910573286390736,0.2976274602343151,0.8911242118946822,0.125,0.875,0.2536124015284944,-0.4403570797767955,0.19408690948163088,-0.3364035435869219,2.0,0.2733665965491112,0.0,0.02426086368520386,0.08874845716874305,0.19408690948163088,-0.14503936814119278,-0.367589604443884,-0.2798161182581649,,0.4442066607746513,1.0,,0.1875,0.09830157539947013,0.1078031171877285,0.9757391363147961,0.9909350394911755,0.01519590317637931,0.05558800295356977,7.935640187155584e-05,4.0,0.75,-0.33427504811009284,-0.3364035435869228,0.9741148623118292,0.7266334034508888,-0.24748145886094042,-0.9053098000453013,0.0061276268029199455,13.0,,,,,,,,,,,,,,,,,,
S0008,0.9099773613867971,0.9715717983326728,1.0,0.9099773613867971,0.375,0.0,0.06159443694587574,0.12369160437043047,0.9840844285293504,0.4375,0.5,1.0196020350789397,-0.13340478804729727,0.041717493834610764,-0.06797346900526158,2.0,0.031048583712277367,0.09002263861320292,0.09002263861320292,1.0,0.18325952656433028,-0.020963056359601495,-0.007793344997358354,,0.00273630478570152,0.7008685138547139,1.0,,0.125,0.658771633693024,0.658771633693024,0.9099773613867971,0.9923238155984251,0.082346454211628,0.9147305109045192,0.0012431760196528199,3.0,0.8125,-0.04189733129652046,-0.04209688016168993,0.9952619663887788,0.9715717983326728,-0.02369016805610602,-0.263157894736842,0.00013472971545436987,14.0,,,,,,,,,,,,,,,,,,
S0013,1.0,0.9796254368431243,1.0,0.9796254368431243,0.0,0.75,-0.02037456315687569,0.02037456315687569,0.9863346389910387,0.0,0.5,0.0,-0.070047030034452,0.0,-0.04074912631375138,4.0,0.02037456315687569,0.0,0.0,0.0,,-0.07004703003444668,0.0,-0.02098666306918571,0.0,0.0,0.0,,0.125,-0.07004703003444934,-0.07004703003444934,1.0,0.9912441212456938,-0.008755878754306168,-0.4297455943908849,1.2777568793351687e-05,3.0,0.25,-0.0002679388952277151,0.0,0.9898127184215623,0.9897289875168036,-8.373090475866096e-05,-0.004109580368127047,1.1217383058726324e-09,5.0,0.1875,-0.014143375454504082,-0.01291319486651569,0.9853510481396505,0.9824045115866288,-0.0029465365530216836,-0.14461839158634093,1.262205191403355e-06,4.0,0.25,0.0,0.0,0.9796254368431243,0.9796254368431243,0.0,0.0,1.232595164407831e-32,5.0
S0014,1.0,0.8841102028625787,1.0,0.8841102028625787,0.0,1.0,-0.11588979713742131,0.11588979713742131,0.9282700623043716,0.0,1.0,0.0,-0.21014109010335424,0.0,-0.09733539204094566,2.0,0.11588979713742131,0.0,0.0,0.0,,-0.2101410901033507,-0.07004703003445023,-0.10821284539927795,,0.0,0.0,,0.3125,-0.191975888725792,-0.198243302684921,1.0,0.9409396838608115,-0.059060316139188496,-0.5096248125204257,0.00042207327916137595,6.0,0.625,-0.07738288784734394,-0.0781277432551984,0.9329832374233296,0.8841102028625787,-0.04887303456075087,-0.4217199077740862,0.0002357598001020783,11.0,,,,,,,,,,,,,,,,,,
S0015,1.0,0.5843244831507248,1.0,0.5843244831507248,0.0,1.0,-0.4156755168492752,0.427719474297547,0.6765867491793831,0.058823529411764705,0.8823529411764706,0.1023736383103103,-1.7138485237503502,0.1023736383103103,-0.3197460778116117,2.0,0.4156755168492752,0.0,0.006021978724135901,0.014487210528493753,,-1.7138485237503502,-0.04283427974362953,-0.3481327599964849,,0.0,0.0,,0.35294117647058826,-0.9220201158172318,-0.869713508320132,1.0,0.6633212749247779,-0.3366787250752221,-0.8099556298796942,0.012015107523070083,7.0,0.5882352941176471,-0.07761337161747972,-0.06011989997266557,0.6445126821123301,0.5843244831507248,-0.06018819896160532,-0.14479611264531053,0.0002791768356266078,11.0,,,,,,,,,,,,,,,,,,
S0016,0.9920422969849336,0.9674485209337266,1.0,0.9613042944138389,0.5882352941176471,0.9411764705882353,-0.02459377605120705,0.10197843923486694,0.9786838183064374,0.4117647058823529,0.47058823529411764,0.15368663886113762,-0.30737327772228473,0.10445185083809025,-0.13217509805287447,3.0,0.03869570558616109,0.006144226519887663,0.03254810507194228,0.8411296442048235,0.042362126853248284,-0.15368663886114328,-0.009858429185335747,-0.005045330161426357,0.10445185083809026,0.29764084215597986,2.0,0.47058823529411764,0.11764705882352941,-0.20901841748344516,-0.20901841748344518,0.9920422969849336,0.9674518949280577,-0.024590402056875904,-0.6354814231807231,0.00010821974246401616,3.0,0.4117647058823529,0.08914177395354293,0.08862242467253466,0.9674518949280577,1.0,0.03254810507194228,0.8411296442048235,0.00014923668713533292,8.0,0.3529411764705882,-0.0713688503757235,-0.08401383303332766,0.9909596094787563,0.9674485209337266,-0.0235110885450297,-0.607589090026519,9.069346642085167e-05,7.0,,,,,,,,,
S0017,1.0,0.969209637711456,1.0,0.969209637711456,0.0,1.0,-0.030790362288544038,0.030790362288544038,0.9880984154575081,0.0,0.4117647058823529,0.0,-0.14785728510342463,0.0,-0.08620219804734729,3.0,0.030790362288544038,0.0,0.0,0.0,,0.0,-0.0757495642056011,-0.023673921553462852,,0.0,0.0,,0.29411764705882354,-0.024107294343397877,-0.020939744832833007,1.0,0.993841251519755,-0.006158748480245002,-0.2000219556538458,8.199016401348147e-06,6.0,0.41176470588235287,-0.0015413771764022641,0.0,0.9887705339875581,0.9876825030395094,-0.0010880309480486572,-0.03533673744571279,1.2947936574033778e-07,8.0,0.17647058823529416,-0.0757495642056011,-0.0790474125011901,0.9840624934380444,0.969209637711456,-0.014852855726588454,-0.48238652041176716,2.7979813464778255e-05,4.0,,,,,,,,,
S0020,1.0,0.6993910019280748,1.0,0.6993910019280748,0.0,1.0,-0.3006089980719252,0.3006089980719252,0.7974403922558893,0.0,1.0,0.0,-1.0837146152500436,0.0,-0.20121062615791413,2.0,0.3006089980719252,0.0,0.0,0.0,,-0.32535961248573797,-0.1284925241407942,-0.27070369556838486,,0.0,0.0,,0.23529411764705882,-0.7208677239845042,-0.7182981209804057,1.0,0.8430041332925877,-0.15699586670741228,-0.5222593725216724,0.00368646499130691,5.0,0.7058823529411764,-0.16816414332761276,-0.16267980624287182,0.8225701789475426,0.6993910019280748,-0.12317917701946779,-0.40976543553095945,0.001390987324147341,13.0,,,,,,,,,,,,,,,,,,
S0021,1.0,0.839179306317139,1.0,0.839179306317139,0.0,1.0,-0.160820693682861,0.160820693682861,0.889429966464375,0.0,0.9411764705882353,0.0,-0.7492808859864215,0.0,-0.10704012656949011,2.0,0.160820693682861,0.0,0.0,0.0,,-0.7492808859864215,-0.09247403227275848,-0.12092227462398743,,0.0,0.0,,0.11764705882352941,-0.59958606395183,-0.59958606395183,1.0,0.9294604630644906,-0.0705395369355094,-0.4386222650837064,0.0008465350895807089,3.0,0.8235294117647058,-0.0890756202509967,-0.0885295326741615,0.9151631355748033,0.839179306317139,-0.07598382925766434,-0.47247544776485495,0.0005176874452833936,15.0,,,,,,,,,,,,,,,,,,
S0022,1.0,0.956094866094674,1.0,0.9516330180642643,0.0,0.6470588235294118,-0.04390513390532602,0.062365649363051556,0.966683121244839,0.17647058823529413,0.7058823529411765,0.07469051209992005,-0.14881309351129002,0.06253858028084425,-0.07382609454712145,3.0,0.04836698193573574,0.004836698193573352,0.004836698193573352,0.09999999999999541,,-0.07701232093401422,-0.009612967925535561,-0.06922773393896411,0.0066591013009103224,0.040027448586563256,1.0,,0.17647058823529413,-0.10885955897896703,-0.10866649229345829,1.0,0.9815728922298357,-0.01842710777016432,-0.3809852720322317,5.204671548287997e-05,4.0,0.29411764705882354,-0.03614843600543479,-0.03821593436274487,0.9734323041829053,0.9619878262826184,-0.011444477900286909,-0.23661757344076093,1.4087418150646332e-05,6.0,0.4117647058823529,0.004135950735188614,0.0018115142238183907,0.9546986347446978,0.956094866094674,0.0013962313499761292,0.028867448290060237,4.039067550070401e-06,8.0,,,,,,,,,
S0023,1.0,0.9139909843669798,1.0,0.9139909843669798,0.0,1.0,-0.08600901563302021,0.08600901563302021,0.941587879629733,0.0,0.8235294117647058,0.0,-0.23182662003187166,0.0,-0.08092649106550212,2.0,0.08600901563302021,0.0,0.0,0.0,,-0.16185298213100419,-0.05792549941977231,-0.07577751453938182,,0.0,0.0,,0.35294117647058826,-0.17463099753904415,-0.17006762200447773,1.0,0.940942561630593,-0.05905743836940702,-0.6866424168995365,0.00042479929610951653,7.0,0.5882352941176471,-0.029571507369118795,-0.02880097254927249,0.9361821798032105,0.9139909843669798,-0.022191195436230715,-0.2580101082764999,3.32558230519429e-05,11.0,,,,,,,,,,,,,,,,,,
S0028,0.9943601770809389,0.9210424791331459,1.0,0.9210424791331459,0.058823529411764705,1.0,-0.07331769794779308,0.08459734378591521,0.9679857110770949,0.058823529411764705,0.7058823529411765,0.09587698962403812,-0.19175397924807808,0.09587698962403812,-0.0958769896240381,2.0,0.07895752086685415,0.0,0.005639822919061066,0.07142857142857213,0.09587698962403811,-0.09587698962403812,-0.16299088236086381,-0.06866731764611127,,0.0,0.0,,0.8235294117647058,-0.05992311851502317,-0.06101262976075068,0.9943601770809389,0.949241593728451,-0.04511858335248797,-0.5714285714285701,0.0002369312972792047,15.0,0.11764705882352944,-0.19175397924807433,-0.1917539792480743,0.9436017708093899,0.9210424791331459,-0.022559291676244042,-0.2857142857142857,8.482027348897564e-05,3.0,,,,,,,,,,,,,,,,,,
