sample_id,source_path,figure_id,unit,clean_n,cluster,membership_probability,outlier_score,status
S0001,/Users/shunhao/Desktop/ML/method1/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,cycles,64,,,,non_time_axis
S0002,/Users/shunhao/Desktop/ML/method1/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,cycles,64,,,,non_time_axis
S0003,/Users/shunhao/Desktop/ML/method1/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0004,/Users/shunhao/Desktop/ML/method1/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0005,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,hours,63,1.0,0.31302957613230903,0.686970423867691,included
S0006,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,hours,65,1.0,0.846387277183991,0.153612722816009,included
S0007,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,hours,27,1.0,0.2392118807474493,0.7607881192525506,included
S0008,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,hours,56,-1.0,0.0,0.9531056631049295,included
S0009,/Users/shunhao/Desktop/ML/method1/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0010,/Users/shunhao/Desktop/ML/method1/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0011,/Users/shunhao/Desktop/ML/method1/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11,hours,50,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0012,/Users/shunhao/Desktop/ML/method1/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,图片11,hours,50,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0013,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,hours,50,1.0,0.41305437565536024,0.5869456243446397,included
S0014,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,hours,49,1.0,1.0,0.0,included
S0015,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,hours,52,1.0,0.4945797753592322,0.5054202246407677,included
S0016,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,hours,84,-1.0,0.0,0.9582993589180435,included
S0017,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,hours,84,1.0,0.4115656909825802,0.5884343090174198,included
S0018,/Users/shunhao/Desktop/ML/method1/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,图片115,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0019,/Users/shunhao/Desktop/ML/method1/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,hours,31,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0020,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,hours,43,1.0,0.9316974950830917,0.06830250491690829,included
S0021,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,hours,55,1.0,0.44130158828137567,0.5586984117186243,included
S0022,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,hours,56,1.0,0.25671477807954185,0.7432852219204582,included
S0023,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,hours,52,1.0,0.8480088548023487,0.15199114519765133,included
S0024,/Users/shunhao/Desktop/ML/method1/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12,hours,8,,,,fewer_than_12_points
S0025,/Users/shunhao/Desktop/ML/method1/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,hours,51,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0026,/Users/shunhao/Desktop/ML/method1/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120,cycles,40,,,,non_time_axis
S0027,/Users/shunhao/Desktop/ML/method1/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120,cycles,40,,,,non_time_axis
S0028,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,hours,50,1.0,0.46064805512204426,0.5393519448779558,included
S0029,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,hours,85,0.0,0.9083016772964877,0.09169832270351233,included
S0030,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,hours,53,1.0,0.924991273104049,0.07500872689595099,included
S0031,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,hours,39,1.0,0.2730292102192689,0.7269707897807312,included
S0032,/Users/shunhao/Desktop/ML/method1/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125,unknown,58,,,,unknown_time_unit
S0033,/Users/shunhao/Desktop/ML/method1/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125,unknown,58,,,,unknown_time_unit
S0034,/Users/shunhao/Desktop/ML/method1/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0035,/Users/shunhao/Desktop/ML/method1/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0036,/Users/shunhao/Desktop/ML/method1/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0037,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,hours,43,1.0,0.5013816959580613,0.49861830404193874,included
S0038,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,hours,43,1.0,0.6953093287741478,0.30469067122585225,included
S0039,/Users/shunhao/Desktop/ML/method1/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2.csv,图片133,hours,28,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0040,/Users/shunhao/Desktop/ML/method1/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1.csv,图片133,hours,28,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0041,/Users/shunhao/Desktop/ML/method1/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134,unknown,44,,,,unknown_time_unit
S0042,/Users/shunhao/Desktop/ML/method1/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134,unknown,39,,,,unknown_time_unit
S0043,/Users/shunhao/Desktop/ML/method1/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134,unknown,39,,,,unknown_time_unit
S0044,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,hours,57,-1.0,0.0,0.9817779533868857,included
S0045,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,hours,57,1.0,0.8548525499865925,0.1451474500134075,included
S0046,/Users/shunhao/Desktop/ML/method1/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,图片136,hours,15,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0047,/Users/shunhao/Desktop/ML/method1/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,图片136,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0048,/Users/shunhao/Desktop/ML/method1/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0049,/Users/shunhao/Desktop/ML/method1/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140,hours,36,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0050,/Users/shunhao/Desktop/ML/method1/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,图片141,hours,39,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0051,/Users/shunhao/Desktop/ML/method1/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,图片141,hours,38,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0052,/Users/shunhao/Desktop/ML/method1/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,图片141,hours,39,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0053,/Users/shunhao/Desktop/ML/method1/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell4__Series_4.csv,图片141,hours,38,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0054,/Users/shunhao/Desktop/ML/method1/samples_test/图片15/accepted/samples_test__unknown__unknown__图片15__Series_1__Series_1.csv,图片15,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0055,/Users/shunhao/Desktop/ML/method1/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,图片157,hours,74,0.0,1.0,0.0,included
S0056,/Users/shunhao/Desktop/ML/method1/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__MeO-2PACz__Series_2.csv,图片159,hours,35,1.0,0.6706054998998011,0.3293945001001989,included
S0057,/Users/shunhao/Desktop/ML/method1/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv,图片159,hours,35,1.0,1.0,0.0,included
S0058,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_1__Series_1.csv,图片16,hours,45,1.0,0.6740125146589042,0.3259874853410958,included
S0059,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv,图片16,hours,46,-1.0,0.0,0.9909455399499122,included
S0060,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv,图片16,hours,50,1.0,0.9322138761202141,0.06778612387978586,included
S0061,/Users/shunhao/Desktop/ML/method1/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_1__Series_1.csv,图片160,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0062,/Users/shunhao/Desktop/ML/method1/samples_test/图片160/accepted/samples_test__unknown__unknown__图片160__Series_2__Series_2.csv,图片160,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0063,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,hours,76,1.0,1.0,0.0,included
S0064,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv,图片162,hours,75,1.0,0.9987928254587869,0.001207174541213096,included
S0065,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_3__Series_3.csv,图片162,hours,75,1.0,0.8625946045498006,0.1374053954501993,included
