sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags
S0005,1,0.31302957613230903,0.686970423867691,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,hours,1001.8731109582542,63,negative_start_retained_shifted
S0006,1,0.846387277183991,0.153612722816009,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,hours,1001.8731109582543,65,negative_start_retained_shifted
S0007,1,0.2392118807474493,0.7607881192525506,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,hours,506.5121446857133,27,negative_start_retained_shifted
S0008,-1,0.0,0.9531056631049295,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,hours,1071.4679983736246,56,negative_start_retained_shifted
S0013,1,0.41305437565536024,0.5869456243446397,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,hours,995.8466823611939,50,
S0014,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,hours,975.5232806803532,49,
S0015,1,0.4945797753592322,0.5054202246407677,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,hours,605.7960715706885,52,
S0016,-1,0.0,0.9582993589180435,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,hours,985.9034105954341,84,
S0017,1,0.4115656909825802,0.5884343090174198,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,hours,985.9034105954341,84,
S0020,1,0.9316974950830917,0.06830250491690829,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,hours,988.4424698001794,43,
S0021,1,0.44130158828137567,0.5586984117186243,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,hours,1007.0923277209376,55,
S0022,1,0.25671477807954185,0.7432852219204582,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,hours,1025.7421856416954,56,
S0023,1,0.8480088548023487,0.15199114519765133,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,hours,1007.0923277209378,52,
S0028,1,0.46064805512204426,0.5393519448779558,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,hours,855.9214488670177,50,
S0029,0,0.9083016772964877,0.09169832270351233,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,hours,1467.2939123434587,85,
S0030,1,0.924991273104049,0.07500872689595099,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,hours,997.8628278541325,53,
S0031,1,0.2730292102192689,0.7269707897807312,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,hours,729.2074511241739,39,
S0037,1,0.5013816959580613,0.49861830404193874,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,hours,986.2603191123052,43,negative_start_retained_shifted
S0038,1,0.6953093287741478,0.30469067122585225,/Users/shunhao/Desktop/ML/method1/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,hours,986.2603191123052,43,negative_start_retained_shifted
S0044,-1,0.0,0.9817779533868857,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,hours,1011.0572730371723,57,
S0045,1,0.8548525499865925,0.1451474500134075,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,hours,1011.0572730371723,57,
S0055,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv,图片157,hours,986.6919371072015,74,
