feature,imputation_median,robust_center,robust_scale
initial,0.7929515418502222,0.7929515418502222,0.588786448259592
final,-0.32352941176470873,-0.32352941176470873,0.2168299746119829
global_max,0.8319999999999995,0.8319999999999995,0.42305499507444777
global_min,-0.38781163434903015,-0.38781163434903015,0.43434343434343176
peak_time,0.0,0.0,0.06274509803921571
valley_time,0.9393939393939392,0.9393939393939392,0.2857142857142858
net_change,-1.096774193548387,-1.096774193548387,0.22299077733859896
total_variation,1.299638989169665,1.299638989169665,0.6839598272804399
area,0.044117647058822734,0.044117647058822734,0.12984749138645502
positive_fraction,0.0,0.0,0.12916666666666665
negative_fraction,0.5714285714285714,0.5714285714285714,0.5159649826249666
max_positive_slope,0.0,0.0,3.338060856111298
max_negative_slope,-4.324324324324319,-4.324324324324319,3.5460350492881787
median_positive_slope,0.0,0.0,2.7627022825241987
median_negative_slope,-1.4847161572052476,-1.4847161572052476,1.66869776442014
segment_count,2.0,2.0,1.0
max_to_next_min,1.136363636363636,1.136363636363636,0.1806020468831253
min_to_next_max,0.0,0.0,0.09533143264433198
recovery_amplitude,0.0,0.0,0.29166666666666896
recovery_ratio,0.0,0.0,0.2613636363636387
immediate_post_peak_slope,-2.168674698795188,-2.168674698795188,4.342124694877221
late_time_slope,-0.594965675057211,-0.594965675057211,0.9617962497037478
pre_valley_slope,-1.1001335113484652,-1.1001335113484652,0.12142866202924618
largest_slope_reversal,0.0,0.0,1.0
slope_sign_reversals,0.0,0.0,1.0
seg1_duration,0.2105263157894737,0.2105263157894737,0.15140764357756106
seg1_ordinary_slope,-2.4331797235023034,-2.4331797235023034,3.440817792792123
seg1_theil_sen_slope,-2.3529411764705888,-2.3529411764705888,3.4122013359370995
seg1_start_value,0.7929515418502222,0.7929515418502222,0.588786448259592
seg1_end_value,0.2255639097744352,0.2255639097744352,0.25674354878084465
seg1_amplitude_change,-0.5333333333333367,-0.5333333333333367,0.5891343567125014
seg1_normalized_amplitude_change,-0.45333333333333337,-0.45333333333333337,0.4706140350877218
seg1_local_variance,0.05606948661817671,0.05606948661817671,0.06665653843380187
seg1_raw_point_count,4.0,4.0,3.0
seg2_duration,0.5999999999999999,0.5999999999999999,0.3408939640925269
seg2_ordinary_slope,-0.6280991735537281,-0.6280991735537281,0.7617391285059869
seg2_theil_sen_slope,-0.6060606060606192,-0.6060606060606192,0.7974573240292284
seg2_start_value,0.13201320132013472,0.13201320132013472,0.26656976465656107
seg2_end_value,-0.2281368821292772,-0.2281368821292772,0.3163661976957082
seg2_amplitude_change,-0.357142857142858,-0.357142857142858,0.46644526572446576
seg2_normalized_amplitude_change,-0.27906976744186107,-0.27906976744186107,0.3498276723276711
seg2_local_variance,0.017857142857142776,0.017857142857142776,0.037074266013243484
seg2_raw_point_count,11.0,11.0,6.0
