cluster,rank,sample_id,is_medoid,membership_probability,source_path
-1,1,S0197,True,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv
-1,2,S0119,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv
-1,3,S0100,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv
-1,4,S0008,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv
-1,5,S0016,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv
-1,6,S0044,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv
-1,7,S0195,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv
-1,8,S0059,False,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_2__Series_2.csv
0,1,S0099,True,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv
0,2,S0198,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2.csv
0,3,S0071,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv
0,4,S0176,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_3__Series_3.csv
0,5,S0055,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片157/accepted/samples_test__unknown__unknown__图片157__NBG_PSCs_with_YbOx__Series_1.csv
0,6,S0029,False,0.9083016772964877,/Users/shunhao/Desktop/ML/method1/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv
1,1,S0107,True,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv
1,2,S0063,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv
1,3,S0182,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv
1,4,S0014,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv
1,5,S0057,False,1.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片159/accepted/samples_test__unknown__unknown__图片159__PTAA__Series_1.csv
1,6,S0064,False,0.9987928254587869,/Users/shunhao/Desktop/ML/method1/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_2__Series_2.csv
1,7,S0060,False,0.9322138761202141,/Users/shunhao/Desktop/ML/method1/samples_test/图片16/accepted/samples_test__unknown__unknown__图片16__Series_3__Series_3.csv
1,8,S0020,False,0.9316974950830917,/Users/shunhao/Desktop/ML/method1/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv
1,9,S0153,False,0.924991273104049,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv
1,10,S0030,False,0.924991273104049,/Users/shunhao/Desktop/ML/method1/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv
