sample_id,cluster,slope_sequence,slopes
S0005,1,decay → decay → decay → decay,"[-4.218472468916527, -0.14061574896388324, -0.11249259917110654, -4.049733570159882]"
S0006,1,decay → decay,"[-1.2280701754385892, -0.7894736842105303]"
S0007,1,increase → decay,"[0.8144796380090478, -1.3574660633484164]"
S0008,-1,increase → decay,"[13.500000000000039, -0.937500000000002]"
S0013,1,decay → flat → flat → flat,"[-4.242424242424182, 0.0, 0.0, 0.0]"
S0014,1,decay → decay,"[-2.079207920792064, -0.6930693069306993]"
S0015,1,decay → decay,"[-2.75, -0.19374999999999956]"
S0016,-1,decay → increase → decay,"[-8.695652173913103, 2.393500219587181, -2.173913043478277]"
S0017,1,flat → flat → flat → decay,"[0.0, 0.0, 0.0, -2.6041666666666923]"
S0020,1,decay → decay,"[-2.6568265682656804, -0.5904059040590404]"
S0021,1,decay → decay,"[-5.000000000000012, -0.757575757575757]"
S0022,1,decay → decay → flat,"[-2.46376811594204, -0.5072463768115759, 0.0]"
S0023,1,decay → decay,"[-2.4657534246575383, -0.4109589041095886]"
S0028,1,decay → decay,"[-0.9448193727669643, -2.9694323144104735]"
S0029,0,increase → flat → flat → decay,"[6.938775510204165, 0.0, 0.0, -3.4693877551020806]"
S0030,1,decay → decay,"[-1.287878787878797, -0.6060606060606192]"
S0031,1,decay → decay → flat,"[-4.000000000000023, -1.333333333333346, 0.0]"
S0037,1,decay → decay → decay,"[-0.8333333333333126, -1.666666666666667, -0.833333333333327]"
S0038,1,decay → decay → decay,"[-1.1612903225806464, -0.9677419354838743, -1.161290322580646]"
S0044,-1,decay → flat → flat,"[-8.095238095238043, 0.0, 0.0]"
S0045,1,decay → decay → decay,"[-1.1250000000000024, -1.0937499999999947, -0.8854166666666661]"
S0055,0,increase → flat → increase → flat,"[5.641025641025692, 0.0, 5.641025641025686, 0.0]"
S0056,1,decay → decay → decay,"[-0.6640396964389933, -1.2667834208990127, -1.052247518972562]"
S0057,1,decay → decay,"[-1.6247582205028728, -0.8123791102514492]"
S0058,1,decay → decay,"[-3.1531531531531587, -0.8783783783783787]"
S0059,-1,decay → increase → decay,"[-18.750000000000018, 4.16666666666666, -1.4583333333333335]"
S0060,1,decay → decay,"[-1.7647058823529358, -0.7058823529411693]"
S0063,1,decay → decay,"[-2.19, -0.7199999999999989]"
S0064,1,decay → decay,"[-1.7647058823529391, -0.705882352941171]"
S0065,1,decay → decay → decay,"[-3.461538461538415, -0.9615384615384653, -0.4615384615384635]"
S0066,1,decay → decay,"[-1.968911917098446, -0.8438193930421892]"
S0067,1,decay → decay,"[-4.807480748074813, -0.5016501650165017]"
S0071,0,increase → flat,"[6.3636363636363065, 0.0]"
S0072,1,decay → decay,"[-4.918032786885233, -0.3278688524590193]"
S0081,1,decay → decay,"[-2.7166064981949503, -0.6209386281588439]"
S0086,1,decay → decay,"[-1.9178082191780756, -0.29680365296803823]"
S0087,1,decay → decay,"[-2.121212121212135, -0.47138047138047967]"
S0095,1,decay → decay,"[-13.684210526315807, -0.6718154080854309]"
S0099,0,increase → increase → decay,"[14.419475655430693, 0.2746566791510684, -1.483146067415722]"
S0100,-1,increase → decay,"[15.714285714285667, -0.4365079365079369]"
S0103,1,decay → decay,"[-10.999999999999993, -0.4545454545454557]"
S0104,1,increase → decay,"[0.37037037037036097, -1.6666666666666718]"
S0107,1,decay → decay,"[-2.554744525547453, -0.6131386861313868]"
S0108,1,decay → decay,"[-0.4545454545454446, -0.909090909090919]"
S0109,1,decay → decay,"[-2.6807228915662646, -0.5421686746987944]"
S0110,1,decay → decay,"[-3.333333333333334, -0.20740740740740746]"
S0118,1,decay → increase → decay → decay,"[-5.518553758325409, 3.5180780209324425, -1.6555661274976203, -1.103710751665079]"
S0119,-1,increase → decay → increase → decay,"[7.7870370370370345, -0.8055555555555622, 4.8333333333333215, -1.6111111111110488]"
S0128,1,decay → decay,"[-2.907488986784138, -0.5814977973568416]"
S0141,1,increase → decay,"[2.4299065420560924, -1.5186915887850467]"
S0153,1,decay → decay,"[-2.3529411764705888, -0.47941176470588265]"
S0154,1,decay → decay,"[-3.3777777777777738, -0.2666666666666641]"
S0163,1,decay → decay,"[-1.9354838709677404, -0.8294930875576013]"
S0164,1,decay → decay,"[-4.624060150375964, -0.5413533834586445]"
S0165,1,decay → decay → decay,"[-4.144736842105301, -1.1973684210526363, -0.460526315789461]"
S0166,1,decay → decay → decay,"[-5.0183823529412335, -1.0133272058823477, -0.25735294117648355]"
S0167,1,decay → decay,"[-15.603146853146866, -0.6608391608391638]"
S0170,1,decay → decay → flat,"[-7.476851851851857, -1.2418300653594712, 0.0]"
