sample_id,source_path,figure_id,x_axis,y_axis,unit,hours_factor,original_n,clean_n,start,end,duration_native,duration_analysis,median_interval,missing_fraction,non_finite_values,parse_errors,exact_duplicate_records,duplicate_timestamps,conflicting_timestamps,negative_output_count,minimum_output,maximum_output,qc_flags,sha256
S0001,/Users/shunhao/Desktop/ML/method1/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,"{""name"": ""Thermal cycles"", ""unit"": null}","{""name"": ""Normalized PCE"", ""unit"": null}",cycles,,64,64,-0.5993493257997429,197.2076219346634,197.80697126046314,197.80697126046314,3.139793194610524,0.0,0,0,0,0,0,0,0.9053732294229524,1.0021347422264115,negative_start_retained_shifted,c9857e6ef73aa8659de23d5480ab977adf4a994553c931bd009c1d15e53a69ad
S0002,/Users/shunhao/Desktop/ML/method1/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,"{""name"": ""Thermal cycles"", ""unit"": null}","{""name"": ""Normalized PCE"", ""unit"": null}",cycles,,64,64,-0.2853700063386881,197.52160125412445,197.80697126046314,197.80697126046314,3.139793194610526,0.0,0,0,0,0,0,0,0.3463067110029638,1.0057185019598731,negative_start_retained_shifted,f308c71c628bcf84f0b7888bc73253f9f8edaf091cb955e877c478dc28b5039e
S0003,/Users/shunhao/Desktop/ML/method1/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,30,30,0.2808468239687869,213.12665721311737,212.8458103891486,212.8458103891486,7.339510703074097,0.0,0,0,0,0,0,0,0.1215456547989721,1.0036369299852417,,52433e103bf4debc07df0a29da627795c7928509c502664d94aa4ab4ba1d1a0e
S0004,/Users/shunhao/Desktop/ML/method1/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,30,30,0.2808468239687869,213.12665721311737,212.8458103891486,212.8458103891486,7.339510703074097,0.0,0,0,0,0,0,0,0.9149350140447228,1.1021946143635954,,cef5b444fdde7d18e1de6074e4b8a7c7597727b44f036e2f42c91716393cfacf
S0005,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,63,63,-1.3105387035323872,1000.5625722547218,1001.8731109582542,1001.8731109582542,15.654267358722706,0.0,0,0,0,0,0,0,0.5208347986198131,0.9972044422696348,negative_start_retained_shifted,868939c9fe3c80dffed0b6e4bbed3664fa18902f09074bc9ba915b861b7dc78e
S0006,/Users/shunhao/Desktop/ML/method1/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,65,65,-2.8759654394046663,998.9971455188496,1001.8731109582543,1001.8731109582543,15.65426735872272,0.0,0,0,0,0,0,0,0.9123714920306254,1.0037300538264815,negative_start_retained_shifted,e2cb88401758db4e89f2c2869672d0eebecec96e142b50f31750ff54e4c548f6
S0007,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,27,27,-3.2457655094714823,503.2663791762418,506.5121446857133,506.5121446857133,19.481236334065898,0.0,0,0,0,0,0,0,0.2029016490991553,1.0087023048344443,negative_start_retained_shifted,1da87098770bace60a00bf1ed9f614384ba13e7fc4e091e70ffaeebd6fe1688a
S0008,/Users/shunhao/Desktop/ML/method1/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""Normalized PCE"", ""unit"": null}",hours,1.0,56,56,-5.193889142878078,1066.2741092307465,1071.4679983736246,1071.4679983736246,19.481236334065898,0.0,0,0,0,0,0,0,0.8908951914228523,0.9945654512250532,negative_start_retained_shifted,f1e634a64ab60eeefe174ee6aa008663c9777cef99942dc363d7f84ee22e37f7
S0009,/Users/shunhao/Desktop/ML/method1/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""PCE"", ""unit"": ""(norm.)""}",hours,1.0,33,33,14.493093149841345,1324.2144817280746,1309.7213885782332,1309.7213885782332,40.92879339306978,0.0,0,0,0,0,0,0,0.5107532173249982,0.9990207635196668,,a6e7815481ce7eb845b103a8578f6eec23e1d68c712154e08447a70b58d5aa93
S0010,/Users/shunhao/Desktop/ML/method1/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,"{""name"": ""Time"", ""unit"": ""(h)""}","{""name"": ""PCE"", ""unit"": ""(norm.)""}",hours,1.0,33,33,6.307334471227364,1316.0287230494607,1309.7213885782335,1309.7213885782335,40.92879339306978,0.0,0,0,0,0,0,0,0.662154006842725,1.021730881947326,,d483100ede5c41847d4a461438ecc71b19f27e250725bced27c957e3060c8055
