config_id,mean_bic,bic_percentile,cp_f1,mean_segments,id,algorithm,cost,min_fraction,penalty,cp_score
CP028,-285.3068843566328,0.07931420431420431,0.9366300366300365,3.3525641025641026,CP028,pelt,linear,0.03,0.5,0.9238746438746439
CP035,-284.2701333927965,0.08073870573870574,0.9325214315598931,3.3461538461538463,CP035,pelt,linear,0.05,0.5,0.921913321721014
CP042,-279.26524097791986,0.09144790394790395,0.9287950475450475,3.301282051282051,CP042,pelt,linear,0.08,0.5,0.9126006863506864
CP049,-275.4965083924259,0.11383292633292633,0.915913715913716,3.2756410256410255,CP049,pelt,linear,0.1,0.5,0.8921164021164022
CP112,-277.7104987406028,0.10725732600732601,0.8871543342697189,3.3525641025641026,CP112,binseg,linear,0.03,0.5,0.8916250060480831
CP119,-276.5236848463867,0.10898707773707773,0.8860373956527803,3.3333333333333335,CP119,binseg,linear,0.05,0.5,0.8900178169408939
CP029,-273.1353906727249,0.12652625152625152,0.9186228123728123,2.7564102564102564,CP029,pelt,linear,0.03,1.0,0.8825035612535613
CP036,-272.50952496670806,0.1273911273911274,0.9164860602360603,2.7564102564102564,CP036,pelt,linear,0.05,1.0,0.8813843101343102
CP126,-271.63343370447404,0.12085368335368336,0.8897782772782773,3.2564102564102564,CP126,binseg,linear,0.08,0.5,0.8812727087727088
CP043,-269.2622990243018,0.14190323565323565,0.9108898046398047,2.7243589743589745,CP043,pelt,linear,0.08,1.0,0.8686553724053725
CP050,-266.9057232136253,0.15822140822140823,0.9049221611721612,2.717948717948718,CP050,pelt,linear,0.1,1.0,0.8544073056573058
CP113,-266.61367277499403,0.1586411273911274,0.8988120675620676,2.717948717948718,CP113,binseg,linear,0.03,1.0,0.8528495115995116
CP120,-266.0144556224139,0.15954415954415954,0.8988120675620676,2.717948717948718,CP120,binseg,linear,0.05,1.0,0.8521270858770859
CP133,-267.7418808968952,0.15542328042328044,0.8632060069560069,3.16025641025641,CP133,binseg,linear,0.1,0.5,0.8483025770525771
CP127,-263.06357947266036,0.17134717134717134,0.9041285103785105,2.6666666666666665,CP127,binseg,linear,0.08,1.0,0.8437479649979651
CP030,-262.28631212627005,0.1863044363044363,0.8905982905982907,2.3846153846153846,CP030,pelt,linear,0.03,2.0,0.8290761090761092
CP037,-261.722639377906,0.18776709401709402,0.8876984126984127,2.378205128205128,CP037,pelt,linear,0.05,2.0,0.8273260073260074
CP134,-260.9988272269313,0.19590710215710216,0.8856303418803418,2.628205128205128,CP134,binseg,linear,0.1,1.0,0.8204003866503867
CP044,-259.3283381387569,0.19953194953194953,0.8944444444444445,2.3525641025641026,CP044,pelt,linear,0.08,2.0,0.8192633292633293
CP063,-269.9524306774273,0.19700091575091574,0.8476176601176602,5.115384615384615,CP063,pelt,rbf,0.05,0.5,0.8119227994227995
CP056,-269.7029605416398,0.19771316646316647,0.8464041138163211,5.17948717948718,CP056,pelt,rbf,0.03,0.5,0.8111102895927311
CP114,-258.53686880466984,0.21253052503052502,0.8951923076923077,2.326923076923077,CP114,binseg,linear,0.03,2.0,0.8090140415140415
CP121,-257.615105687608,0.2148707773707774,0.8951923076923077,2.3076923076923075,CP121,binseg,linear,0.05,2.0,0.8071418396418397
CP051,-257.48538407935325,0.21911884411884414,0.8852564102564102,2.326923076923077,CP051,pelt,linear,0.1,2.0,0.8017562067562068
CP128,-256.08599369728665,0.22494403744403746,0.9069444444444443,2.301282051282051,CP128,binseg,linear,0.08,2.0,0.801433658933659
CP070,-265.5893883974379,0.22147181522181525,0.8508738946238946,4.955128205128205,CP070,pelt,rbf,0.08,0.5,0.7929973267473268
CP031,-253.98865495592727,0.24905881155881154,0.9118589743589743,2.1153846153846154,CP031,pelt,linear,0.03,3.0,0.7831247456247458
CP038,-253.953035150941,0.24928774928774927,0.9118589743589743,2.1153846153846154,CP038,pelt,linear,0.05,3.0,0.7829415954415956
CP045,-252.9277667861648,0.2577075702075702,0.9139957264957266,2.108974358974359,CP045,pelt,linear,0.08,3.0,0.7766330891330891
CP135,-254.03244888388866,0.25109381359381355,0.8868589743589743,2.2564102564102564,CP135,binseg,linear,0.1,2.0,0.7764967439967441
CP115,-252.09266927457807,0.26329110704110703,0.8934829059829059,2.076923076923077,CP115,binseg,linear,0.03,3.0,0.7680636955636956
CP122,-251.838763594403,0.26477920227920226,0.8947649572649573,2.0705128205128207,CP122,binseg,linear,0.05,3.0,0.7671296296296297
CP007,-261.02351423846545,0.25531644281644283,0.855509768009768,3.6666666666666665,CP007,pelt,l2,0.05,0.5,0.7668487993487993
CP147,-265.03489044003425,0.2573387260887261,0.8596465767138843,5.0576923076923075,CP147,binseg,rbf,0.05,0.5,0.766058334471796
CP000,-261.24299100000854,0.25698260073260076,0.8559676434676435,3.673076923076923,CP000,pelt,l2,0.03,0.5,0.7656074481074482
CP077,-261.481921028696,0.25066137566137564,0.8227883227883228,4.814102564102564,CP077,pelt,rbf,0.1,0.5,0.7640285640285642
