config_id,sample_id,bic,segments,cp_f1
CP000,S0003,-185.00549112288238,3,1.0
CP000,S0004,-118.94798257815053,3,1.0
CP000,S0005,-385.4350376649338,4,1.0
CP000,S0006,-302.48845585218567,4,1.0
CP000,S0007,-169.9463999099451,3,1.0
CP000,S0008,-200.5159862541726,3,0.7
CP000,S0009,-265.4866783556514,4,1.0
CP000,S0010,-229.1754890106683,3,1.0
CP000,S0011,-356.0343014083864,4,0.5
CP000,S0012,-384.97919745353465,4,0.7
CP000,S0013,-304.21587333260527,4,0.8
CP000,S0014,-399.084678865754,4,1.0
CP000,S0015,-367.1177151633041,4,0.7333333333333334
CP000,S0016,-315.628732947032,5,1.0
CP000,S0017,-630.0522387605444,4,0.8333333333333333
CP000,S0018,-228.4624991140271,4,0.4
CP000,S0019,-219.00270452036438,4,0.2
CP000,S0020,-285.3358162932295,4,1.0
CP000,S0021,-372.5859998471051,4,0.7857142857142857
CP000,S0022,-208.819988526836,5,1.0
CP000,S0023,-278.7472981018603,4,1.0
CP000,S0025,-334.76861228051393,3,1.0
CP000,S0028,-366.05809182257366,3,1.0
CP000,S0029,-372.6305683872084,8,0.6666666666666666
CP000,S0030,-304.86523095356904,4,0.4
CP000,S0031,-261.84644810072376,3,0.75
CP000,S0034,-264.7921725202382,4,0.7
CP000,S0035,-225.91722578621182,4,1.0
CP000,S0036,-203.31433136726963,4,1.0
CP000,S0037,-290.9702523234819,4,1.0
CP000,S0038,-315.1329656026453,3,0.5
CP000,S0039,-183.86403532938021,3,1.0
CP000,S0040,-144.1112800964139,3,1.0
CP000,S0044,-193.81647719116313,5,1.0
CP000,S0045,-568.5129199974887,4,0.6666666666666666
CP000,S0046,-72.96002080975808,3,1.0
CP000,S0047,-73.33937397590935,4,0.4
CP000,S0048,-204.41347356487745,4,0.8333333333333333
CP000,S0049,-224.2573766944634,4,1.0
CP000,S0050,-284.8824869412903,4,1.0
CP000,S0051,-169.80548299725157,3,0.75
CP000,S0052,-214.92792382593242,3,1.0
CP000,S0053,-282.63752258032764,3,1.0
CP000,S0054,-206.82467693897004,3,1.0
CP000,S0055,-337.8441851043167,5,0.9285714285714286
CP000,S0056,-284.10513429647244,3,0.75
CP000,S0057,-262.62910205094545,3,1.0
CP000,S0058,-335.8792962544362,4,1.0
CP000,S0059,-129.77562830121775,4,0.2
CP000,S0060,-357.7454296753315,4,1.0
CP000,S0061,-283.13202603757935,3,0.5
CP000,S0062,-150.32558033793518,3,1.0
CP000,S0063,-629.4776138064339,4,1.0
CP000,S0064,-516.5571509994235,4,1.0
CP000,S0065,-377.96893727583824,4,0.8333333333333333
CP000,S0066,-310.16192729200463,4,1.0
CP000,S0067,-399.9543234897493,4,1.0
CP000,S0071,-224.94660776016144,3,1.0
CP000,S0072,-346.13613697315037,4,0.8
CP000,S0075,-361.3973096312572,4,1.0
CP000,S0076,-281.92172720058846,5,0.7857142857142857
CP000,S0077,-319.9890349072121,3,1.0
CP000,S0080,-222.63342258471047,4,1.0
CP000,S0081,-391.0211559947932,4,1.0
CP000,S0082,-309.4253996180399,4,0.4
CP000,S0083,-319.4446097546761,4,1.0
CP000,S0084,-220.4130112743064,3,0.0
CP000,S0085,-226.5149806690979,3,0.5
CP000,S0086,-277.89229857930536,4,0.4
CP000,S0087,-245.1755597910236,3,0.75
CP000,S0088,-274.3129100072064,3,1.0
CP000,S0089,-291.21521412514943,3,1.0
CP000,S0090,-327.48726045831745,4,0.5
CP000,S0091,-129.86974809141273,3,1.0
CP000,S0092,-258.7079037253439,4,1.0
CP000,S0093,-129.71807135624505,3,0.75
CP000,S0095,-223.37958699625352,4,0.4
CP000,S0096,-216.39310859198824,4,0.5
CP000,S0099,-171.41811083687483,3,1.0
CP000,S0100,-225.9096964399565,4,1.0
CP000,S0103,-212.88319193425224,3,1.0
CP000,S0104,-188.438807320345,3,1.0
CP000,S0105,-325.43980284982973,4,0.8333333333333333
CP000,S0106,-185.98101062610732,4,1.0
CP000,S0107,-307.70824705347576,4,1.0
CP000,S0108,-198.50379291098994,4,0.4
CP000,S0109,-383.68260438942093,4,1.0
CP000,S0110,-340.5832602418457,4,1.0
CP000,S0118,-172.81404037416283,3,0.75
CP000,S0119,-139.05224807834895,5,0.9285714285714286
CP000,S0125,-105.16114676419431,4,1.0
CP000,S0126,-79.84546798148337,3,1.0
CP000,S0127,-167.85816350558179,3,0.5
CP000,S0128,-276.56379056001686,4,1.0
CP000,S0129,-236.18917556177627,3,1.0
CP000,S0130,-275.1439148270663,3,0.75
CP000,S0134,-356.65431265340794,4,0.3333333333333333
CP000,S0135,-389.3278247916978,4,0.3333333333333333
CP000,S0136,-240.5084845323707,4,1.0
CP000,S0137,-220.80371207402362,4,1.0
CP000,S0138,-219.19066037612276,3,0.5
CP000,S0139,-213.79183959460462,4,1.0
CP000,S0140,-120.48321121770968,3,1.0
CP000,S0141,-294.86209233812093,3,1.0
CP000,S0150,-268.82707097291217,4,1.0
CP000,S0151,-184.6252654718946,3,1.0
CP000,S0152,-226.1533637022484,3,1.0
CP000,S0153,-321.58843951458306,4,1.0
CP000,S0154,-231.30141210360551,3,1.0
CP000,S0163,-309.28046041418656,4,0.8333333333333333
CP000,S0164,-380.03084651672975,5,1.0
CP000,S0165,-505.25342577529705,4,0.5
CP000,S0166,-539.659012628254,4,1.0
CP000,S0167,-358.7543959850608,4,1.0
CP000,S0170,-734.676315239882,4,1.0
CP000,S0171,-227.0442101571045,3,0.0
CP000,S0172,-275.078276517338,3,1.0
CP000,S0173,-401.10182821690455,4,1.0
CP000,S0174,-224.48426933544098,3,1.0
CP000,S0175,-243.90473678687707,3,1.0
CP000,S0176,-175.15413741967805,3,0.5
CP000,S0177,-328.6054395487605,4,0.8333333333333333
CP000,S0178,-198.87327693152776,5,0.2857142857142857
CP000,S0179,-268.80793760056304,3,1.0
CP000,S0180,-175.25203128168977,2,1.0
CP000,S0181,-224.44537294564967,3,1.0
CP000,S0182,-441.26988929715486,4,0.8333333333333333
CP000,S0183,-327.2951471531754,4,1.0
CP000,S0184,-544.3030821060304,4,1.0
CP000,S0185,-314.05145540009283,3,1.0
CP000,S0186,-281.87674790110475,4,0.8
CP000,S0187,-277.34661154890523,4,1.0
CP000,S0191,-455.7247380278468,4,1.0
CP000,S0192,-172.88999472219612,3,1.0
CP000,S0193,-255.03786988019732,3,0.7
CP000,S0194,-544.9957774477225,4,1.0
CP000,S0195,-258.4855366046576,4,0.8
CP000,S0196,-255.723152438548,3,0.5
CP000,S0197,-119.84098943818523,7,1.0
CP000,S0198,-174.28049852620904,4,1.0
CP000,S0199,-199.03347260807809,4,1.0
CP000,S0202,-79.23132951577715,3,0.75
CP000,S0205,-89.49766831138624,4,0.9
CP000,S0206,1505.1832449130256,2,1.0
CP000,S0207,-102.62720980874948,3,1.0
CP000,S0208,-99.31501204284487,3,1.0
CP000,S0209,-106.6603890086888,2,1.0
CP000,S0210,-112.6128352993948,3,1.0
CP000,S0211,-118.58043502165346,3,1.0
CP000,S0212,-93.17163297083059,4,0.9
CP000,S0213,-182.42935669470597,4,1.0
CP000,S0214,-752.8600655651021,1,1.0
CP000,S0215,-123.16260047064134,5,1.0
CP000,S0216,-106.17957223372053,4,1.0
CP000,S0217,-407.92692021768346,5,0.75
CP000,S0218,-465.7108075703416,4,1.0
CP001,S0003,-174.44810549029185,2,1.0
CP001,S0004,-106.2016109760335,2,1.0
CP001,S0005,-391.90730605273575,3,1.0
CP001,S0006,-305.7278586069837,3,1.0
CP001,S0007,-163.5569624279175,2,1.0
CP001,S0008,-200.5159862541726,3,0.75
CP001,S0009,-263.38045880914575,3,1.0
CP001,S0010,-229.1754890106683,3,1.0
