n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction,selection_score,bootstrap_ari_p05,bootstrap_ari_p95,normalization_ari,deletion_ari
79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,5,,eom,manhattan,300h,robust,0.5064102564102564,0.95,5,300h__robust__0.95__001,0.5220126301359056,0.6937674048067021,0.92,0.41712556732809264,-0.08761227979764552,0.9782878812039639,-0.4485172298445192,0.48406966406387075
79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5232076972336757,0.7238663041364445,0.39761159607046276,141.7944070356227,5,5.0,eom,manhattan,300h,robust,0.5064102564102564,0.95,5,300h__robust__0.95__005,0.5220126301359056,0.6937674048067021,0.92,0.41712556732809264,-0.08761227979764552,0.9782878812039639,-0.4485172298445192,0.48406966406387075
79,2,0.10126582278481013,"[65, 6]",0.09230769230769231,0.5577439404669969,0.7005472108068143,0.5445454731460102,87.63449303143122,5,,eom,euclidean,300h,robust,0.5064102564102564,full,43,300h__robust__full__000,0.687248608527194,0.4811238301667749,0.86,0.3719744569028602,-0.12283139593943185,0.984358869395369,-1.0,0.37730986247844733
79,2,0.10126582278481013,"[65, 6]",0.09230769230769231,0.5577439404669969,0.7005472108068143,0.5445454731460102,87.63449303143122,5,5.0,eom,euclidean,300h,robust,0.5064102564102564,full,43,300h__robust__full__004,0.687248608527194,0.4811238301667749,0.86,0.3719744569028602,-0.12283139593943185,0.984358869395369,-1.0,0.37730986247844733
79,2,0.45569620253164556,"[5, 38]",0.13157894736842105,0.338664905517851,0.5993478404900429,0.5583207223237622,44.80147134653636,5,,eom,manhattan,300h,max,0.5064102564102564,full,42,300h__max__full__001,0.37832705480803913,0.9284527525054336,0.94,0.3157622298606506,0.003745708120978339,0.7620091030918783,-0.48682686050756263,0.5963307283622161
84,5,0.4523809523809524,"[5, 9, 13, 9, 10]",0.38461538461538464,0.44835111411048967,0.7429462493524529,0.24650715759134548,166.12067355337118,5,,leaf,manhattan,500h,max,0.5384615384615384,0.9,1,500h__max__0.9__003,0.0736351329660785,2.046903157206599,1.0,0.2842940325707648,-0.029280698635080586,0.21578612253530757,-0.12180274265518143,0.4497724392464247
79,2,0.11392405063291139,"[65, 5]",0.07692307692307693,0.5143772029479181,0.6473108564637869,0.5659851081437085,67.8686335080147,5,,eom,manhattan,300h,robust,0.5064102564102564,full,43,300h__robust__full__001,0.5471099526242541,0.6258005690106905,0.86,0.27648876031405567,-0.14415292187587492,0.9813959529985432,-0.48682686050756263,-0.4226062682679852
79,2,0.11392405063291139,"[65, 5]",0.07692307692307693,0.5143772029479181,0.6473108564637869,0.5659851081437085,67.8686335080147,5,5.0,eom,manhattan,300h,robust,0.5064102564102564,full,43,300h__robust__full__005,0.5471099526242541,0.6258005690106905,0.86,0.27648876031405567,-0.14415292187587492,0.9813959529985432,-0.48682686050756263,-0.4226062682679852
79,2,0.3924050632911392,"[5, 43]",0.11627906976744186,0.2855016188096712,0.6595917314399312,0.45199263043088456,81.3288454849478,5,,eom,manhattan,300h,initial,0.5064102564102564,0.95,5,300h__initial__0.95__001,0.28938198653385916,1.188549926304098,0.92,0.25931191375125756,-0.0196186977112688,0.7155543714901886,-0.4485172298445192,0.350463690416125
51,2,0.6470588235294118,"[13, 5]",0.38461538461538464,0.12208454407312805,0.5888000495425687,0.6445477258575659,26.27202930744664,5,,leaf,manhattan,1000h,max,0.3269230769230769,full,51,1000h__max__full__003,0.5029437330661435,0.8100603875145871,0.5,0.2288291059254227,0.13056071027746602,0.7997290285915676,0.0,-0.251954156145897
