n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,min_samples,cluster_selection_method,metric,dataset,normalization,coverage,representation,dimensions,candidate_id,bootstrap_ari,bootstrap_vi,bootstrap_valid_fraction
156,0,1.0,[],0.0,,,,,10,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__000,,,0.0
156,0,1.0,[],0.0,,,,,10,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__001,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__002,,,0.0
156,0,1.0,[],0.0,,,,,10,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__003,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__004,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__005,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__006,,,0.0
156,0,1.0,[],0.0,,,,,10,5.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__007,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__008,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__009,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__010,,,0.0
156,0,1.0,[],0.0,,,,,10,10.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__011,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__012,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__013,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__014,,,0.0
156,0,1.0,[],0.0,,,,,10,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__015,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__016,,,0.0
156,0,1.0,[],0.0,,,,,20,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__017,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__018,,,0.0
156,0,1.0,[],0.0,,,,,20,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__019,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__020,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__021,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__022,,,0.0
156,0,1.0,[],0.0,,,,,20,5.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__023,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__024,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__025,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__026,,,0.0
156,0,1.0,[],0.0,,,,,20,10.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__027,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__028,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__029,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__030,,,0.0
156,0,1.0,[],0.0,,,,,20,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__031,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__032,,,0.0
156,0,1.0,[],0.0,,,,,30,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__033,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__034,,,0.0
156,0,1.0,[],0.0,,,,,30,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__035,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__036,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__037,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__038,,,0.0
156,0,1.0,[],0.0,,,,,30,5.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__039,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__040,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__041,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__042,,,0.0
156,0,1.0,[],0.0,,,,,30,10.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__043,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__044,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__045,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__046,,,0.0
156,0,1.0,[],0.0,,,,,30,20.0,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__047,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__048,,,0.0
156,0,1.0,[],0.0,,,,,50,,eom,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__049,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__050,,,0.0
156,0,1.0,[],0.0,,,,,50,,leaf,manhattan,full_duration,initial,1.0,full,51,full_duration__initial__full__051,,,0.0
156,0,1.0,[],0.0,,,,,50,5.0,eom,euclidean,full_duration,initial,1.0,full,51,full_duration__initial__full__052,,,0.0
