drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.05,0,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,1,1.0,3,"[86.09847047297494, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,2,0.6666666666666666,3,"[70.44420311425223, 180.02407462531127, 258.2954114189249]",S0005,1
0.05,3,0.4,2,"[70.44420311425223, 148.71553990786583]",S0005,1
0.05,4,0.8,2,"[70.44420311425223, 258.2954114189249]",S0005,1
0.05,5,0.3333333333333333,3,"[70.44420311425223, 180.02407462531127, 242.64114406020215]",S0005,1
0.05,6,1.0,3,"[86.09847047297494, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,7,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,8,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,9,1.0,3,"[86.09847047297494, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,10,1.0,3,"[78.27133679361359, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,11,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,12,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,13,0.8,2,"[70.44420311425223, 258.2954114189249]",S0005,1
0.05,14,1.0,3,"[78.27133679361359, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,15,0.4,2,"[70.44420311425223, 148.71553990786583]",S0005,1
0.05,16,0.8,2,"[70.44420311425223, 258.2954114189249]",S0005,1
0.05,17,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,18,0.8,2,"[70.44420311425223, 258.2954114189249]",S0005,1
0.05,19,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,20,1.0,3,"[70.44420311425223, 195.67834198403403, 258.2954114189249]",S0005,1
0.05,21,0.8,2,"[70.44420311425223, 258.2954114189249]",S0005,1
0.05,22,1.0,3,"[70.44420311425223, 187.85120830467264, 258.2954114189249]",S0005,1
