ari,ari_assigned,vi,common_assigned_fraction,cluster_0_jaccard,cluster_1_jaccard,repeat,n_unique,n_clusters,noise_fraction
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,0,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,1,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,2,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,3,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,4,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,5,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,6,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,7,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,8,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,9,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,10,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,11,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,12,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,13,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,14,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,15,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,16,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,17,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,18,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,19,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,20,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,21,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,22,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,23,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,24,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,25,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,26,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,27,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,28,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,29,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,30,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,31,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,32,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,33,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,34,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,35,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,36,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,37,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,38,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,39,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,40,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,41,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,42,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,43,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,44,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,45,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,46,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,47,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,48,79,2,0.10126582278481013
1.0,1.0,-4.440892098500626e-16,0.8987341772151899,1.0,1.0,49,79,2,0.10126582278481013
