drop_fraction,repeat,n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,ari,ari_assigned,vi,common_assigned_fraction,n_overlap
0.05,0,79,2,0.05063291139240506,"[9, 66]",0.13636363636363635,0.5022970532440585,0.8332683139537086,0.2269891582071309,512.5463951731728,0.9212988980012562,1.0,0.2367745059257701,0.8987341772151899,79
0.05,1,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,2,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.49198186594444926,0.7234276671323178,0.38462305855554557,137.95985035215358,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,3,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.4333042431628157,0.7270068824744893,0.3852991430464573,119.51519879641778,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,4,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.6623737499208241,0.7309995365119967,0.3768393422470656,151.1113690908337,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,5,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.5459158322215009,0.7150086056663931,0.45784472117089003,158.0204047591692,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.05,6,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,7,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,8,79,2,0.10126582278481013,"[65, 6]",0.09230769230769231,0.523241265390771,0.7460194089658637,0.36058031827357856,158.80179043188252,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,9,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.5207231508403924,0.7298846665365555,0.35614687194672473,128.58232732769608,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,10,79,2,0.0379746835443038,"[11, 65]",0.16923076923076924,0.8548727541396941,0.8885476120568587,0.24076936168264657,896.7534573125464,0.8623124873308506,0.8996243486690633,0.3570752174719465,0.8987341772151899,79
0.05,11,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5045837842311551,0.7517484518651246,0.3441548773722226,174.76093831642436,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,12,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.5206964111841935,0.7126809658799299,0.39945044191280815,101.3298971851625,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,13,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.5125166987786697,0.7226555162282821,0.36036746249163704,121.5296761103898,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,14,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5207792377494108,0.7210614807813086,0.4112933196923598,159.88664392897263,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.05,15,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5126173085706843,0.7344208834015662,0.3472330583521481,174.58631789907793,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.05,16,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,17,79,2,0.11392405063291139,"[6, 64]",0.09375,0.6289466924391298,0.7404280384610512,0.36964177437841894,165.4966352157507,0.9463254444570264,1.0,0.10514106418714775,0.8860759493670886,79
0.05,18,79,2,0.06329113924050633,"[8, 66]",0.12121212121212122,0.6710350681444618,0.8972404042191423,0.23742693199558126,752.5393680100777,0.9275560762905701,1.0,0.21370594933704423,0.8987341772151899,79
0.05,19,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.47810214311927945,0.7045998966122294,0.4055261652372537,109.3254765208884,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,20,79,2,0.08860759493670886,"[65, 7]",0.1076923076923077,0.4519742303356991,0.7047997336440059,0.4349627136638758,146.83030935893197,0.990156145509044,1.0,0.0744933609882319,0.8987341772151899,79
0.05,21,79,2,0.0759493670886076,"[7, 66]",0.10606060606060606,0.5716949289673902,0.7286613001120893,0.41372739768771655,122.5464688393531,0.9353005851356642,1.0,0.17642823008375874,0.8987341772151899,79
0.05,22,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,23,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.4493855349985002,0.7272085049923285,0.3764070308428302,149.58758008432736,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,24,79,2,0.08860759493670886,"[6, 66]",0.09090909090909091,0.510398989605879,0.7045469339463963,0.4036351926130244,123.30781159861999,0.9445433586877121,1.0,0.10374938886809137,0.8987341772151899,79
0.05,25,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,26,79,2,0.06329113924050633,"[7, 67]",0.1044776119402985,0.7680165035086058,0.8554053035742999,0.2546504366796057,431.1972891560604,0.8674765521185492,1.0,0.33802495256409204,0.8860759493670886,79
0.05,27,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.38151418473973453,0.7387940781917305,0.41712294750198825,174.85191944427697,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.05,28,79,2,0.11392405063291139,"[65, 5]",0.07692307692307693,0.5145647266679333,0.7016017070286646,0.42076570346693126,107.38152317614363,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,29,79,2,0.0759493670886076,"[9, 64]",0.140625,0.6444306993647398,0.7546403505720845,0.4077304856182553,252.24246209541565,0.9239610463141207,1.0,0.23912855545965028,0.8860759493670886,79
0.05,30,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.4833948329494816,0.7373863611451456,0.3638195536253308,175.29560558980603,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,31,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.4338237599950258,0.731203128457478,0.35311662994323784,137.91078171811435,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,32,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.4659603819153446,0.7196182795662154,0.4620545612155209,161.30148251590717,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.05,33,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5065446732471739,0.6905959509449916,0.40856011361738465,113.61010986072914,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,34,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,35,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,36,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.47891790300369397,0.7196093602224071,0.39212366862223214,129.98503432603343,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,37,79,2,0.0759493670886076,"[7, 66]",0.10606060606060606,0.484326323270175,0.7382957790843042,0.3680382240420915,165.52145359758865,0.9353005851356642,1.0,0.17642823008375874,0.8987341772151899,79
0.05,38,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,39,79,3,0.24050632911392406,"[9, 5, 46]",0.10869565217391304,0.5041389979978171,0.6540442833658544,0.37147186437060203,863.9999756537063,0.36529635802732696,0.638629651506202,0.9138627591801189,0.7215189873417721,79
0.05,40,79,2,0.12658227848101267,"[5, 64]",0.078125,0.620261293942063,0.7416462303120884,0.375226743985862,128.107201790626,0.8328239970079317,1.0,0.35212827924639256,0.8607594936708861,79
0.05,41,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5108163317350292,0.7215579393775633,0.40480528490488205,164.6694953858144,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.05,42,79,2,0.12658227848101267,"[6, 63]",0.09523809523809523,0.3461566586830624,0.6860489031067618,0.5662755645305794,98.35992387649436,0.8869174020417473,0.8856911925296004,0.27993339092971203,0.8734177215189873,79
0.05,43,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.05,44,79,2,0.11392405063291139,"[5, 65]",0.07692307692307693,0.5260208033856487,0.7243479058073459,0.4004539987481192,117.84802807928382,0.9901448584988877,1.0,0.07396020399727932,0.8860759493670886,79
0.05,45,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5025454292567464,0.7506346965133028,0.3591771510970674,186.30524180376509,0.990156145509044,1.0,0.07449336098823167,0.8987341772151899,79
0.05,46,79,2,0.06329113924050633,"[9, 65]",0.13846153846153847,0.45172038818524407,0.7594436834327838,0.3757971682937521,253.29235273039265,0.9749831023433304,1.0,0.13950801797363432,0.8987341772151899,79
0.05,47,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5148601641451954,0.7183484656432809,0.4085550956730457,121.08453419344058,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,48,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.42272695201049987,0.7232925162807216,0.36687569967869316,149.5070430013049,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.05,49,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5132115903786424,0.7176366987423641,0.38299281255046497,143.59292092303295,1.0,1.0,-4.440892098500626e-16,0.8987341772151899,79
0.1,0,79,3,0.3670886075949367,"[8, 6, 36]",0.16666666666666666,0.36066117470995673,0.6623256230430522,0.3187673770026794,580.118715414406,0.1848416556773673,0.4787906898296509,1.226293481901243,0.6075949367088608,79
0.1,1,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,2,79,2,0.12658227848101267,"[5, 64]",0.078125,0.576789430738136,0.7814085248848592,0.35609031311331435,136.7775490075425,0.9313384273425434,0.8664232843219346,0.20875666545619076,0.8734177215189873,79
0.1,3,79,2,0.11392405063291139,"[7, 63]",0.1111111111111111,0.6244933169272653,0.7934753690997304,0.2766970886245392,312.8404418498182,0.8965495070265065,0.8992342565431064,0.20668339077412612,0.8860759493670886,79
