k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,check
1,0.5,0.1,11,30000,1x1,0.1956118560424803,1,,,line_topology
1,0.5,0.1,29,30000,1x1,0.2014616139923027,1,,,line_topology
1,0.5,0.1,47,30000,1x1,0.1927816079837178,1,,,line_topology
2,0.5,0.1,11,30000,1x2,0.15650922790525396,2,0.4143315060227918,0.0,line_topology
2,0.5,0.1,29,30000,1x2,0.15473678469678523,2,0.4228556379055684,0.0,line_topology
2,0.5,0.1,47,30000,1x2,0.1518694282745772,2,0.420693713382744,0.0,line_topology
3,0.5,0.1,11,30000,1x3,0.1259113833001534,3,0.36089144074284546,0.0045871559633027525,line_topology
3,0.5,0.1,29,30000,1x3,0.12631653085818778,3,0.3604753745268815,0.6972477064220184,line_topology
3,0.5,0.1,47,30000,1x3,0.12602865276012723,3,0.35958741873743727,0.25688073394495414,line_topology
4,0.5,0.1,11,30000,1x4,0.11049365973289309,4,0.33743625658304616,0.3623853211009174,line_topology
4,0.5,0.1,29,30000,1x4,0.11012300567478688,4,0.33100185650041114,0.3486238532110092,line_topology
4,0.5,0.1,47,30000,1x4,0.11031734182279662,4,0.3361475457424158,0.009174311926605505,line_topology
5,0.5,0.1,11,30000,1x5,0.104778885556537,5,0.34433957188085557,0.44036697247706424,line_topology
5,0.5,0.1,29,30000,1x5,0.10176255302549887,5,0.2623380149849055,0.43119266055045874,line_topology
5,0.5,0.1,47,30000,1x5,0.10456523055846262,5,0.3381623276653398,0.8669724770642202,line_topology
6,0.5,0.1,11,30000,1x6,0.09706359659909895,6,0.2752842279809072,0.22018348623853212,line_topology
6,0.5,0.1,29,30000,1x6,0.09728214116188943,6,0.27370249674955954,0.23394495412844038,line_topology
6,0.5,0.1,47,30000,1x6,0.09778821267201433,6,0.27381405263187,0.22935779816513763,line_topology
7,0.5,0.1,11,30000,1x7,0.09389978953359922,7,0.25468876524873413,0.41284403669724773,line_topology
7,0.5,0.1,29,30000,1x7,0.0944406206777055,7,0.2762388165490383,0.44954128440366975,line_topology
7,0.5,0.1,47,30000,1x7,0.09231256874430468,7,0.250450423128191,0.06422018348623854,line_topology
8,0.5,0.1,11,30000,1x8,0.09327898786475315,8,0.25163210315336787,0.40825688073394495,line_topology
8,0.5,0.1,29,30000,1x8,0.09072304181202694,8,0.25774667814871727,0.41284403669724773,line_topology
8,0.5,0.1,47,30000,1x8,0.09113717287431995,8,0.25775009168155977,0.6422018348623854,line_topology
9,0.5,0.1,11,30000,1x9,0.08901787858687163,9,0.257443132734235,0.26605504587155965,line_topology
9,0.5,0.1,29,30000,1x9,0.08788984030383894,9,0.2438067991832049,0.5688073394495413,line_topology
9,0.5,0.1,47,30000,1x9,0.08945334329765536,9,0.26844200386201045,0.3073394495412844,line_topology
10,0.5,0.1,11,30000,1x10,0.08445320073788116,10,0.2473093607208547,0.38990825688073394,line_topology
10,0.5,0.1,29,30000,1x10,0.08581429665475354,10,0.26730412152176586,0.24311926605504589,line_topology
10,0.5,0.1,47,30000,1x10,0.08609786185644536,10,0.2515381593520668,0.43119266055045874,line_topology
11,0.5,0.1,11,30000,1x11,0.08334230916944688,11,0.2537339358908055,0.4724770642201835,line_topology
11,0.5,0.1,29,30000,1x11,0.08401933146444776,11,0.2571885982679964,0.46788990825688076,line_topology
11,0.5,0.1,47,30000,1x11,0.08241342466043805,11,0.2527666961710199,0.23394495412844038,line_topology
12,0.5,0.1,11,30000,1x12,0.08045760650790643,12,0.23055054823222954,0.4908256880733945,line_topology
12,0.5,0.1,29,30000,1x12,0.08096115990130948,12,0.22969010983182347,0.4541284403669725,line_topology
12,0.5,0.1,47,30000,1x12,0.08064900358692867,12,0.25692702897009223,0.3211009174311927,line_topology
13,0.5,0.1,11,30000,1x13,0.07863711504904373,13,0.23285902882375098,0.41743119266055045,line_topology
13,0.5,0.1,29,30000,1x13,0.0829353792129313,13,0.24790260167337483,0.6697247706422018,line_topology
13,0.5,0.1,47,30000,1x13,0.07756517087060909,13,0.23159969836963532,0.5045871559633027,line_topology
14,0.5,0.1,11,30000,1x14,0.07737705027733321,14,0.23598458833813155,0.463302752293578,line_topology
14,0.5,0.1,29,30000,1x14,0.0763629794375704,14,0.23474690952241664,0.43119266055045874,line_topology
14,0.5,0.1,47,30000,1x14,0.07663796494968876,14,0.2275924155775028,0.463302752293578,line_topology
15,0.5,0.1,11,30000,1x15,0.0754586303524182,15,0.237622945952598,0.39908256880733944,line_topology
15,0.5,0.1,29,30000,1x15,0.07494351998995509,15,0.24390760062136557,0.8348623853211009,line_topology
15,0.5,0.1,47,30000,1x15,0.07528291250702804,15,0.22125019891676526,0.41743119266055045,line_topology
16,0.5,0.1,11,30000,1x16,0.07361606973305053,16,0.20107317013618844,0.5963302752293578,line_topology
16,0.5,0.1,29,30000,1x16,0.07275887222877633,16,0.21695426582461005,0.45871559633027525,line_topology
16,0.5,0.1,47,30000,1x16,0.07436683522545495,16,0.2598912302298915,0.7247706422018348,line_topology
1,0.5,0.1,11,30000,1x1,0.1909289329221872,1,,,documented_time_without_extreme_scale
1,0.5,0.1,29,30000,1x1,0.19010243250909262,1,,,documented_time_without_extreme_scale
1,0.5,0.1,47,30000,1x1,0.18671729452621655,1,,,documented_time_without_extreme_scale
2,0.5,0.1,11,30000,1x2,0.13704085186324508,2,0.4049147024108995,0.0,documented_time_without_extreme_scale
2,0.5,0.1,29,30000,1x2,0.13698312806741447,2,0.4026542466339225,0.0,documented_time_without_extreme_scale
2,0.5,0.1,47,30000,1x2,0.14142667582269677,2,0.4133320408623482,0.0,documented_time_without_extreme_scale
3,0.5,0.1,11,30000,1x3,0.1158748220252648,3,0.34475056913066354,0.6114649681528662,documented_time_without_extreme_scale
3,0.5,0.1,29,30000,1x3,0.11574387523216684,3,0.3451738954811158,0.0,documented_time_without_extreme_scale
3,0.5,0.1,47,30000,1x3,0.1166918413751341,3,0.34557762030256073,0.006369426751592357,documented_time_without_extreme_scale
4,0.5,0.1,11,30000,2x2,0.10445393658862047,4,0.33235393045703737,0.0,documented_time_without_extreme_scale
4,0.5,0.1,29,30000,2x2,0.10531500022828076,4,0.3299117330909253,0.0,documented_time_without_extreme_scale
4,0.5,0.1,47,30000,2x2,0.10602190684716312,4,0.3338259160282575,0.0,documented_time_without_extreme_scale
5,0.5,0.1,11,30000,1x5,0.10085637734341922,5,0.3452823381286982,0.14012738853503184,documented_time_without_extreme_scale
5,0.5,0.1,29,30000,1x5,0.10166238342505238,5,0.3459279674747872,0.1464968152866242,documented_time_without_extreme_scale
5,0.5,0.1,47,30000,1x5,0.10117333784868511,5,0.34250689259331546,0.11464968152866242,documented_time_without_extreme_scale
6,0.5,0.1,11,30000,2x3,0.09401489940780045,6,0.2774586285071729,0.16560509554140126,documented_time_without_extreme_scale
6,0.5,0.1,29,30000,2x3,0.09512020461880771,6,0.2733017754663441,0.0,documented_time_without_extreme_scale
6,0.5,0.1,47,30000,2x3,0.09401483486773264,6,0.2850022192329043,0.0,documented_time_without_extreme_scale
7,0.5,0.1,11,30000,1x7,0.09017174965456345,7,0.2852917324528534,0.33121019108280253,documented_time_without_extreme_scale
7,0.5,0.1,29,30000,1x7,0.09089301799749429,7,0.28705953456405586,0.4394904458598726,documented_time_without_extreme_scale
7,0.5,0.1,47,30000,1x7,0.08870758854187198,7,0.24393703693904228,0.28662420382165604,documented_time_without_extreme_scale
8,0.5,0.1,11,30000,2x4,0.08583127942279584,8,0.28721948728074825,0.08280254777070063,documented_time_without_extreme_scale
8,0.5,0.1,29,30000,2x4,0.0868081133692913,8,0.28355467676584195,0.3375796178343949,documented_time_without_extreme_scale
8,0.5,0.1,47,30000,2x4,0.08582946911119162,8,0.28491252336934514,0.006369426751592357,documented_time_without_extreme_scale
9,0.5,0.1,11,30000,3x3,0.08244039421017879,9,0.2708987608129804,0.37579617834394907,documented_time_without_extreme_scale
