k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
2,1,2,0.28472362291939146,0.30409570679179,0.936296095473448
3,1,2,0.24108877638103557,0.21944053653826967,1.0986519636903573
3,1,3,0.4714513274417809,0.31764495978263546,1.4842084312132489
3,2,3,0.3141627888032673,0.3197506942330702,0.9825241804612634
4,1,2,0.290451150510037,0.30669786420039624,0.9470269747958087
4,1,3,0.19850603204050177,0.18855130061956876,1.052795877770253
4,1,4,0.3857258391339817,0.201730481062668,1.9120850607308824
4,2,3,0.40791924532335994,0.3002644238850447,1.3585333888224151
4,2,4,0.5146054126628078,0.31344360432814394,1.64177991050686
4,3,4,0.20503677558098143,0.19529704074731646,1.0498713897373726
5,1,2,0.16916786229552053,0.18724108694018238,0.9034761817504526
5,1,3,0.2939752823049184,0.181831402863885,1.6167464897412789
5,1,4,0.43830130603480677,0.1851047611345604,2.3678553882046676
5,1,5,0.5536886231853728,0.3004508381902939,1.8428593061028107
5,2,3,0.129160387451148,0.17743202796633153,0.7279429138670315
5,2,4,0.2779699608266783,0.18070538623700694,1.5382494490900371
5,2,5,0.4424346520842733,0.29605146329274046,1.4944518333516452
5,3,4,0.17589920624607444,0.17529570216070955,1.0034427774208154
5,3,5,0.40092402813889233,0.2906417792164431,1.3794438955740127
5,4,5,0.28671696507379835,0.29391513748711845,0.9755093511859845
6,1,2,0.29626646513191973,0.34016539111951094,0.8709482882925967
6,1,3,0.6116337034034155,0.2503748778030763,2.442871700109125
6,1,4,0.3057106858151835,0.24337341263069723,1.2561383863202793
6,1,5,0.4342596156703229,0.24018592326883495,1.80801443215415
6,1,6,0.49450585347248766,0.24122731560126315,2.0499579504084084
6,2,3,0.41673912696872184,0.2825438853369436,1.4749536217063968
6,2,4,0.3294987317894799,0.2755424201645645,1.1958185298390378
6,2,5,0.3701666267038829,0.27235493080270223,1.3591331928998078
6,2,6,0.3642935804465598,0.27339632313513046,1.3324743225112867
6,3,4,0.43867510732027715,0.1857519068481298,2.3616183260984585
6,3,5,0.29318831330611295,0.18256441748626756,1.6059444515148549
6,3,6,0.16896680361085245,0.1836058098186958,0.9202693737071892
6,4,5,0.17677307469861994,0.17556295231388847,1.0068928117736817
6,4,6,0.2810206598665364,0.1766043446463167,1.591244317512873
6,5,6,0.1283016291114705,0.17341685528445444,0.7398452065170842
7,1,2,0.29626646513191973,0.34016539111951094,0.8709482882925967
7,1,3,0.3052192589140041,0.2488226157063064,1.2266540083087323
7,1,4,0.42430189924149553,0.23384810897689468,1.8144337411914613
7,1,5,0.48893627804068085,0.23573853117129798,2.0740617819723255
7,1,6,0.5649359068650649,0.23582235258627257,2.395599486941724
7,1,7,0.6651997634010526,0.24849243921345965,2.6769416627184923
7,2,3,0.3252254365197897,0.2809916232401737,1.1574203984074207
7,2,4,0.3683900692131182,0.266017116510762,1.3848359611033323
7,2,5,0.3722142267215291,0.26790753870516526,1.3893383833858977
7,2,6,0.38476141808795883,0.26799136012013985,1.4357232185226838
7,2,7,0.45793664373572796,0.28066144674732696,1.6316335893044753
7,3,4,0.16014715776494495,0.17467434109755742,0.9168327572250644
7,3,5,0.2619765816127487,0.1765647632919607,1.4837421506325945
7,3,6,0.37676370512744517,0.17664858470693529,2.1328430440159267
7,3,7,0.5033606962361032,0.1893186713341224,2.6588011245216183
7,4,5,0.11833974702104225,0.161590256562549,0.7323445703871064
7,4,6,0.24827123598129755,0.1616740779775236,1.53562796885604
7,4,7,0.37771809154753305,0.17434416460471067,2.166508368111607
7,5,6,0.13456665431578405,0.16356450017192686,0.8227130836724201
7,5,7,0.2625753256865087,0.17623458679911397,1.4899193765285852
7,6,7,0.13067029448631326,0.17631840821408856,0.7411040957654935
8,1,2,0.29626646513191973,0.34016539111951094,0.8709482882925967
8,1,3,0.5601762657221141,0.2391692999255472,2.3421746264946863
8,1,4,0.4823606875294804,0.28474381778242663,1.694016366311606
8,1,5,0.3057106858151835,0.24337341263069723,1.2561383863202793
8,1,6,0.4217864982623195,0.2380183504849746,1.7720755454481045
8,1,7,0.4938146022641806,0.22557181493894646,2.1891680146202535
8,1,8,0.6730394409351117,0.23880964229435647,2.818309321470044
8,2,3,0.38024283472792864,0.2713383074594145,1.401360678807962
8,2,4,0.3623527339127607,0.3169128253162939,1.1433829904205222
8,2,5,0.3294987317894799,0.2755424201645645,1.1958185298390378
8,2,6,0.36456220884469215,0.27018735801884186,1.3492941028694205
8,2,7,0.3787979566256893,0.2577408224728137,1.4696855274668204
8,2,8,0.46436442055958776,0.2709786498282238,1.713656853977069
8,3,4,0.2556141214245771,0.21591673412233015,1.1838550747982135
8,3,5,0.3740870617190195,0.17454632897060074,2.1431963876022158
8,3,6,0.24115841417867015,0.16919126682487812,1.425359705050745
8,3,7,0.1335138557292233,0.15674473127884997,0.851791665594815
8,3,8,0.14040287532183895,0.16998255863426,0.8259840094767272
8,4,5,0.4089342092147548,0.22012084682748012,1.8577713792608535
8,4,6,0.3369942799930474,0.2147657846817575,1.5691246186742898
8,4,7,0.27200117162139936,0.20231924913572935,1.3444156835463674
8,4,8,0.29843983327481655,0.21555707649113942,1.3845049215402774
8,5,6,0.160858453268755,0.17339537953002812,0.9276974605940869
8,5,7,0.2661395977761195,0.16094884398399997,1.6535663828848415
8,5,8,0.5112931890402495,0.17418667133941002,2.9353175252081907
8,6,7,0.11771036686777402,0.15559378183827735,0.7565235928908844
8,6,8,0.3799639327485625,0.1688316091936874,2.2505497315532863
8,7,8,0.26811456060431277,0.15638507364765925,1.714451094024381
9,1,2,0.24867975870787865,0.2676028295545832,0.9292867310924872
9,1,3,0.3038200620683274,0.30088624924854207,1.0097505712777253
9,1,4,0.14391650919310733,0.17031458870622357,0.8450040028065334
9,1,5,0.3752625417566849,0.2697403401007615,1.3911991866567144
9,1,6,0.4401097845890959,0.1910856679734157,2.3032066677566054
9,1,7,0.2523355962750407,0.2006987966987287,1.2572850481700926
9,1,8,0.3395671756338131,0.1898682032967066,1.7884362401806284
9,1,9,0.5629796209689201,0.2003281315191575,2.8102873854992354
9,2,3,0.3033055573580054,0.3374557167678796,0.8988010642197402
9,2,4,0.36649537670214477,0.2068840562255611,1.7715013103888633
9,2,5,0.4342244165481198,0.306309807620099,1.4175988027346058
9,2,6,0.5824961050551614,0.22765513549275324,2.558677641048442
9,2,7,0.45093907181212856,0.2372682642180662,1.9005452469517115
9,2,8,0.5115382950914121,0.2264376708160441,2.259068878636281
9,2,9,0.684693945403432,0.236897599038495,2.8902527850954356
9,3,4,0.3634717098014528,0.24016747591951998,1.5134093757276779
9,3,5,0.31841520518881156,0.3395932273140579,0.9376370892530764
9,3,6,0.4087190841221581,0.2609385551867121,1.5663422518366559
9,3,7,0.38863254478172415,0.2705516839120251,1.4364447456482852
9,3,8,0.3989933084498781,0.25972109051000297,1.5362376142283725
9,3,9,0.4858478876256359,0.27018101873245387,1.7982310152836667
9,4,5,0.33268294383040964,0.2090215667717394,1.5916201804845997
9,4,6,0.3478708592164817,0.13036689464439358,2.668398753881355
9,4,7,0.127371721614841,0.13998002336970658,0.909927849336292
9,4,8,0.22653580736318557,0.12914942996768447,1.7540596766077012
9,4,9,0.47758533968002165,0.13960935819013537,3.4208691012646404
9,5,6,0.2289899439376815,0.22979264603893151,0.9965068416457765
9,5,7,0.2858951361214077,0.2394057747642445,1.1941864660655899
9,5,8,0.2327200113592214,0.22857518136222238,1.0181333335154648
9,5,9,0.29458910205560895,0.23903510958467328,1.232409341738381
9,6,7,0.24095948938437273,0.16075110263689868,1.4989601031144846
9,6,8,0.13526042995229795,0.1499205092348766,0.9022143177247945
9,6,9,0.1313600697787038,0.1603804374573275,0.8190529459907155
9,7,8,0.11237541951153365,0.1595336379601896,0.704399529455826
9,7,9,0.37072620310030374,0.1699935661826405,2.180824906643801
9,8,9,0.2628188140843798,0.1591629727806184,1.6512560019008629
10,1,2,0.42715871404156325,0.20821004678404928,2.0515758996231463
10,1,3,0.4524932333399135,0.2364923099900295,1.9133528416166707
10,1,4,0.42721732578824034,0.2868657547482731,1.4892587167231823
10,1,5,0.5091621884049331,0.24093157926020298,2.11330615093443
10,1,6,0.3421427694228285,0.30820627729562866,1.1101096720838306
10,1,7,0.39024763796811074,0.2422195987952478,1.611131551324191
10,1,8,0.262937496696906,0.3251073508541126,0.8087713058659679
10,1,9,0.4575112254524605,0.22582512596544316,2.0259535935008004
10,1,10,0.44355000276399015,0.23017885904954621,1.9269797608498684
10,2,3,0.13932719081701095,0.13246209925674213,1.051826836497304
10,2,4,0.3930415560583437,0.18283554401498572,2.1496999293864265
10,2,5,0.48246615214309085,0.1369013685269156,3.5241879415415434
10,2,6,0.3646384631495418,0.20417606656234133,1.78590208582653
10,2,7,0.14683795324532967,0.1381893880619604,1.0625848721429425
10,2,8,0.20164832582656528,0.22107714012082522,0.912117488566925
10,2,9,0.24301744387775556,0.1217949152321558,1.9953004065443538
10,2,10,0.35300332952305347,0.12614864831625883,2.7983124213749995
10,3,4,0.32590152856736004,0.21111780722096593,1.543695119124916
10,3,5,0.36301405387653046,0.1651836317328958,2.1976393790852664
10,3,6,0.45661698309355236,0.23245832976832154,1.9642960678098198
10,3,7,0.27723043403383496,0.1664716512679406,1.6653311955656949
10,3,8,0.21205156062340283,0.24935940332680542,0.8503852583633765
10,3,9,0.11327870101238191,0.150077178438136,0.7548029766502908
10,3,10,0.23462059328990298,0.15443091152223903,1.5192592660188768
10,4,5,0.29843983327481655,0.21555707649113942,1.3845049215402774
10,4,6,0.4905004929564029,0.28283177452656516,1.734248189679029
10,4,7,0.45707543229940123,0.21684509602618424,2.1078430671275545
10,4,8,0.33337225238381846,0.299732848085049,1.1122312903430067
10,4,9,0.2677778407867546,0.2004506231963796,1.335879312903982
10,4,10,0.2555122594601134,0.20480435628048266,1.247591916991187
10,5,6,0.684693945403432,0.236897599038495,2.8902527850954356
10,5,7,0.5894883999831055,0.1709109205381141,3.4490973316807234
10,5,8,0.40464706076170526,0.2537986725969789,1.594362400012497
10,5,9,0.2535285395107651,0.15451644770830947,1.6407867464657682
10,5,10,0.13082967112000526,0.15887018079241252,0.8235004861670904
10,6,7,0.2520507900587113,0.23818561857353981,1.0582116232214525
10,6,8,0.3241828458226993,0.3210733706324046,1.0096846249944993
10,6,9,0.5210126534498036,0.2217911457437352,2.3491138553015043
10,6,10,0.5811425181263277,0.22614487882783824,2.569779696708257
10,7,8,0.22978417857300518,0.25508669213202373,0.9008081787899666
10,7,9,0.37094212764848256,0.15580446724335428,2.380818305222919
10,7,10,0.46474432154691425,0.16015820032745734,2.9017828659207217
10,8,9,0.24913646179686352,0.2386922193022191,1.043756107866342
10,8,10,0.29274244013844847,0.24304595238632215,1.2044736283990183
10,9,10,0.1290423801560032,0.1437637274976527,0.8976004059028737
11,1,2,0.3421427694228285,0.30820627729562866,1.1101096720838306
11,1,3,0.30816898087041955,0.31702477754773584,0.9720659162800522
11,1,4,0.2520507900587113,0.23818561857353981,1.0582116232214525
11,1,5,0.3646384631495418,0.20417606656234133,1.78590208582653
11,1,6,0.4905004929564029,0.28283177452656516,1.734248189679029
11,1,7,0.6302501522937928,0.20966798593865432,3.00594365645404
11,1,8,0.5163017077799393,0.2181920804118726,2.3662715292202035
11,1,9,0.45181440482451846,0.23153907575987542,1.9513527180746209
11,1,10,0.5355733449521921,0.23679181657652226,2.2617899245648756
11,1,11,0.6912149291232471,0.23995652181545618,2.8805840487004604
11,2,3,0.26009012717360486,0.32105875776944376,0.8101013315462299
11,2,4,0.39024763796811074,0.2422195987952478,1.611131551324191
11,2,5,0.42715871404156325,0.20821004678404928,2.0515758996231463
11,2,6,0.42721732578824034,0.2868657547482731,1.4892587167231823
11,2,7,0.4974059381720522,0.21370196616036227,2.3275683752895286
11,2,8,0.45929297944680464,0.22222606063358055,2.066782708280619
11,2,9,0.45219811789787157,0.23557305598158335,1.9195663783095107
