k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
1,0.3,11,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.3,29,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.3,47,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.3,71,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.3,101,0.05165368412402472,1,,dtw_0,0.1945852055076173,
2,0.3,11,0.03696138016269219,2,0.7463620967408207,dtw_0,0.17008560971870168,0.45286110300039917
2,0.3,29,0.03696138016269219,2,0.7463620967408207,dtw_0,0.17008560971870168,0.45286110300039917
2,0.3,47,0.03778289033383489,2,0.7187396828827529,dtw_0,0.17068406674627526,0.4137941428586934
2,0.3,71,0.03696138016269219,2,0.7463620967408207,dtw_0,0.17008560971870168,0.45286110300039917
2,0.3,101,0.03696138016269219,2,0.7463620967408207,dtw_0,0.17008560971870168,0.45286110300039917
3,0.3,11,0.0344090472714577,3,0.6339058064412234,dtw_0,0.16650017908363024,0.2747464398033463
3,0.3,29,0.03499807803281521,3,0.6893154328837352,dtw_0,0.16580580248060384,0.3795527133399888
3,0.3,47,0.03461688511373681,3,0.6115473455838109,dtw_0,0.1655293312780918,0.24553635175223926
3,0.3,71,0.035008311983373085,3,0.26849415165723883,dtw_0,0.14659719870265198,0.23960339989453974
3,0.3,101,0.03407100835163751,3,0.6119744102273953,dtw_0,0.16590966977943628,0.24720614362787569
4,0.3,11,0.032544323418687064,4,0.6018924639600802,dtw_0,0.16154496209288258,0.23527974261008477
4,0.3,29,0.032544323418687064,4,0.6018924639600802,dtw_0,0.16154496209288258,0.23527974261008477
4,0.3,47,0.033797638531908154,4,0.6000414582634799,dtw_0,0.16191778982017477,0.21296498280677933
4,0.3,71,0.03328938704702724,4,0.12197185037817104,dtw_0,0.14583485837131965,0.08279981969826151
4,0.3,101,0.03282123801434434,4,0.6075514844663079,dtw_0,0.16410114952139737,0.23073605341249442
