k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
1,0.5,0.1,11,50000,1x1,0.19309802358896752,1,,,minmax
1,0.5,0.1,29,50000,1x1,0.1952199085519451,1,,,minmax
1,0.5,0.1,47,50000,1x1,0.19459802041697277,1,,,minmax
1,0.5,0.1,71,50000,1x1,0.19738022184871404,1,,,minmax
1,0.5,0.1,101,50000,1x1,0.20081469828337675,1,,,minmax
2,0.5,0.1,11,50000,1x2,0.15324463936318988,2,0.3830120931930253,0.0,minmax
2,0.5,0.1,29,50000,1x2,0.1503079384112026,2,0.3856846042781667,0.0,minmax
2,0.5,0.1,47,50000,1x2,0.15261382441912394,2,0.42307613843436714,0.0,minmax
2,0.5,0.1,71,50000,1x2,0.15290864946794147,2,0.4015448829144133,0.0,minmax
2,0.5,0.1,101,50000,1x2,0.15011108947103263,2,0.36296940612924733,0.0,minmax
3,0.5,0.1,11,50000,1x3,0.12604600462906204,3,0.360881876345622,0.0045871559633027525,minmax
3,0.5,0.1,29,50000,1x3,0.12673227240942617,3,0.36047537452688155,0.7155963302752294,minmax
3,0.5,0.1,47,50000,1x3,0.12596381185642322,3,0.359484152439747,0.27522935779816515,minmax
3,0.5,0.1,71,50000,1x3,0.1253785336907078,3,0.36024906907911025,0.0045871559633027525,minmax
3,0.5,0.1,101,50000,1x3,0.12611579813237744,3,0.3505230263357104,0.7247706422018348,minmax
4,0.5,0.1,11,50000,2x2,0.1098684194776046,4,0.33326842815447194,0.0,minmax
4,0.5,0.1,29,50000,2x2,0.10911078837816861,4,0.3278089083587658,0.0,minmax
4,0.5,0.1,47,50000,2x2,0.10936428081799802,4,0.3323765849679582,0.0,minmax
4,0.5,0.1,71,50000,2x2,0.11172274549816703,4,0.33163068431707377,0.0,minmax
4,0.5,0.1,101,50000,2x2,0.10929916779983441,4,0.33375412439799595,0.0,minmax
5,0.5,0.1,11,50000,1x5,0.10229029633380725,5,0.2634273009607045,0.009174311926605505,minmax
5,0.5,0.1,29,50000,1x5,0.10321006988998406,5,0.2601703127611112,0.009174311926605505,minmax
5,0.5,0.1,47,50000,1x5,0.10531144623087062,5,0.33809158826860286,0.8807339449541285,minmax
5,0.5,0.1,71,50000,1x5,0.1041416250940361,5,0.26193525299886417,0.013761467889908258,minmax
5,0.5,0.1,101,50000,1x5,0.1064893530220591,5,0.34765540363819153,0.41284403669724773,minmax
6,0.5,0.1,11,50000,2x3,0.09907088475697894,6,0.2747320374636822,0.2981651376146789,minmax
6,0.5,0.1,29,50000,2x3,0.09735889075578381,6,0.2751422666079139,0.0,minmax
6,0.5,0.1,47,50000,2x3,0.09830641721413468,6,0.27333526328007457,0.0045871559633027525,minmax
6,0.5,0.1,71,50000,2x3,0.09859632238283514,6,0.2731276384263964,0.3761467889908257,minmax
6,0.5,0.1,101,50000,2x3,0.09849332908274047,6,0.27346648689618636,0.0,minmax
7,0.5,0.1,11,50000,1x7,0.09506183615616084,7,0.2785799579215591,0.26146788990825687,minmax
7,0.5,0.1,29,50000,1x7,0.09370110382721004,7,0.24632912566063903,0.3853211009174312,minmax
7,0.5,0.1,47,50000,1x7,0.09350072897974487,7,0.24593594188957218,0.06880733944954129,minmax
