k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,parent
1,0.5,0.1,11,30000,1x1,0.09671329957377824,1,,,1
1,0.5,0.1,29,30000,1x1,0.0975767293300579,1,,,1
1,0.5,0.1,47,30000,1x1,0.09688492078765655,1,,,1
1,0.5,0.1,71,30000,1x1,0.10301557240714512,1,,,1
1,0.5,0.1,101,30000,1x1,0.09921823255527754,1,,,1
2,0.5,0.1,11,30000,1x2,0.08026001531738988,2,0.31544280951843795,0.0,1
2,0.5,0.1,29,30000,1x2,0.08093304880628342,2,0.3058228244369215,0.0,1
2,0.5,0.1,47,30000,1x2,0.08313577818589443,2,0.3058228244369215,0.0,1
2,0.5,0.1,71,30000,1x2,0.0802740156276372,2,0.3175308346577296,0.0,1
2,0.5,0.1,101,30000,1x2,0.08116542278486491,2,0.35228569316428976,0.0,1
3,0.5,0.1,11,30000,1x3,0.06971774224978662,3,0.3982165904555152,0.021739130434782608,1
3,0.5,0.1,29,30000,1x3,0.07015849115597715,3,0.3982165904555152,0.7608695652173914,1
3,0.5,0.1,47,30000,1x3,0.07079127110887903,3,0.3721325799835371,0.782608695652174,1
3,0.5,0.1,71,30000,1x3,0.07104885908737031,3,0.3721325799835371,0.1956521739130435,1
3,0.5,0.1,101,30000,1x3,0.06930317122634556,3,0.4126149261982493,0.0,1
4,0.5,0.1,11,30000,2x2,0.06400741925241235,4,0.36275901371727476,0.0,1
4,0.5,0.1,29,30000,2x2,0.06277813205003584,4,0.36275901371727476,0.0,1
4,0.5,0.1,47,30000,2x2,0.06301801757505446,4,0.36275901371727476,0.0,1
4,0.5,0.1,71,30000,2x2,0.06332518584929013,4,0.36275901371727476,0.0,1
4,0.5,0.1,101,30000,2x2,0.06266225962573267,4,0.36275901371727476,0.0,1
5,0.5,0.1,11,30000,1x5,0.058388473430138386,5,0.23635293862560944,0.41304347826086957,1
5,0.5,0.1,29,30000,1x5,0.05839824092096948,5,0.2435419274537419,0.7391304347826086,1
5,0.5,0.1,47,30000,1x5,0.05774899326618603,5,0.2458006934654358,0.8478260869565217,1
5,0.5,0.1,71,30000,1x5,0.05821024393015057,5,0.2435419274537419,0.7391304347826086,1
5,0.5,0.1,101,30000,1x5,0.057936814760067665,5,0.24105834926168876,0.6521739130434783,1
6,0.5,0.1,11,30000,2x3,0.05456151803625866,6,0.2476506103878165,0.5652173913043478,1
6,0.5,0.1,29,30000,2x3,0.05534553979426033,6,0.24447227082708414,0.043478260869565216,1
6,0.5,0.1,47,30000,2x3,0.05440361360300765,6,0.24730429822171687,0.021739130434782608,1
6,0.5,0.1,71,30000,2x3,0.05493523799210009,6,0.2498389994618614,0.13043478260869565,1
6,0.5,0.1,101,30000,2x3,0.054948924825675885,6,0.24447227082708414,0.021739130434782608,1
7,0.5,0.1,11,30000,1x7,0.051548468723063505,7,0.2210720984442635,0.6956521739130435,1
7,0.5,0.1,29,30000,1x7,0.05253418838250585,7,0.22828046909332897,0.7391304347826086,1
7,0.5,0.1,47,30000,1x7,0.05080024640771298,7,0.2609618766209438,0.30434782608695654,1
7,0.5,0.1,71,30000,1x7,0.052405066991485304,7,0.22005920022088213,0.717391304347826,1
7,0.5,0.1,101,30000,1x7,0.051688128004646096,7,0.2221592270270593,0.7608695652173914,1
8,0.5,0.1,11,30000,2x4,0.048279124826805464,8,0.22422740140546624,0.2608695652173913,1
8,0.5,0.1,29,30000,2x4,0.04957066849593188,8,0.2247910375816081,0.21739130434782608,1
