sigma,lr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,normalized_area_score
0.15,0.03,0.15320976649049697,0.11990159317154041,0.07354503110906772,0.06177162524140162,0.05196230234092379,0.04524962904362616,0.04267764193826266,0.0420186869660911,0.03897311701078216,0.03438032455001228,0.03633003728758654,0.03565535877632215,0.03641193152535749,0.03370302008188635,0.03216748918324739,0.02844012413221397,0.35343605155491103
0.15,0.1,0.16064607166394623,0.1140215933749937,0.06851079911084912,0.0585414085890835,0.04750626732608748,0.0399043911868754,0.03816079359801172,0.03633862719511696,0.03298816525575097,0.03312488746734059,0.03212180956278926,0.029489438356239912,0.028829642128881082,0.02893857823642385,0.027440133607922645,0.026638148861462794,0.31248848291244796
0.15,0.3,0.16591878522238632,0.11453312301700051,0.06913592237388626,0.058837199290737045,0.049871263060788755,0.04408708931864219,0.037692037727489115,0.03582488053097899,0.034169125629156596,0.03296619636745342,0.032615272017331554,0.030103927740684298,0.029752447589557567,0.02853511770899852,0.026801843520670037,0.026496213017433698,0.30788423197442916
0.3,0.03,0.15320976649049697,0.11990191025314335,0.07356015690475977,0.061782925801972505,0.05196589095038191,0.04527736129362517,0.042684527740753396,0.04157016690377329,0.039002052897151314,0.03390180713533334,0.036421275835547016,0.035680461153116065,0.03642123924061357,0.033689151483059974,0.032178669638710355,0.028420720664851157,0.35313842265768
0.3,0.1,0.16064607166394623,0.1140203275254708,0.06851085980157871,0.05854108612690762,0.04750609812977578,0.03990421345417895,0.03816006506835665,0.036338013461140906,0.033874620044228865,0.03312366174597001,0.03106923892589477,0.029474505877308165,0.029104866938147293,0.02891652876492648,0.028349877531782433,0.026640257593238938,0.3128695757711666
0.3,0.3,0.16591878522238632,0.11453312275822497,0.0691359206811582,0.05883719897268834,0.04987126284706107,0.044087088965355146,0.03769203774251313,0.035824880259399575,0.03369589702140238,0.03296618558408802,0.03261527185578665,0.03005684088084014,0.02890003839933957,0.027739881278030915,0.02686930065670516,0.026496212176717444,0.307092986867417
0.5,0.03,0.15320976649049697,0.12287541874295418,0.07519152286920638,0.06258247503050492,0.05311804358778478,0.050063184452357544,0.0440915332779136,0.041659040172062976,0.04042193135807729,0.03524240418630795,0.0379191800633489,0.03742387774729213,0.03656879498091994,0.03449442275254024,0.03431197762159687,0.029786138403571152,0.36263994950351064
0.5,0.1,0.16064607166394623,0.11442247369023878,0.06856740572410738,0.05866356815568492,0.047526894547147605,0.03991436223143206,0.03749214212740259,0.036334253189874995,0.03400826039100181,0.03186284021349691,0.030662036507267787,0.029100249555735765,0.028686096638017376,0.027100084954109545,0.026654093525800407,0.026121152778969727,0.3103725077242565
0.5,0.3,0.16591878522238632,0.11453260272858,0.06913511495019577,0.0588359768723456,0.04987062105697059,0.0421954011273777,0.03769199373260868,0.03581575224135505,0.03414980599668765,0.03283338969435622,0.03214196161053866,0.029486416185467105,0.029061612245556177,0.02765978329692093,0.027181329902382104,0.026038867707476866,0.30607949752424024
1.0,0.03,0.15320976649049697,0.10686662598999817,0.08058781857356126,0.06764241697941233,0.05816494896912663,0.056961196067130244,0.05057068383596563,0.04918923313280074,0.04860196677415196,0.04452914948997184,0.04102775384200456,0.04266334336281476,0.0394488908948651,0.03836096056923444,0.03980687383243459,0.03663345666144785,0.38928045651246335
1.0,0.1,0.16064607166394623,0.12004439269395364,0.07557986530199104,0.06534798044366384,0.05043541074384155,0.04710830836037078,0.04108331641819842,0.041663992305361434,0.04013186021501376,0.03608249075458668,0.03280826304580478,0.031532607127751425,0.03133739543062502,0.02934772113398356,0.028731345173856778,0.027963512151118825,0.334525972242091
1.0,0.3,0.16591878522238632,0.12313928041841696,0.07192728066666004,0.06160719135708859,0.048824287908482165,0.044293605195511086,0.03788530305537146,0.03806708684728425,0.03564572618535607,0.03417261234564299,0.031242229891284612,0.030206694880596116,0.029795867890802182,0.027751103761837315,0.02712950807315264,0.026236596502158267,0.31410064534148596
