sigma,lr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,normalized_area_score
0.15,0.03,0.19473782079923235,0.15085129432727878,0.12523423656299493,0.10877958254269518,0.10220295954178377,0.09914502327594622,0.0958449425103852,0.09240532678530551,0.09085848070373277,0.08921505758419107,0.08585647936218413,0.0858978766542599,0.0807423558505612,0.0827039611843636,0.07881728450168862,0.07676396713402774,0.526366887345509
0.15,0.1,0.19489732025204404,0.15226723128854136,0.12619802367680122,0.10884810899037661,0.10340914487618078,0.098077156058266,0.09408490797233827,0.09137225537868668,0.08891814782483322,0.08627962185328367,0.08409921884599438,0.0834736226865567,0.08048269836157727,0.07887883268143762,0.07736959413607797,0.07559922763118049,0.520868857513557
0.15,0.3,0.19340388655408539,0.15695019505378402,0.1279162130365088,0.11191026946053956,0.10641018067643161,0.09979868694277222,0.09755938418008125,0.09376386062211436,0.09097738119178958,0.08851021531133899,0.08755045937535735,0.0849737812008907,0.0809883839532362,0.08146461839144269,0.07914341609982205,0.07708894263212815,0.5359283053428158
0.3,0.03,0.19473782079923235,0.15085129432725047,0.1252342361043845,0.10878010280616564,0.10220297594508526,0.09922232008707907,0.09597129271164424,0.09240504670694792,0.09085664712296476,0.08927728489490723,0.08584545943316182,0.0858965726296284,0.08074511235811967,0.08269289880622582,0.07881364107635927,0.07676079347951009,0.5264429030005136
0.3,0.1,0.19489732025204404,0.15226723128854136,0.12619802367680122,0.1088481089903964,0.1034091448761981,0.09777867652645622,0.09408490796909257,0.09137225598275316,0.08891815126984443,0.08627954872863779,0.08407889818226844,0.08387752106482343,0.08048655118044362,0.07885780267349686,0.07736971575410148,0.07582561004987126,0.5209632520745024
0.3,0.3,0.19340388655408539,0.15695019505378402,0.1279162130365088,0.11191026946053956,0.10641018067643161,0.10068142938492677,0.09755938417985306,0.09376385948767996,0.09097738119465361,0.08883789939866045,0.08755045936321172,0.08610350706648581,0.08098838395711085,0.08146461844348725,0.079143415312044,0.07708894302769752,0.5366845436727856
0.5,0.03,0.19473782079923235,0.1508512784262335,0.12523341866243554,0.10878404225747453,0.10167618825728861,0.09812885078776766,0.09500085738149054,0.09375165754366474,0.09015281863151209,0.08792905577906869,0.08825631432022181,0.08543593194014738,0.08107802511175635,0.08229352266703069,0.07993609394901374,0.07727504093704828,0.5265158915710524
0.5,0.1,0.19489732025204404,0.15226723039853401,0.12619802178225253,0.10884811195206665,0.10340914868887496,0.09761526145480551,0.09368923136162012,0.0913045083349991,0.08867442039808442,0.08660670465290497,0.08444658599579549,0.08222533106107421,0.08040879984626731,0.07819219665915855,0.07776869610952292,0.0759993358684061,0.52032234932672
0.5,0.3,0.19340388655408539,0.15695019422530251,0.12791621205503795,0.11191026890909346,0.10590005626576299,0.1006814296752276,0.09741614222524053,0.09384486137614617,0.09061761931780735,0.08850061214389782,0.08628712580242966,0.08272481699280271,0.08046231161971021,0.07884191346278226,0.07810131039929197,0.0760692646859164,0.5330903811908456
1.0,0.03,0.19473782079923235,0.14952262107292594,0.12511177397368178,0.12083147678326707,0.10143869773685192,0.0985867510589939,0.09425641505165287,0.0923978949015985,0.08987634648154434,0.08803543092285729,0.08495304632719397,0.08277322850949884,0.08130152527146671,0.08227330599952752,0.08080689477632508,0.0792964607854535,0.5283384615838325
1.0,0.1,0.19489732025204404,0.1516160517755523,0.1258464584902565,0.12066058200384315,0.10270669675659347,0.09955731140687393,0.0937041822630232,0.09047791590498319,0.08969766094158516,0.08487687717052632,0.0847816478376503,0.08339019402400372,0.08091423004686599,0.07821424886876348,0.07729698055283012,0.07531896870561795,0.5239801799506387
1.0,0.3,0.19340388655408539,0.1518201949007879,0.1274521624229099,0.11200150244684874,0.1053428988187501,0.10043152507914276,0.09496298532313444,0.09188229246240512,0.08955426130720257,0.08739670825535796,0.08601867701963235,0.08270542344834803,0.08117138701579082,0.07812877352994328,0.07734936432849764,0.07609248225340284,0.528594123129479
