sigma,lr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,normalized_area_score
0.15,0.03,0.47964895448252204,0.3943460063107126,0.3493865931712556,0.32466686813847145,0.3120237920423683,0.3027644890506535,0.2887730138263087,0.27938896173947797,0.27790361903863353,0.26699454805667383,0.2652902281065658,0.26218281161430596,0.2590933178478542,0.24940970726954143,0.251434262574974,0.24393268201557045,0.6264008044790105
0.15,0.1,0.48114164803834597,0.396387739192206,0.3527769759941143,0.3276413798403458,0.3151779048245101,0.2921352422328705,0.2866645495546071,0.2782266104452522,0.2726354871655573,0.2660415493904884,0.26089669358372936,0.2630152959665877,0.24919512028934165,0.24507405042615035,0.2418881469195088,0.23672664538632926,0.6190517203561298
0.15,0.3,0.47614549746846546,0.40613802365265184,0.35906294017225593,0.3418796773349979,0.3309282188369552,0.3135598566952358,0.30208368851758916,0.29795493093115283,0.27872185109168995,0.27116352124337856,0.26278841539374864,0.25954505211097,0.2532111376466623,0.2504010256390878,0.24060812122508776,0.2414254656174311,0.6412978608367668
0.3,0.03,0.47964895448252204,0.39434601524241786,0.3493865955978753,0.32466699727039433,0.312023986668316,0.30276600962567213,0.28877185591959625,0.27939563556584396,0.27790501255838473,0.26699627707375245,0.26528365652956243,0.26218109212918334,0.25968605009595797,0.24940235426185484,0.2514402375523003,0.24394943638134986,0.6264803303050588
0.3,0.1,0.48114164803834597,0.3963877391922033,0.35277697599448116,0.3276413798408308,0.31517790496744363,0.29213525046336153,0.28666458007242823,0.27822553549520235,0.27263535359707514,0.2668546698407087,0.2608954866358876,0.26301532586860704,0.24916175550259267,0.24342665674335368,0.24517899367937093,0.23350459926947698,0.6189476470479052
0.3,0.3,0.47614549746846546,0.40613802365265184,0.35906294017225593,0.3418796773349979,0.3309282188369545,0.31355692173996375,0.3010342317219782,0.29795493143386853,0.2787218517111709,0.271163524130522,0.2660263902719245,0.26269446481773695,0.252653912142185,0.25045626994273845,0.24369501736631194,0.24142546438719636,0.6423374476851762
0.5,0.03,0.47964895448252204,0.39434951216270264,0.34938648171569364,0.32446276302628113,0.3094192197399993,0.29651084362967467,0.2858343698694879,0.28141064218939776,0.2738069429377679,0.2704424242117221,0.26705209100782107,0.26248836037916895,0.256483696744984,0.24439911051416513,0.2533478384819254,0.24668332323995568,0.6249005821751485
0.5,0.1,0.48114164803834597,0.3963877340681369,0.35277698355499487,0.3276010677962926,0.3149528444754211,0.2923915113587855,0.28517701436411325,0.27480365973539617,0.27322282573460777,0.2637611572503771,0.2587620057874901,0.25131831027938245,0.2484497323723805,0.24352890953550546,0.24019669292588045,0.23618653956167668,0.6158086002540574
0.5,0.3,0.47614549746846546,0.4061380225431598,0.3590629373479528,0.3346117226013001,0.32850285871799684,0.31543687721603975,0.28968681177610595,0.2831497252144455,0.2819804772291319,0.2747686247794347,0.26164500575703104,0.25252355852346053,0.2513353626837021,0.24523214082555972,0.24184752509183774,0.2385683189180396,0.6353934212900769
1.0,0.03,0.47964895448252204,0.39697624380128205,0.34849094201860253,0.3252846364407961,0.3067242819407269,0.3031648737005152,0.2869006836885192,0.28011752942823287,0.27537815099011015,0.26985762211054515,0.2600466346770802,0.2586766702449951,0.25528831315227063,0.2507383875344663,0.25147790162037753,0.24994475337643754,0.6252901906646318
1.0,0.1,0.48114164803834597,0.39753188546591156,0.35138069326110205,0.323214833518652,0.31163565468114596,0.2964332220538612,0.2831222118322266,0.27765106314665805,0.2699995833010032,0.2650112759070479,0.25775805974073945,0.25416273738674383,0.2464357312122624,0.24260220165487548,0.2414147392325952,0.24023263432949493,0.6156877338106833
1.0,0.3,0.47614549746846546,0.40630194567640415,0.35656408067954587,0.33295993715341643,0.32786788949361007,0.3032621164295563,0.28874200267438,0.2812943647105613,0.2756917634177588,0.26832659063475495,0.25882208878181756,0.2556550451014119,0.24831916167740098,0.2456663450387285,0.2429198294441057,0.23879683155915682,0.6310223864738239
