k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
1,0.15,0.03,11,5000,1x1,0.19473782079923235,1,,,minmax
1,0.15,0.03,29,5000,1x1,0.19503055763898272,1,,,minmax
1,0.15,0.03,47,5000,1x1,0.1932512526901854,1,,,minmax
2,0.15,0.03,11,5000,1x2,0.15133738216365436,2,0.41433150602279173,0.0,minmax
2,0.15,0.03,29,5000,1x2,0.15085129432727878,2,0.4206937133827439,0.0,minmax
2,0.15,0.03,47,5000,1x2,0.1500798297252174,2,0.3998323941887043,0.0,minmax
3,0.15,0.03,11,5000,1x3,0.12512236213426417,3,0.360881876345622,0.0045871559633027525,minmax
3,0.15,0.03,29,5000,1x3,0.12523423656299493,3,0.3597775473474146,0.7155963302752294,minmax
3,0.15,0.03,47,5000,1x3,0.12533269561029567,3,0.36047537452688155,0.27522935779816515,minmax
4,0.15,0.03,11,5000,2x2,0.1081314988017848,4,0.3357746602785308,0.0,minmax
4,0.15,0.03,29,5000,2x2,0.10877958254269518,4,0.3357746602785308,0.0,minmax
4,0.15,0.03,47,5000,2x2,0.12068436233663392,4,0.36073555322556494,0.0,minmax
5,0.15,0.03,11,5000,1x5,0.1011532419144406,5,0.264278665542253,0.8669724770642202,minmax
5,0.15,0.03,29,5000,1x5,0.10220295954178377,5,0.2623154741964765,0.6467889908256881,minmax
5,0.15,0.03,47,5000,1x5,0.1077658575293307,5,0.3022975414902572,0.6009174311926605,minmax
6,0.15,0.03,11,5000,2x3,0.10252201422428556,6,0.3380145018127582,0.1743119266055046,minmax
6,0.15,0.03,29,5000,2x3,0.09914502327594622,6,0.26322962914865433,0.8073394495412844,minmax
6,0.15,0.03,47,5000,2x3,0.09903368436466922,6,0.20158064824511737,0.1834862385321101,minmax
7,0.15,0.03,11,5000,1x7,0.095274703079757,7,0.205596566801034,0.5458715596330275,minmax
7,0.15,0.03,29,5000,1x7,0.09635525922484858,7,0.159100619235343,0.7614678899082569,minmax
7,0.15,0.03,47,5000,1x7,0.0958449425103852,7,0.2248910523364976,0.555045871559633,minmax
8,0.15,0.03,11,5000,2x4,0.09057159698087071,8,0.25839732109022856,0.29357798165137616,minmax
8,0.15,0.03,29,5000,2x4,0.0948971051365363,8,0.14333653633211194,0.6146788990825688,minmax
8,0.15,0.03,47,5000,2x4,0.09240532678530551,8,0.23044142364320122,0.5045871559633027,minmax
9,0.15,0.03,11,5000,3x3,0.08970920794629655,9,0.23987096662800142,0.46788990825688076,minmax
9,0.15,0.03,29,5000,3x3,0.09085848070373277,9,0.22854331525607177,0.5871559633027523,minmax
9,0.15,0.03,47,5000,3x3,0.09208467745274745,9,0.25511446678845,0.5779816513761468,minmax
10,0.15,0.03,11,5000,2x5,0.0886775334644091,10,0.20090175425742104,0.4908256880733945,minmax
10,0.15,0.03,29,5000,2x5,0.08962585758394402,10,0.19099983156865566,0.8256880733944955,minmax
10,0.15,0.03,47,5000,2x5,0.08921505758419107,10,0.19238648535676825,0.7339449541284404,minmax
11,0.15,0.03,11,5000,1x11,0.08962683048595961,11,0.19394119345676572,0.8577981651376146,minmax
11,0.15,0.03,29,5000,1x11,0.08367358355801395,11,0.20801893143155856,0.926605504587156,minmax
11,0.15,0.03,47,5000,1x11,0.08585647936218413,11,0.19681028158927577,0.7752293577981652,minmax
12,0.15,0.03,11,5000,3x4,0.08473430129678536,12,0.24235195571995177,0.5963302752293578,minmax
12,0.15,0.03,29,5000,3x4,0.0858978766542599,12,0.19062962107235504,0.7339449541284404,minmax
12,0.15,0.03,47,5000,3x4,0.087067485135959,11,0.1787493433094819,0.6697247706422018,minmax
13,0.15,0.03,11,5000,1x13,0.0807423558505612,13,0.16273196997633713,0.8119266055045872,minmax
13,0.15,0.03,29,5000,1x13,0.08192414404136587,13,0.23039524679853682,0.963302752293578,minmax
13,0.15,0.03,47,5000,1x13,0.08057927581661131,13,0.1965706609199907,0.926605504587156,minmax
14,0.15,0.03,11,5000,2x7,0.08184002609370636,14,0.19247833740056564,0.5229357798165137,minmax
14,0.15,0.03,29,5000,2x7,0.08572541888645543,14,0.19915080639582058,0.6834862385321101,minmax
14,0.15,0.03,47,5000,2x7,0.0827039611843636,14,0.1882531176471588,0.536697247706422,minmax
15,0.15,0.03,11,5000,3x5,0.07788225422073188,15,0.2218466439085869,0.6926605504587156,minmax
15,0.15,0.03,29,5000,3x5,0.08103302007058807,15,0.15921688876052575,0.6422018348623854,minmax
15,0.15,0.03,47,5000,3x5,0.07881728450168862,15,0.1962592406026855,0.39908256880733944,minmax
16,0.15,0.03,11,5000,4x4,0.07839793260690536,16,0.20177189837341394,0.6146788990825688,minmax
16,0.15,0.03,29,5000,4x4,0.07676396713402774,16,0.18140998857880303,0.7752293577981652,minmax
16,0.15,0.03,47,5000,4x4,0.07502394440698698,16,0.1953322391762881,0.518348623853211,minmax
1,0.15,0.1,11,5000,1x1,0.19489732025204404,1,,,minmax
1,0.15,0.1,29,5000,1x1,0.19577808123260673,1,,,minmax
1,0.15,0.1,47,5000,1x1,0.1916402360000002,1,,,minmax
2,0.15,0.1,11,5000,1x2,0.15437385862080494,2,0.4228556379055684,0.0,minmax
2,0.15,0.1,29,5000,1x2,0.15226723128854136,2,0.4242190003405477,0.0,minmax
2,0.15,0.1,47,5000,1x2,0.1499953581056896,2,0.3987709922775468,0.0,minmax
3,0.15,0.1,11,5000,1x3,0.1258355447911891,3,0.3578353376651608,0.6880733944954128,minmax
3,0.15,0.1,29,5000,1x3,0.12619802367680122,3,0.3610199451136497,0.7201834862385321,minmax
3,0.15,0.1,47,5000,1x3,0.12665565992468444,3,0.36149898650034457,0.2706422018348624,minmax
4,0.15,0.1,11,5000,2x2,0.10883688831694355,4,0.3346603735151717,0.0,minmax
4,0.15,0.1,29,5000,2x2,0.10884810899037661,4,0.3364044205345446,0.0,minmax
4,0.15,0.1,47,5000,2x2,0.12111571557107158,4,0.36360649706431736,0.0,minmax
5,0.15,0.1,11,5000,1x5,0.10135616969532374,5,0.26249360986193315,0.8669724770642202,minmax
5,0.15,0.1,29,5000,1x5,0.10340914487618078,5,0.26183710167496976,0.6467889908256881,minmax
5,0.15,0.1,47,5000,1x5,0.10496057953812366,5,0.3424414502491577,0.5275229357798165,minmax
6,0.15,0.1,11,5000,2x3,0.10303971007846745,6,0.34772984124682405,0.09174311926605505,minmax
6,0.15,0.1,29,5000,2x3,0.098077156058266,6,0.27249767509019146,0.8394495412844036,minmax
6,0.15,0.1,47,5000,2x3,0.09752424655852522,6,0.2746326756024737,0.6238532110091743,minmax
7,0.15,0.1,11,5000,1x7,0.09408490797233827,7,0.25071730607684417,0.5963302752293578,minmax
7,0.15,0.1,29,5000,1x7,0.09317959332849964,7,0.26152068629776326,0.7522935779816514,minmax
7,0.15,0.1,47,5000,1x7,0.09537914567467484,7,0.2806287693115886,0.7798165137614679,minmax
8,0.15,0.1,11,5000,2x4,0.09123029966366152,8,0.25491807831470475,0.06422018348623854,minmax
8,0.15,0.1,29,5000,2x4,0.09137225537868668,8,0.24892440815745218,0.45871559633027525,minmax
8,0.15,0.1,47,5000,2x4,0.09155803488673478,8,0.24887846294284746,0.39908256880733944,minmax
9,0.15,0.1,11,5000,3x3,0.08891814782483322,9,0.2564002941259742,0.45871559633027525,minmax
9,0.15,0.1,29,5000,3x3,0.08887582312074016,9,0.25570612711697327,0.30275229357798167,minmax
9,0.15,0.1,47,5000,3x3,0.08960306274267951,9,0.2655687998390057,0.6009174311926605,minmax
10,0.15,0.1,11,5000,2x5,0.08845258348662798,10,0.2508757545920864,0.6422018348623854,minmax
10,0.15,0.1,29,5000,2x5,0.0862691865931384,10,0.24876570760526268,0.8853211009174312,minmax
10,0.15,0.1,47,5000,2x5,0.08627962185328367,10,0.24653147262890648,0.8944954128440367,minmax
11,0.15,0.1,11,5000,1x11,0.08576082143071957,11,0.22955733386737334,0.8669724770642202,minmax
11,0.15,0.1,29,5000,1x11,0.0835173837396659,11,0.21064082194780417,0.8623853211009175,minmax
11,0.15,0.1,47,5000,1x11,0.08409921884599438,11,0.23709053006671685,0.7614678899082569,minmax
12,0.15,0.1,11,5000,3x4,0.0834736226865567,12,0.2555864183816157,0.5091743119266054,minmax
12,0.15,0.1,29,5000,3x4,0.08184550421586732,12,0.20607402935734428,0.6926605504587156,minmax
12,0.15,0.1,47,5000,3x4,0.0849948349994475,12,0.21371924629533087,0.6788990825688074,minmax
13,0.15,0.1,11,5000,1x13,0.08048269836157727,13,0.22159829828462263,0.8577981651376146,minmax
13,0.15,0.1,29,5000,1x13,0.08215091362800482,13,0.24642338977297124,0.9541284403669725,minmax
13,0.15,0.1,47,5000,1x13,0.07920439892621245,13,0.22377454966108992,0.8899082568807339,minmax
14,0.15,0.1,11,5000,2x7,0.07808198963084467,14,0.22905540578060252,0.518348623853211,minmax
14,0.15,0.1,29,5000,2x7,0.08188925341397497,14,0.2270836445641719,0.6376146788990825,minmax
14,0.15,0.1,47,5000,2x7,0.07887883268143762,14,0.259061066972829,0.5137614678899083,minmax
15,0.15,0.1,11,5000,3x5,0.07743959255894539,15,0.23197645064503733,0.8532110091743119,minmax
15,0.15,0.1,29,5000,3x5,0.07734605810364453,15,0.2018456226520165,0.6559633027522935,minmax
15,0.15,0.1,47,5000,3x5,0.07736959413607797,15,0.2224127013230821,0.43577981651376146,minmax
16,0.15,0.1,11,5000,4x4,0.07758350666368653,16,0.2195358088456083,0.5275229357798165,minmax
16,0.15,0.1,29,5000,4x4,0.0750199417052192,16,0.2111884009459213,0.8211009174311926,minmax
16,0.15,0.1,47,5000,4x4,0.07559922763118049,16,0.2243475217752221,0.5596330275229358,minmax
1,0.15,0.3,11,5000,1x1,0.19340388655408539,1,,,minmax
1,0.15,0.3,29,5000,1x1,0.20263942030516116,1,,,minmax
1,0.15,0.3,47,5000,1x1,0.19114413456713372,1,,,minmax
2,0.15,0.3,11,5000,1x2,0.16381654038402987,2,0.4635069510915491,0.0,minmax
2,0.15,0.3,29,5000,1x2,0.15695019505378402,2,0.4333841883866412,0.0,minmax
2,0.15,0.3,47,5000,1x2,0.1493288169697952,2,0.38364625492538984,0.0,minmax
3,0.15,0.3,11,5000,1x3,0.12723260095343114,3,0.3502575864401784,0.6376146788990825,minmax
3,0.15,0.3,29,5000,1x3,0.1279162130365088,3,0.3605790521873336,0.7247706422018348,minmax
3,0.15,0.3,47,5000,1x3,0.13022542555092087,3,0.3608109536987825,0.30275229357798167,minmax
4,0.15,0.3,11,5000,2x2,0.11198058722800658,4,0.3376575751512113,0.0,minmax
4,0.15,0.3,29,5000,2x2,0.11124087106732383,4,0.3319288202563367,0.0,minmax
4,0.15,0.3,47,5000,2x2,0.11191026946053956,4,0.3359825937043327,0.0,minmax
5,0.15,0.3,11,5000,1x5,0.1059000571685649,5,0.3458540423227916,0.926605504587156,minmax
5,0.15,0.3,29,5000,1x5,0.10641018067643161,5,0.3430791549589,0.9587155963302753,minmax
5,0.15,0.3,47,5000,1x5,0.10943165168024753,5,0.3370597038810304,0.9541284403669725,minmax
6,0.15,0.3,11,5000,2x3,0.09979868694277222,6,0.25973559222440373,0.3073394495412844,minmax
6,0.15,0.3,29,5000,2x3,0.10068142938492752,6,0.27126962711369623,0.3348623853211009,minmax
6,0.15,0.3,47,5000,2x3,0.09933108285366939,6,0.2720025340147495,0.3577981651376147,minmax
7,0.15,0.3,11,5000,1x7,0.0987834946488027,7,0.273034407246781,0.7431192660550459,minmax
7,0.15,0.3,29,5000,1x7,0.09741655668267335,7,0.2713183177952698,0.44954128440366975,minmax
7,0.15,0.3,47,5000,1x7,0.09755938418008125,7,0.2791043807312553,0.42201834862385323,minmax
8,0.15,0.3,11,5000,2x4,0.09376386062211436,8,0.2801589253300597,0.09174311926605505,minmax
8,0.15,0.3,29,5000,2x4,0.09487435720908827,8,0.2547135864063039,0.3348623853211009,minmax
8,0.15,0.3,47,5000,2x4,0.09160882778567106,8,0.25863660973091374,0.27522935779816515,minmax
9,0.15,0.3,11,5000,3x3,0.09061737525023286,9,0.2577757874341879,0.26605504587155965,minmax
9,0.15,0.3,29,5000,3x3,0.09097738119178958,9,0.2534003244146276,0.2706422018348624,minmax
9,0.15,0.3,47,5000,3x3,0.09135011580819782,9,0.28890856894534084,0.8348623853211009,minmax
10,0.15,0.3,11,5000,2x5,0.09057854440390932,10,0.26166700552797784,0.3486238532110092,minmax
10,0.15,0.3,29,5000,2x5,0.08850050634593343,10,0.24819374770547367,0.7522935779816514,minmax
10,0.15,0.3,47,5000,2x5,0.08851021531133899,10,0.25706361057155763,0.7155963302752294,minmax
11,0.15,0.3,11,5000,1x11,0.08667770221013979,11,0.22480156055217593,0.9587155963302753,minmax
11,0.15,0.3,29,5000,1x11,0.08755045937535735,11,0.25455493749271463,0.981651376146789,minmax
11,0.15,0.3,47,5000,1x11,0.08797443168187812,11,0.2624241036730951,0.981651376146789,minmax
12,0.15,0.3,11,5000,3x4,0.08404039210305018,12,0.23630368496923318,0.6697247706422018,minmax
12,0.15,0.3,29,5000,3x4,0.0849737812008907,12,0.25750729928746635,0.5642201834862385,minmax
12,0.15,0.3,47,5000,3x4,0.09001455119089223,11,0.2612508561274614,0.3853211009174312,minmax
13,0.15,0.3,11,5000,1x13,0.07986242087891017,13,0.25838650283758513,0.7568807339449541,minmax
13,0.15,0.3,29,5000,1x13,0.08240640224906816,13,0.2546145333298412,0.7064220183486238,minmax
13,0.15,0.3,47,5000,1x13,0.0809883839532362,13,0.2571184423679263,0.8348623853211009,minmax
14,0.15,0.3,11,5000,2x7,0.07813698604042094,14,0.2504759605615072,0.44495412844036697,minmax
14,0.15,0.3,29,5000,2x7,0.08202283256146792,14,0.25478041928314354,0.44954128440366975,minmax
