k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error
1,0.5,0.1,11,30000,1x1,0.18912837954258263,1,,
1,0.5,0.1,29,30000,1x1,0.18633577103976726,1,,
1,0.5,0.1,47,30000,1x1,0.19070645580358533,1,,
2,0.5,0.1,11,30000,1x2,0.1354173704330539,2,0.400174935665846,0.0
2,0.5,0.1,29,30000,1x2,0.1370812602960388,2,0.39161323537993437,0.0
2,0.5,0.1,47,30000,1x2,0.13640158779017744,2,0.3975436448505208,0.0
3,0.5,0.1,11,30000,1x3,0.11721219071273702,3,0.3428729476199841,0.0
3,0.5,0.1,29,30000,1x3,0.11553832972885046,3,0.34590443048148256,0.37735849056603776
3,0.5,0.1,47,30000,1x3,0.11789044278406016,3,0.34273532206090274,0.660377358490566
4,0.5,0.1,11,30000,2x2,0.1057327912760334,4,0.3256642437174467,0.0
4,0.5,0.1,29,30000,2x2,0.10546591374123583,4,0.32632961549593276,0.0
4,0.5,0.1,47,30000,2x2,0.11011707626566937,4,0.3470358166076427,0.0
5,0.5,0.1,11,30000,1x5,0.09753921433716398,5,0.261652121495844,0.012578616352201259
5,0.5,0.1,29,30000,1x5,0.10054600843088478,5,0.30918773107709296,0.42138364779874216
5,0.5,0.1,47,30000,1x5,0.09796686942474826,5,0.2650201378747035,0.012578616352201259
6,0.5,0.1,11,30000,2x3,0.09901984532545778,6,0.3348154405519247,0.0
6,0.5,0.1,29,30000,2x3,0.09373909368993806,6,0.2786631975462596,0.34591194968553457
6,0.5,0.1,47,30000,2x3,0.0937169378871749,6,0.27974910422840826,0.12578616352201258
7,0.5,0.1,11,30000,1x7,0.08959025085098654,7,0.249017180027267,0.0440251572327044
7,0.5,0.1,29,30000,1x7,0.09120449803353689,7,0.28043295753287517,0.37735849056603776
7,0.5,0.1,47,30000,1x7,0.08835497255417192,7,0.25427381697895535,0.3018867924528302
8,0.5,0.1,11,30000,2x4,0.0860297300358325,8,0.2828987025020927,0.2830188679245283
8,0.5,0.1,29,30000,2x4,0.08553881199626161,8,0.28408858331672887,0.031446540880503145
8,0.5,0.1,47,30000,2x4,0.0851047929205168,8,0.22769436931254086,0.025157232704402517
9,0.5,0.1,11,30000,3x3,0.08474471174677281,9,0.26415874975449727,0.006289308176100629
9,0.5,0.1,29,30000,3x3,0.08370384774230474,9,0.2315513648187188,0.1509433962264151
9,0.5,0.1,47,30000,3x3,0.08495549934179566,9,0.26259280171658655,0.2578616352201258
10,0.5,0.1,11,30000,2x5,0.08045878936038346,10,0.2581348820612797,0.18238993710691823
10,0.5,0.1,29,30000,2x5,0.08107085025015894,10,0.2636389474216206,0.10062893081761007
10,0.5,0.1,47,30000,2x5,0.08159317487394208,10,0.28845308333892333,0.16352201257861634
11,0.5,0.1,11,30000,1x11,0.07954726985125385,11,0.27110162777985286,0.5534591194968553
11,0.5,0.1,29,30000,1x11,0.07861916479600763,11,0.2746826148494939,0.7610062893081762
11,0.5,0.1,47,30000,1x11,0.07826264828877696,11,0.2563186838987251,0.7169811320754716
12,0.5,0.1,11,30000,3x4,0.07757985684062699,12,0.21319536075311582,0.22641509433962265
12,0.5,0.1,29,30000,3x4,0.07530300763528994,12,0.23712309733142398,0.25157232704402516
12,0.5,0.1,47,30000,3x4,0.077421428796461,12,0.2659087400421539,0.27672955974842767
13,0.5,0.1,11,30000,1x13,0.07434012038702119,13,0.23061905320591605,0.710691823899371
13,0.5,0.1,29,30000,1x13,0.07257995923794891,13,0.22797410021349893,0.660377358490566
13,0.5,0.1,47,30000,1x13,0.07352021513233052,13,0.21712904770290264,0.46540880503144655
14,0.5,0.1,11,30000,2x7,0.07300550358946704,14,0.24119652488800356,0.4968553459119497
14,0.5,0.1,29,30000,2x7,0.0703696854251672,14,0.23232956325564216,0.1069182389937107
14,0.5,0.1,47,30000,2x7,0.07155164572887493,14,0.22179754095904727,0.12578616352201258
15,0.5,0.1,11,30000,3x5,0.07050480241575514,15,0.22752226463386319,0.11320754716981132
15,0.5,0.1,29,30000,3x5,0.07024847024839503,15,0.2339101696182307,0.34591194968553457
15,0.5,0.1,47,30000,3x5,0.07069889466964928,15,0.23396233809732492,0.1761006289308176
16,0.5,0.1,11,30000,4x4,0.06851850761786392,16,0.22709567934366656,0.2138364779874214
16,0.5,0.1,29,30000,4x4,0.06909051575850425,16,0.23968469997312172,0.41509433962264153
16,0.5,0.1,47,30000,4x4,0.06933358373600523,16,0.22804659651616943,0.46540880503144655
