curve_id,parent_cluster,child_cluster
C001,3,2
C002,1,2
C003,1,3
C004,1,3
C005,3,3
C006,4,2
C007,1,2
C008,3,3
C009,4,1
C010,4,2
C011,3,2
C012,3,2
C013,2,1
C014,3,3
C015,4,4
C016,3,1
C017,1,2
C018,4,1
C019,4,2
C020,4,2
C021,4,2
C022,4,3
C023,4,2
C024,1,4
C025,3,2
C026,1,2
C027,1,2
C028,3,3
C029,1,1
C030,4,2
C031,1,4
C032,3,3
C033,2,1
C034,4,1
C035,3,2
C036,4,1
C037,3,2
C038,3,3
C039,4,4
C040,4,2
C041,2,3
C042,3,2
C043,4,1
C044,3,2
C045,3,2
C046,1,2
C047,3,1
C048,1,2
C049,3,3
C050,3,3
C051,3,3
C052,1,2
C053,3,3
C054,4,4
C055,1,1
C056,3,3
C057,3,2
C058,3,2
C059,4,1
C060,4,2
C061,3,3
C062,3,2
C063,4,2
C064,4,2
C065,4,4
C066,3,2
C067,4,1
C068,2,3
C069,2,2
C070,4,4
C071,1,3
C072,3,2
C073,3,2
C074,3,3
C075,4,2
C076,3,2
C077,3,2
C078,4,4
C079,3,2
C080,3,2
C081,3,2
C082,1,2
C083,1,4
C084,3,2
C085,4,2
C086,4,2
C087,1,4
C088,3,2
C089,3,3
C090,3,2
C091,3,2
C092,3,2
C093,4,4
C094,3,3
C095,4,4
C096,2,3
C097,1,4
C098,2,3
C099,2,1
C100,2,1
C101,3,3
C102,3,3
C103,4,1
C104,1,2
C105,3,3
C106,4,1
C107,4,2
C108,4,2
C109,4,2
C110,4,4
C111,3,3
C112,3,3
C113,3,2
C114,3,3
C115,1,2
C116,3,3
C117,3,3
C118,3,3
C119,2,1
C120,3,3
C121,1,1
C122,3,1
C123,2,2
C124,4,2
C125,2,2
C126,2,1
C127,3,2
C128,3,2
C129,3,3
C130,1,2
C131,3,3
C132,3,2
C133,3,2
C134,3,2
C135,3,2
C136,1,2
C137,1,2
C138,1,2
C139,1,2
C140,3,3
C141,3,2
C142,1,2
C143,3,1
C144,2,2
C145,1,3
C146,4,1
C147,1,2
C148,3,2
C149,2,1
C150,1,2
C151,1,2
C152,1,2
C153,4,2
C154,4,4
C155,1,4
C156,2,3
C157,2,3
C158,2,2
C159,1,2
C160,1,2
C161,1,3
C162,1,2
C163,3,2
C164,4,1
C165,4,2
C166,4,4
C167,4,4
C168,3,2
C169,3,2
C170,3,3
C171,3,2
C172,3,3
C173,1,2
C174,1,2
C175,1,2
C176,1,4
C177,3,1
C178,4,3
C179,3,2
C180,3,2
C181,3,2
C182,4,2
C183,3,3
C184,1,2
C185,1,4
C186,4,1
C187,4,4
C188,3,2
C189,3,3
C190,3,1
C191,4,4
C192,4,1
C193,3,2
C194,3,3
C195,3,1
C196,3,3
C197,2,2
C198,1,3
C199,3,3
C200,3,3
C201,4,1
C202,4,3
C203,1,4
C204,2,3
C205,4,1
C206,2,3
C207,4,3
C208,4,1
C209,3,1
C210,3,1
C211,4,2
C212,3,1
C213,4,2
C214,2,2
C215,2,2
C216,4,3
C217,4,1
C218,4,1
