k,sigma,lr,seed,iterations,grid,qe,occupied,subset
1,0.5,0.3,11,50000,1x1,0.11229725909150765,1,Q156_quality
1,0.5,0.3,29,50000,1x1,0.11078837145791813,1,Q156_quality
1,0.5,0.3,47,50000,1x1,0.10839623403580376,1,Q156_quality
1,0.5,0.3,71,50000,1x1,0.12503147891636784,1,Q156_quality
1,0.5,0.3,101,50000,1x1,0.11686093489847582,1,Q156_quality
2,0.5,0.3,11,50000,1x2,0.06892901465497953,2,Q156_quality
2,0.5,0.3,29,50000,1x2,0.07484039147959487,2,Q156_quality
2,0.5,0.3,47,50000,1x2,0.06910482667590771,2,Q156_quality
2,0.5,0.3,71,50000,1x2,0.07025597475137375,2,Q156_quality
2,0.5,0.3,101,50000,1x2,0.0675145231955608,2,Q156_quality
3,0.5,0.3,11,50000,1x3,0.059502830336102014,3,Q156_quality
3,0.5,0.3,29,50000,1x3,0.06053743539468668,3,Q156_quality
3,0.5,0.3,47,50000,1x3,0.05971585572068792,3,Q156_quality
3,0.5,0.3,71,50000,1x3,0.059985234502006914,3,Q156_quality
3,0.5,0.3,101,50000,1x3,0.062014773350327776,3,Q156_quality
4,0.5,0.3,11,50000,2x2,0.047506035472231964,4,Q156_quality
4,0.5,0.3,29,50000,2x2,0.04768526494777456,4,Q156_quality
4,0.5,0.3,47,50000,2x2,0.05119393960112822,4,Q156_quality
4,0.5,0.3,71,50000,2x2,0.04825218235215277,4,Q156_quality
4,0.5,0.3,101,50000,2x2,0.052055346044447254,4,Q156_quality
5,0.5,0.3,11,50000,1x5,0.04406349919207828,5,Q156_quality
5,0.5,0.3,29,50000,1x5,0.0443883023734621,5,Q156_quality
5,0.5,0.3,47,50000,1x5,0.04632266562934429,5,Q156_quality
5,0.5,0.3,71,50000,1x5,0.04365995433312545,5,Q156_quality
5,0.5,0.3,101,50000,1x5,0.04488144251032211,5,Q156_quality
6,0.5,0.3,11,50000,2x3,0.037504998097792265,6,Q156_quality
6,0.5,0.3,29,50000,2x3,0.03775881447449856,6,Q156_quality
6,0.5,0.3,47,50000,2x3,0.038441624683787486,6,Q156_quality
6,0.5,0.3,71,50000,2x3,0.037317792749539246,6,Q156_quality
6,0.5,0.3,101,50000,2x3,0.038751355008903574,6,Q156_quality
7,0.5,0.3,11,50000,1x7,0.03501843834183728,7,Q156_quality
7,0.5,0.3,29,50000,1x7,0.035998017993936475,7,Q156_quality
7,0.5,0.3,47,50000,1x7,0.03500406845511394,7,Q156_quality
7,0.5,0.3,71,50000,1x7,0.03509219529561763,7,Q156_quality
7,0.5,0.3,101,50000,1x7,0.03702167438270086,7,Q156_quality
8,0.5,0.3,11,50000,2x4,0.03336906838706733,8,Q156_quality
8,0.5,0.3,29,50000,2x4,0.034550102900761756,8,Q156_quality
8,0.5,0.3,47,50000,2x4,0.033072533074214316,8,Q156_quality
8,0.5,0.3,71,50000,2x4,0.03353086045512728,8,Q156_quality
8,0.5,0.3,101,50000,2x4,0.033727880239818285,8,Q156_quality
9,0.5,0.3,11,50000,3x3,0.031484848318893345,9,Q156_quality
9,0.5,0.3,29,50000,3x3,0.03233525789496724,9,Q156_quality
9,0.5,0.3,47,50000,3x3,0.03151257499156692,9,Q156_quality
9,0.5,0.3,71,50000,3x3,0.03130606939581251,9,Q156_quality
9,0.5,0.3,101,50000,3x3,0.032226453822344,9,Q156_quality
10,0.5,0.3,11,50000,2x5,0.0300799142092126,10,Q156_quality
10,0.5,0.3,29,50000,2x5,0.030099089469993567,10,Q156_quality
10,0.5,0.3,47,50000,2x5,0.03098521248286688,10,Q156_quality
10,0.5,0.3,71,50000,2x5,0.03020598068842032,10,Q156_quality
10,0.5,0.3,101,50000,2x5,0.030750424327000498,10,Q156_quality
11,0.5,0.3,11,50000,1x11,0.029576406771671327,11,Q156_quality
11,0.5,0.3,29,50000,1x11,0.027909222312149262,11,Q156_quality
11,0.5,0.3,47,50000,1x11,0.028665342841802107,11,Q156_quality
11,0.5,0.3,71,50000,1x11,0.028643407803830206,11,Q156_quality
11,0.5,0.3,101,50000,1x11,0.028965850800472294,11,Q156_quality
12,0.5,0.3,11,50000,3x4,0.0264772457377655,12,Q156_quality
12,0.5,0.3,29,50000,3x4,0.026731155734328462,12,Q156_quality
12,0.5,0.3,47,50000,3x4,0.028107308046248305,12,Q156_quality
12,0.5,0.3,71,50000,3x4,0.0270052751034718,12,Q156_quality
12,0.5,0.3,101,50000,3x4,0.02639482704440989,12,Q156_quality
