subset_a,subset_b,n_common,ari_selected_k,ari_fixed_k4
Q156_quality,H200_n126,126,0.6032854275510904,0.9465343447989193
Q156_quality,H500_n105_recommended,105,0.8019027400576293,0.8101609496506469
Q156_quality,H750_n88_strict,88,0.8397697161980661,0.8460968279427566
Q156_quality,P15_n153_sensitivity,153,0.5253801116330625,0.9213526487200168
H200_n126,H500_n105_recommended,105,0.7230869771046311,0.8663182260040191
H200_n126,H750_n88_strict,88,0.7462557754388275,0.8826222606707745
H200_n126,P15_n153_sensitivity,124,0.7463069581947694,0.9723428098921783
H500_n105_recommended,H750_n88_strict,88,0.9775881164524599,0.9780707972966586
H500_n105_recommended,P15_n153_sensitivity,105,0.5912000539885436,0.895840751071977
H750_n88_strict,P15_n153_sensitivity,88,0.6139317085199901,0.9204591352701929
