k,sigma,lr,seed,iterations,grid,qe,occupied,method
1,0.5,0.3,11,50000,1x1,0.9263043273362057,1,raw_maxabs_same_p02
1,0.5,0.3,29,50000,1x1,0.9119006716995399,1,raw_maxabs_same_p02
1,0.5,0.3,47,50000,1x1,0.9118618666185494,1,raw_maxabs_same_p02
1,0.5,0.3,71,50000,1x1,0.8822207620148693,1,raw_maxabs_same_p02
1,0.5,0.3,101,50000,1x1,0.9535840375646115,1,raw_maxabs_same_p02
2,0.5,0.3,11,50000,1x2,0.5151240408643798,2,raw_maxabs_same_p02
2,0.5,0.3,29,50000,1x2,0.5494586651449096,2,raw_maxabs_same_p02
2,0.5,0.3,47,50000,1x2,0.5212423084990113,2,raw_maxabs_same_p02
2,0.5,0.3,71,50000,1x2,0.5185185400401839,2,raw_maxabs_same_p02
2,0.5,0.3,101,50000,1x2,0.5123017000232131,2,raw_maxabs_same_p02
3,0.5,0.3,11,50000,1x3,0.420707354732066,3,raw_maxabs_same_p02
3,0.5,0.3,29,50000,1x3,0.4012978085202027,3,raw_maxabs_same_p02
3,0.5,0.3,47,50000,1x3,0.42670816274342727,3,raw_maxabs_same_p02
3,0.5,0.3,71,50000,1x3,0.4231628153400166,3,raw_maxabs_same_p02
3,0.5,0.3,101,50000,1x3,0.43850597044460315,3,raw_maxabs_same_p02
4,0.5,0.3,11,50000,2x2,0.3686558629327459,4,raw_maxabs_same_p02
4,0.5,0.3,29,50000,2x2,0.36610329347912013,4,raw_maxabs_same_p02
4,0.5,0.3,47,50000,2x2,0.36259693248059505,4,raw_maxabs_same_p02
4,0.5,0.3,71,50000,2x2,0.37306776365694755,4,raw_maxabs_same_p02
4,0.5,0.3,101,50000,2x2,0.3874123822641131,4,raw_maxabs_same_p02
5,0.5,0.3,11,50000,1x5,0.3310223147875424,5,raw_maxabs_same_p02
5,0.5,0.3,29,50000,1x5,0.3294272387645202,5,raw_maxabs_same_p02
5,0.5,0.3,47,50000,1x5,0.3171198870970062,5,raw_maxabs_same_p02
5,0.5,0.3,71,50000,1x5,0.3164205474987659,5,raw_maxabs_same_p02
5,0.5,0.3,101,50000,1x5,0.3364516003495262,5,raw_maxabs_same_p02
6,0.5,0.3,11,50000,2x3,0.29140763582753526,6,raw_maxabs_same_p02
6,0.5,0.3,29,50000,2x3,0.3028799191318356,6,raw_maxabs_same_p02
6,0.5,0.3,47,50000,2x3,0.3053710623315353,6,raw_maxabs_same_p02
6,0.5,0.3,71,50000,2x3,0.30220422989693585,6,raw_maxabs_same_p02
6,0.5,0.3,101,50000,2x3,0.29516409743561345,6,raw_maxabs_same_p02
7,0.5,0.3,11,50000,1x7,0.2736354283815801,7,raw_maxabs_same_p02
7,0.5,0.3,29,50000,1x7,0.2706224428269497,7,raw_maxabs_same_p02
7,0.5,0.3,47,50000,1x7,0.27084034093815457,7,raw_maxabs_same_p02
7,0.5,0.3,71,50000,1x7,0.2799224889566444,7,raw_maxabs_same_p02
7,0.5,0.3,101,50000,1x7,0.28985517855432974,7,raw_maxabs_same_p02
8,0.5,0.3,11,50000,2x4,0.26158682392024873,8,raw_maxabs_same_p02
8,0.5,0.3,29,50000,2x4,0.2531606330260011,8,raw_maxabs_same_p02
8,0.5,0.3,47,50000,2x4,0.25908175480346657,8,raw_maxabs_same_p02
8,0.5,0.3,71,50000,2x4,0.2598535322635522,8,raw_maxabs_same_p02
8,0.5,0.3,101,50000,2x4,0.25696501331985705,8,raw_maxabs_same_p02
9,0.5,0.3,11,50000,3x3,0.23817532881060668,9,raw_maxabs_same_p02
9,0.5,0.3,29,50000,3x3,0.23909332398012584,9,raw_maxabs_same_p02
9,0.5,0.3,47,50000,3x3,0.24211579995191113,9,raw_maxabs_same_p02
