curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_f25d13db2a,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8972813472035234,606e4264f60a6ae0f7254a57dc4df2d005e8e70e9bf04c0dd4c8c443ec934638,high,clear_match,,500.0,0.22907476970091178,0.9070623859685066,0.7721632411393572,-0.13489914482914944,-0.5888869603810083,0.09293065927465527,0.4056782831037607,0.2278298041038047,0.994565243484769,0.04409196733383536,0.19247849683054755,0.0011666796187762563,0.005093007930552609,0.09409733889343153,0.4107712910343133,0.2278298041038047,0.994565243484769,0.25333333333333335,0.0,0.25333333333333335,0.4,0.1575842996166575,-0.026645678064374092,0.6233333333333333,True,IFO-Bridge,0.10245233482527169,5.91406603487233,0.4761774385951497,B001
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8172879303286129,a762e965bf72f15eb06debe8c90f7e1ea8a4b755cbbaf23e9f278bf1baf46c36,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500.0,0.191032886485612,0.8154623302200136,0.9527468712487329,0.13728454102871934,0.7186434940826756,0.18453669975511378,0.9659944062511587,0.04725215872639443,0.24735091216848318,0.0034574085911694974,0.018098499450930394,0.006496186730498232,0.034005593748841274,0.191032886485612,1.0,0.04725215872639443,0.24735091216848318,0.36666666666666664,0.07,0.36666666666666664,0.4,-0.03057276322254913,-0.02469963425586053,0.5133333333333333,True,IFO-Bridge,0.22629702552333147,-1.2377820216222462,0.6787168031149676,B002
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,Time,(Day),Normalised PCE,,24.0,1042.0172588962664,57,27,0.9205052424252717,01bb247456088bf5a8d268f9527ec908283893894e7068884074225cc4d3069f,high,clear_match,,500.0,0.12852051117781005,0.9266391146034422,0.871703526809664,-0.05493558779377816,-0.42744607292896586,0.07335935483857314,0.5707988099820065,0.1282949426323513,0.9982448829109724,0.012974600502786648,0.10095353950807194,0.0064938213852009374,0.05052750977792672,0.07985317622377408,0.6213263197599332,0.1282949426323513,0.9982448829109724,0.23666666666666666,0.0,0.23666666666666666,0.4,0.6918125174670053,-0.10220275787643016,0.7133333333333334,True,IFO-Bridge,0.07916712524051771,6.769020052310644,0.4959155821759673,B003
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_cd989bf404,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,Time,(Day),Normalised PCE,,24.0,762.9054931204807,42,27,0.9385682720421868,79b9df6a26ffacc962db4826b8920d416ceae1a23c6e4853827ae1f672cad2fb,low_review,boundary_candidate,已有规则扰动稳定性不足,500.0,0.3136134518194009,0.948933689224757,0.6881138936143546,-0.26081979561040236,-0.8316601028982629,0.05104786763188407,0.1627732080232348,0.31186766324228643,0.9944333109214976,0.12267475499834368,0.3911654754815422,0.07162688736645961,0.22839226745830737,0.0,0.0,0.18919290824394275,0.6032678354399554,0.10666666666666667,0.4,0.4,0.4,0.6024797645743704,-0.23458481295294084,0.87,True,IFO-Hill,0.05379497873406545,1.78276413880085,0.9454229620820299,H001
10.1002_adfm.201801654_Fig4_F_stability_performance_curve_pce_04386fa072,lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654,Fig4_F_stability_performance_curve_pce,10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,Time,(day),Normalized PCE,,24.0,472.3744498688373,47,47,1.0035646390205453,34c5a0c252e8740773d7a19fb56943bd662132f701adde9230192ee53abaf4a8,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002_adfm.201804128_Fig8_C_stability_performance_curve_decay_8894ee5591,lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,Time,(Day),Normalized,,,0.0,43,0,0.997238594472509,9cdeb1f354689a5aa8d4347d048127260031d53b21c1609cb4edbea1d9e2e515,,excluded_axis_or_quality,series_is_not_pce_efficiency_or_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002_adfm.201804128_Fig8_C_stability_performance_curve_decay_c7d85740d5,lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,Time,(Day),Normalized,,,0.0,43,0,1.003760520680359,135ca19ba69d99973caebaf8faa5bc8e5bf4246f0cdf0cd995dec51bcabed5fc,,excluded_axis_or_quality,series_is_not_pce_efficiency_or_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002_adfm.201804128_Fig8_C_stability_performance_curve_decay_824ef9c866,lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,Time,(Day),Normalized,,24.0,482.1314735357159,44,44,0.9988690760244716,2806cb09d09ad03a341777f5db1bddc9cc51ec769394e585392296a19dcbb0c3,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002_adfm.201804128_Fig8_C_stability_performance_curve_decay_9f7c3ede18,lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,Time,(Day),Normalized,,,0.0,42,0,1.0021300391283965,9f822d6d717f5ec6f91015679d3aaf7997a98c052f289974fbe2d126b380291f,,excluded_axis_or_quality,series_is_not_pce_efficiency_or_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002_adfm.201807024_Fig6_D_pce_c10ff01f0b,lab/data_all/x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,10.1002/adfm.201807024,Fig6_D_pce,10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1,Storage time of the precursor solution,days,Normalized PCE,,24.0,429.44976073610405,18,18,0.9967099413295936,4fd2d9703b113d27db115a052d4439f1d594854e3f104ebc8af0196c1d835abc,,insufficient_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
