curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_f25d13db2a,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8972813472035234,606e4264f60a6ae0f7254a57dc4df2d005e8e70e9bf04c0dd4c8c443ec934638,high,clear_match,,500,0.22907476970091178,0.9070623859685066,0.7721632411393572,-0.13489914482914944,-0.5888869603810083,0.09293065927465527,0.4056782831037607,0.2278298041038047,0.994565243484769,0.04409196733383536,0.19247849683054755,0.0011666796187762563,0.005093007930552609,0.09409733889343153,0.4107712910343133,0.2278298041038047,0.994565243484769,0.25333333333333335,0.0,0.25333333333333335,0.4,0.1575842996166575,-0.026645678064374092,0.6233333333333333,True,IFO-Bridge,0.10245233482527169,5.91406603487233,0.4761774385951497,B001
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8172879303286129,a762e965bf72f15eb06debe8c90f7e1ea8a4b755cbbaf23e9f278bf1baf46c36,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.191032886485612,0.8154623302200136,0.9527468712487329,0.13728454102871934,0.7186434940826756,0.18453669975511378,0.9659944062511587,0.04725215872639443,0.24735091216848318,0.0034574085911694974,0.018098499450930394,0.006496186730498232,0.034005593748841274,0.191032886485612,1.0,0.04725215872639443,0.24735091216848318,0.36666666666666664,0.07,0.36666666666666664,0.4,-0.03057276322254913,-0.02469963425586053,0.5133333333333333,True,IFO-Bridge,0.22629702552333147,-1.2377820216222462,0.6787168031149676,B002
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,Time,(Day),Normalised PCE,,24.0,1042.0172588962664,57,27,0.9205052424252717,01bb247456088bf5a8d268f9527ec908283893894e7068884074225cc4d3069f,high,clear_match,,500,0.12852051117781005,0.9266391146034422,0.871703526809664,-0.05493558779377816,-0.42744607292896586,0.07335935483857314,0.5707988099820065,0.1282949426323513,0.9982448829109724,0.012974600502786648,0.10095353950807194,0.0064938213852009374,0.05052750977792672,0.07985317622377408,0.6213263197599332,0.1282949426323513,0.9982448829109724,0.23666666666666666,0.0,0.23666666666666666,0.4,0.6918125174670053,-0.10220275787643016,0.7133333333333334,True,IFO-Bridge,0.07916712524051771,6.769020052310644,0.4959155821759673,B003
10.1002_smtd.201900476_Fig5_C_stability_performance_curve_pce_c079a8128c,lab/data_all/x_time_day/10.1002_smtd.201900476/Fig5_C_stability_performance_curve_pce/accepted/10.1002_smtd.201900476__Fig5__C__stability_performance_curve_pce__SnO₂__Series_2.csv,10.1002/smtd.201900476,Fig5_C_stability_performance_curve_pce,10.1002_smtd.201900476__Fig5__C__stability_performance_curve_pce__SnO₂__Series_2,Time,(day),PCE,(%),24.0,713.8654173794569,50,35,16.924444755880426,a3a03742fcbe99c2721258a49f9b0866803ae3a336f9abbb6ee4879888aceda8,high,clear_match,,500,0.18136970437371558,0.9453991537664505,0.8215137103486893,-0.1238854434177612,-0.6830547794382076,0.05459902155136298,0.30103716461300895,0.17848446496912418,0.9840919440512165,0.030213454662511352,0.16658490328823594,0.0037402132072346106,0.020622039497444584,0.05833923475859759,0.3216592041104535,0.17848446496912418,0.9840919440512165,0.19,0.0,0.19,0.4,0.3729735877130509,-0.2315268606891549,0.81,True,IFO-Bridge,0.05775234866018403,1.6109300951210175,0.4563380532996428,B004
10.1016_j.apsusc.2020.147949_Fig8_A_stability_performance_curve_pattern_ecab42bb93,lab/data_all/x_time_day/10.1016_j.apsusc.2020.147949/Fig8_A_stability_performance_curve_pattern/accepted/10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1.csv,10.1016/j.apsusc.2020.147949,Fig8_A_stability_performance_curve_pattern,10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1,Time,(day),Efficiency,(%),24.0,675.5250866696948,81,60,13.741944145594314,57824147a56a4210a0a73b118a7165e96f38e7446c75f8eff112571096162b16,low_review,boundary_candidate,已有规则扰动稳定性不足；早期上升速度不足末段下降速度1.5倍,500,0.21144966631704998,0.9645921443317182,0.7927634686795112,-0.17182867565220705,-0.8126221178072952,0.03539387068694644,0.16738674174059218,0.2072225463391535,0.9800088595478874,0.009971342351099866,0.04715704935731005,0.0019292187744986977,0.009123773085581538,0.037323089461445136,0.17651051482617372,0.2072225463391535,0.9800088595478874,0.33,0.0,0.33,0.4,0.10591823629129445,-0.4720271519656906,0.6766666666666666,True,IFO-Bridge,0.036693094480328536,0.2243901348687525,0.4822030714814169,B005
10.1016_j.electacta.2016.11.132_Fig6_A_stability_performance_curve_pce_668bafbba6,lab/data_all/x_time_day/10.1016_j.electacta.2016.11.132/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1.csv,10.1016/j.electacta.2016.11.132,Fig6_A_stability_performance_curve_pce,10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1,No. of Days,,Normalized PCE,,24.0,505.7646817462478,67,66,1.007405171485677,66062f478879732010f882932c3c269b284f05539d46e57610217a7f4de8a43f,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.3410351620990788,0.8892401641220505,0.6652987403960974,-0.22394142372595316,-0.6566520072229176,0.11064365543426924,0.3244347437761407,0.3345850791602224,0.9810867509990583,0.048178616108020544,0.14127169706337644,0.003875374623670491,0.011363563216817517,0.11451903005793973,0.3357983069929582,0.3345850791602224,0.9810867509990583,0.15,0.0,0.15,0.4,0.8403082950603897,-0.5707706571485893,0.82,True,IFO-Bridge,0.12442494153815921,1.4722345736172477,0.5055919158756578,B006
10.1016_j.jechem.2020.03.082_Fig4_D_ff_f093ee4867,lab/data_all/x_time_day/10.1016_j.jechem.2020.03.082/Fig4_D_ff/accepted/10.1016_j.jechem.2020.03.082__Fig4__D__ff__Uncoated_PSCs__Series_1.csv,10.1016/j.jechem.2020.03.082,Fig4_D_ff,10.1016_j.jechem.2020.03.082__Fig4__D__ff__Uncoated_PSCs__Series_1,Time,d,Normalized PCE,,24.0,2386.2930164172394,36,8,1.003589155312813,ff13ec98bf08e7a1153cb38659aee0a02d725906ed141f96ff9edfdd98f937e6,high,clear_match,,500,0.020934720404954588,0.9809198619887963,0.9804037615938989,-0.0005161003948974674,-0.024652843931716552,0.01908011249206798,0.9114099506937919,0.019596212886965447,0.9360627946255085,0.002989777692859019,0.14281431206272205,0.0018546079128866078,0.0885900493062081,0.020934720404954588,1.0,0.019596212886965447,0.9360627946255085,0.20666666666666667,0.0,0.20666666666666667,0.4,0.1856733062366473,-0.02570245451763777,0.7933333333333333,True,IFO-Bridge,0.019451244929818645,7.223952331448847,0.8161400281002188,B007
10.1016_j.matt.2019.04.001_Fig5_E_stability_performance_curve_pce_b64cf833f1,lab/data_all/x_time_day/10.1016_j.matt.2019.04.001/Fig5_E_stability_performance_curve_pce/accepted/10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2.csv,10.1016/j.matt.2019.04.001,Fig5_E_stability_performance_curve_pce,10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2,Time (days),days,PCE (%),%,24.0,4774.74046137929,62,7,16.732457051662394,07aa2ad7cc338210b83831afdaa52a7290557aaed4f00831df512ddf9953fc72,high,boundary_candidate,500h内不足8个原始采样点,500,0.04961268634072169,0.9547379582559296,0.9616663159931554,0.0069283577372258875,0.13964891337760818,0.045256286638083565,0.9121918197954456,0.03832792890085768,0.7725429064178374,0.01976980732214173,0.3984829038760361,0.004356399702638125,0.0878081802045544,0.04961268634072169,1.0,0.03832792890085768,0.7725429064178374,0.15,0.0,0.15,0.4,0.43786980371407735,-0.03238572458482822,0.85,True,IFO-Bridge,0.047401788361652264,13.520457217721377,0.7795660140646276,B008
10.1016_j.solener.2020.03.034_Fig6_D_stability_performance_curve_pce_52f6691875,lab/data_all/x_time_day/10.1016_j.solener.2020.03.034/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2.csv,10.1016/j.solener.2020.03.034,Fig6_D_stability_performance_curve_pce,10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2,Time,(days),Normalized PCE,(a.u.),24.0,1415.01970198401,51,18,0.9513221157067966,72a524e360f4148155026811284699d58a62243734edd07d2b2eef3e4600d47e,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.11346859074048243,0.951203007369685,0.8909079171381418,-0.060295090231543225,-0.5313813262160453,0.04879593290211448,0.43003911993334953,0.1090910231336577,0.9614204461493948,0.011714953943311013,0.10324402433184925,0.0024827184073847874,0.021880225983092454,0.05127865130949927,0.451919345916442,0.1090910231336577,0.9614204461493948,0.25333333333333335,0.0,0.25333333333333335,0.4,0.29792620888743165,-0.28499169647043476,0.7466666666666667,True,IFO-Bridge,0.051299178539234734,1.045385576412184,0.673139656094673,B009
10.1021_acsami.9b08714_Fig5_D_stability_performance_curve_pce_677baa23eb,lab/data_all/x_time_day/10.1021_acsami.9b08714/Fig5_D_stability_performance_curve_pce/accepted/10.1021_acsami.9b08714__Fig5__D__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,10.1021/acsami.9b08714,Fig5_D_stability_performance_curve_pce,10.1021_acsami.9b08714__Fig5__D__stability_performance_curve_pce__Spiro-OMeTAD__Series_1,Time,day,Normalized PCE,,24.0,2216.5259910320174,53,12,0.8829993614161742,22c90bddca9ff7c71d7c335461c0997d11380f07b29c0b436c2115ed9ae5e6a3,high,clear_match,,500,0.12067586703168853,0.8925207229268416,0.9875324237892483,0.09501170086240673,0.787329755314353,0.10746855614913842,0.8905554921011508,0.012456855286731683,0.10322573678679774,0.0056560663418929735,0.04686990432318779,0.013207310882550116,0.10944450789884924,0.12067586703168853,1.0,0.012456855286731683,0.10322573678679774,0.16666666666666666,0.0,0.16666666666666666,0.4,1.095914087766257,-0.01397988141999315,0.3933333333333333,True,IFO-Bridge,0.12041015226707227,78.39223058065066,0.8468309619172569,B010
