curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8172879303286129,a762e965bf72f15eb06debe8c90f7e1ea8a4b755cbbaf23e9f278bf1baf46c36,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.191032886485612,0.8154623302200136,0.9527468712487329,0.13728454102871934,0.7186434940826756,0.18453669975511378,0.9659944062511587,0.04725215872639443,0.24735091216848318,0.0034574085911694974,0.018098499450930394,0.006496186730498232,0.034005593748841274,0.191032886485612,1.0,0.04725215872639443,0.24735091216848318,0.36666666666666664,0.07,0.36666666666666664,0.4,-0.03057276322254913,-0.02469963425586053,0.5133333333333333,True,IFO-Bridge,0.22629702552333147,-1.2377820216222462,0.6787168031149676,B002
10.1016_j.apsusc.2020.147949_Fig8_A_stability_performance_curve_pattern_ecab42bb93,lab/data_all/x_time_day/10.1016_j.apsusc.2020.147949/Fig8_A_stability_performance_curve_pattern/accepted/10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1.csv,10.1016/j.apsusc.2020.147949,Fig8_A_stability_performance_curve_pattern,10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1,Time,(day),Efficiency,(%),24.0,675.5250866696948,81,60,13.741944145594314,57824147a56a4210a0a73b118a7165e96f38e7446c75f8eff112571096162b16,low_review,boundary_candidate,已有规则扰动稳定性不足；早期上升速度不足末段下降速度1.5倍,500,0.21144966631704998,0.9645921443317182,0.7927634686795112,-0.17182867565220705,-0.8126221178072952,0.03539387068694644,0.16738674174059218,0.2072225463391535,0.9800088595478874,0.009971342351099866,0.04715704935731005,0.0019292187744986977,0.009123773085581538,0.037323089461445136,0.17651051482617372,0.2072225463391535,0.9800088595478874,0.33,0.0,0.33,0.4,0.10591823629129445,-0.4720271519656906,0.6766666666666666,True,IFO-Bridge,0.036693094480328536,0.2243901348687525,0.4822030714814169,B005
10.1016_j.electacta.2016.11.132_Fig6_A_stability_performance_curve_pce_668bafbba6,lab/data_all/x_time_day/10.1016_j.electacta.2016.11.132/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1.csv,10.1016/j.electacta.2016.11.132,Fig6_A_stability_performance_curve_pce,10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1,No. of Days,,Normalized PCE,,24.0,505.7646817462478,67,66,1.007405171485677,66062f478879732010f882932c3c269b284f05539d46e57610217a7f4de8a43f,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.3410351620990788,0.8892401641220505,0.6652987403960974,-0.22394142372595316,-0.6566520072229176,0.11064365543426924,0.3244347437761407,0.3345850791602224,0.9810867509990583,0.048178616108020544,0.14127169706337644,0.003875374623670491,0.011363563216817517,0.11451903005793973,0.3357983069929582,0.3345850791602224,0.9810867509990583,0.15,0.0,0.15,0.4,0.8403082950603897,-0.5707706571485893,0.82,True,IFO-Bridge,0.12442494153815921,1.4722345736172477,0.5055919158756578,B006
10.1016_j.matt.2019.04.001_Fig5_E_stability_performance_curve_pce_b64cf833f1,lab/data_all/x_time_day/10.1016_j.matt.2019.04.001/Fig5_E_stability_performance_curve_pce/accepted/10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2.csv,10.1016/j.matt.2019.04.001,Fig5_E_stability_performance_curve_pce,10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2,Time (days),days,PCE (%),%,24.0,4774.74046137929,62,7,16.732457051662394,07aa2ad7cc338210b83831afdaa52a7290557aaed4f00831df512ddf9953fc72,high,boundary_candidate,500h内不足8个原始采样点,500,0.04961268634072169,0.9547379582559296,0.9616663159931554,0.0069283577372258875,0.13964891337760818,0.045256286638083565,0.9121918197954456,0.03832792890085768,0.7725429064178374,0.01976980732214173,0.3984829038760361,0.004356399702638125,0.0878081802045544,0.04961268634072169,1.0,0.03832792890085768,0.7725429064178374,0.15,0.0,0.15,0.4,0.43786980371407735,-0.03238572458482822,0.85,True,IFO-Bridge,0.047401788361652264,13.520457217721377,0.7795660140646276,B008
10.1016_j.solener.2020.03.034_Fig6_D_stability_performance_curve_pce_52f6691875,lab/data_all/x_time_day/10.1016_j.solener.2020.03.034/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2.csv,10.1016/j.solener.2020.03.034,Fig6_D_stability_performance_curve_pce,10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2,Time,(days),Normalized PCE,(a.u.),24.0,1415.01970198401,51,18,0.9513221157067966,72a524e360f4148155026811284699d58a62243734edd07d2b2eef3e4600d47e,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.11346859074048243,0.951203007369685,0.8909079171381418,-0.060295090231543225,-0.5313813262160453,0.04879593290211448,0.43003911993334953,0.1090910231336577,0.9614204461493948,0.011714953943311013,0.10324402433184925,0.0024827184073847874,0.021880225983092454,0.05127865130949927,0.451919345916442,0.1090910231336577,0.9614204461493948,0.25333333333333335,0.0,0.25333333333333335,0.4,0.29792620888743165,-0.28499169647043476,0.7466666666666667,True,IFO-Bridge,0.051299178539234734,1.045385576412184,0.673139656094673,B009
10.1039_d0tc01464h_Fig5_C_eqe_curve_stability_performance_51c70d2594,lab/data_all/x_time_day/10.1039_d0tc01464h/Fig5_C_eqe_curve_stability_performance/accepted/10.1039_d0tc01464h__Fig5__C__eqe_curve_stability_performance__with_NH₂GACl__Series_2.csv,10.1039/d0tc01464h,Fig5_C_eqe_curve_stability_performance,10.1039_d0tc01464h__Fig5__C__eqe_curve_stability_performance__with_NH₂GACl__Series_2,Time,(days),Normalized PCE,,24.0,706.1202959566955,36,25,1.0015113197474554,572f18b6c573b2c976c324c20266f85c4bf289b07e0006ae84b352c1a533a2eb,low_review,boundary_candidate,已有规则扰动稳定性不足,500,0.07073840396671549,0.9555104182905976,0.9308389823473852,-0.024671435943212416,-0.348770039465706,0.0444887269322336,0.6289190091589691,0.06916016287544602,0.9776890486246752,0.015953259435972367,0.2255247297278413,0.0023500141231715954,0.03322119232824855,0.0468387410554052,0.6621402014872177,0.06916016287544602,0.9776890486246752,0.2633333333333333,0.0,0.2633333333333333,0.4,0.20897248284450562,-0.08396326595745765,0.7366666666666667,True,IFO-Bridge,0.046560169392839974,2.4888560546273584,0.6833446327051823,B012
10.1039_d2ta02588d_Fig4_A_stability_performance_curve_pce_e9fccaf765,lab/data_all/x_time_day/10.1039_d2ta02588d/Fig4_A_stability_performance_curve_pce/accepted/10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI__Series_1.csv,10.1039/d2ta02588d,Fig4_A_stability_performance_curve_pce,10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI__Series_1,Time,days,Normalized PCE,,24.0,6873.449600254817,48,4,1.0168361223616251,c385c18f1eef6652fd3d40b86261daa27f3704f26d99ffa9c10b506f77e7060b,low_review,boundary_candidate,已有规则扰动稳定性不足；关键变化幅度不足起始值1%；500h内不足8个原始采样点；早期上升速度不足末段下降速度1.5倍,500,0.052540041485252376,0.9907775080986493,0.94796799791742,-0.04280951018122925,-0.8147977993745129,0.009222169704811822,0.175526502151705,0.05203167988604107,0.9903243015262179,0.006069243442920258,0.11551653313071426,0.0006085096784419486,0.011581827140596244,0.009830679383253771,0.18710832929230126,0.05203167988604107,0.9903243015262179,0.22666666666666666,0.0,0.22666666666666666,0.4,0.06440438935500702,-0.07849218814362423,0.7733333333333333,True,IFO-Bridge,0.009308012777267845,0.820519734233431,0.4189476924419066,B013
10.1002_aenm.201600920_Fig7_B_stability_performance_curve_jsc_ad6820d394,lab/data_all/x_time_h/10.1002_aenm.201600920/Fig7_B_stability_performance_curve_jsc/accepted/10.1002_aenm.201600920__Fig7__B__stability_performance_curve_jsc__Spiro__Series_2.csv,10.1002/aenm.201600920,Fig7_B_stability_performance_curve_jsc,10.1002_aenm.201600920__Fig7__B__stability_performance_curve_jsc__Spiro__Series_2,Time (hours),(hours),"Efficiency, η (%)",(%),1.0,550.4141567502381,72,65,13.32930038979552,cd3bd5b3b30fd6a911c869df9922f8df4adb7ea3587e368b05a010ead86a4b6d,low_review,boundary_candidate,已有规则扰动稳定性不足；早期上升速度不足末段下降速度1.5倍,500,0.0756936996336589,0.986995043626675,0.9252492028053578,-0.06174584082131718,-0.8157328961347332,0.01283291265349018,0.16953739499586748,0.07457875347480736,0.9852702911306007,0.007289111759378852,0.09629746986415742,0.00235580065430685,0.03112281029608031,0.01518871330779703,0.2006602052919478,0.07457875347480736,0.9852702911306007,0.3233333333333333,0.0,0.3233333333333333,0.4,0.0261887361131549,-0.11424365963088277,0.73,True,IFO-Bridge,0.013002003137053394,0.22923579477206682,0.42450328117509106,B015
10.1002_aenm.201803047_Fig6_A_stability_performance_curve_pce_ff_e2ee4c27b7,lab/data_all/x_time_h/10.1002_aenm.201803047/Fig6_A_stability_performance_curve_pce_ff/accepted/10.1002_aenm.201803047__Fig6__A__stability_performance_curve_pce_ff__RUS-D__Series_1.csv,10.1002/aenm.201803047,Fig6_A_stability_performance_curve_pce_ff,10.1002_aenm.201803047__Fig6__A__stability_performance_curve_pce_ff__RUS-D__Series_1,Time,(h),Normalized PCE,,1.0,522.5079117506668,59,56,0.8160214699281074,4715ca6ce3526791a4fd83e35cdd3a82c777b0c71ee2fa3919695447acaf1ad9,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.526037475149092,0.8962684601045332,0.7709639776382712,-0.12530448246626202,-0.23820447855116716,0.1093885394631604,0.20794818740272636,0.23469302192942243,0.4461526659538935,0.07378495171786614,0.1402655803124172,0.41664893568593164,0.7920518125972736,0.526037475149092,1.0,0.23469302192942243,0.4461526659538935,0.1,0.07666666666666666,0.1,0.4,-2.4253431013200104,-0.5308622125037838,0.8533333333333334,True,IFO-Bridge,0.12204885515038903,-4.568686646354063,0.7022357823233746,B016
10.1002_aenm.202002004_Fig5_F_stability_performance_curve_06bd6f5807,lab/data_all/x_time_h/10.1002_aenm.202002004/Fig5_F_stability_performance_curve/accepted/10.1002_aenm.202002004__Fig5__F__stability_performance_curve__Control__Series_1.csv,10.1002/aenm.202002004,Fig5_F_stability_performance_curve,10.1002_aenm.202002004__Fig5__F__stability_performance_curve__Control__Series_1,Time,(h),Normalized PCE,,1.0,1088.2697963010655,47,22,1.0018218510953152,5f2dc24fb0312ce433bcff7f55457ed1dd4560c7c8b5a1097c56d70c43e222c4,high,boundary_candidate,末段斜率非负,500,0.0202574404668614,0.980249936410783,0.9998932747022033,0.019643338291420398,0.9696851052606773,0.01974993286595661,0.9749471014497114,0.0001065945745362118,0.005261996189034197,1.0086386932339764e-05,0.0004979102344563132,0.0005075076009047885,0.025052898550288548,0.0202574404668614,1.0,0.0001065945745362118,0.005261996189034197,0.3933333333333333,0.0,0.3933333333333333,0.4,0.0609009121098796,3.40123151713635e-14,0.03666666666666667,True,IFO-Bridge,0.020147854268954744,60900912109.8796,0.4478073920963291,B017
