curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id
10.3390_molecules29122758_Fig5_B_stability_performance_curve_09a0fb613f,lab/data_all/x_time_h/10.3390_molecules29122758/Fig5_B_stability_performance_curve/accepted/10.3390_molecules29122758__Fig5__B__stability_performance_curve__3-cation__Series_3.csv,10.3390/molecules29122758,Fig5_B_stability_performance_curve,10.3390_molecules29122758__Fig5__B__stability_performance_curve__3-cation__Series_3,Time,(h),Normalized PCE,,1.0,2475.6314435221775,59,12,1.0093675752151263,29aab98130fb02b286ae2443ece81afcb262b84a2fd5731873b41121587e1fcc,high,clear_match,,500,0.042530935982758145,0.9596094501277097,0.9716889395114165,0.012079489383706843,0.28401654241994145,0.04039024736625141,0.9496674933894105,0.028310757982544565,0.665650950969469,0.0017890960951584267,0.04206575881338982,0.0021406886165067363,0.05033250661058957,0.042530935982758145,1.0,0.028310757982544565,0.665650950969469,0.31,0.0,0.31,0.4,0.2465263775446312,-0.05899941264914772,0.7266666666666667,True,IFO-Bridge,0.04209029763189188,4.17845477565432,0.9767337809832338,B055
10.1016_j.electacta.2018.07.044_Fig4_H_stability_performance_curve_pce_c80b739546,lab/data_all/x_time_h/10.1016_j.electacta.2018.07.044/Fig4_H_stability_performance_curve_pce/accepted/10.1016_j.electacta.2018.07.044__Fig4__H__stability_performance_curve_pce__None-doped_TiO₂__Series_1.csv,10.1016/j.electacta.2018.07.044,Fig4_H_stability_performance_curve_pce,10.1016_j.electacta.2018.07.044__Fig4__H__stability_performance_curve_pce__None-doped_TiO₂__Series_1,Time,(h),Normalized PCE,,1.0,707.3368339557683,65,46,0.999334102002062,6afa1a3678010ad02cb49101c5d06234de01c643ab38916799dc71940be6dde6,high,clear_match,,500,0.08749332719634784,0.9173542512451257,0.940570746217185,0.023216494972059243,0.2653516069855022,0.08267395694860225,0.9449172822410763,0.059457461976543,0.6795656752555741,0.0076619927015466605,0.08757230919281452,0.004819370247745591,0.055082717758923705,0.08749332719634784,1.0,0.059457461976543,0.6795656752555741,0.24666666666666667,0.0,0.24666666666666667,0.4,0.5567580428058881,-0.12419813171306386,0.61,True,IFO-Bridge,0.09012217127286304,4.482821400986704,0.9695585380416253,B028
10.1021_acs.jpclett.1c02371_Fig5_A_stability_performance_curve_pce_b8266ec822,lab/data_all/x_time_h/10.1021_acs.jpclett.1c02371/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.1c02371__Fig5__A__stability_performance_curve_pce__SnO₂__Series_2.csv,10.1021/acs.jpclett.1c02371,Fig5_A_stability_performance_curve_pce,10.1021_acs.jpclett.1c02371__Fig5__A__stability_performance_curve_pce__SnO₂__Series_2,Time (h),(h),PCE (norm.),(norm.),1.0,986.684643114357,100,51,1.0132725763239048,9d931c3b8a36b08d1fbd791e2d1fad23774fc43422ffe575a365c4ae10bd0b12,high,clear_match,,500,0.026817610721767915,0.9741580474268724,0.9880066852380734,0.013848637811201048,0.516400881304466,0.025742483543008343,0.9599096582497975,0.011893845731807295,0.4435087769453315,2.8103498473042166e-05,0.001047949377914957,0.0010751271787595718,0.04009034175020255,0.026817610721767915,1.0,0.011893845731807295,0.4435087769453315,0.34,0.0,0.34,0.4,0.1454771743372457,-0.012154544589666054,0.32666666666666666,True,IFO-Bridge,0.026425366613768868,11.968953115769736,0.9503294197975012,B033
10.1016_j.nanoen.2016.08.048_Figunknown_whole_stability_a2d92eb922,lab/data_all/x_time_day/10.1016_j.nanoen.2016.08.048/Figunknown_whole_stability/accepted/10.1016_j.nanoen.2016.08.048__Figunknown__whole__stability__W_OPCBDAN__Series_2.csv,10.1016/j.nanoen.2016.08.048,Figunknown_whole_stability,10.1016_j.nanoen.2016.08.048__Figunknown__whole__stability__W_OPCBDAN__Series_2,Time (days),(days),Normalized (PCE),(PCE),24.0,720.711682645776,58,40,1.001250881775819,c28fa7daa9c5eb0cc3000b66a802fc516c652d6ef1e256c3b417515fc2b29ae1,high,clear_match,,500,0.09169650652849348,0.9690340203401844,0.9098849657027382,-0.05914905463744613,-0.6450524330397074,0.030858700715516663,0.336530821988597,0.09000775535296279,0.9815832550283043,0.03348328220636965,0.3651533027156837,0.002624581490852984,0.028622480727086695,0.0,0.0,0.056524473146593146,0.6164299523126207,0.18333333333333332,0.4,0.4,0.4,0.19889838295743323,-0.05780906933308748,0.8166666666666667,True,IFO-Hill,0.03184480634094101,2.6732522656165427,0.9688525990353094,H004
10.1021_acsaem.1c02033_Fig2_D_stability_performance_curve_pce_1ba99c4f58,lab/data_all/x_time_h/10.1021_acsaem.1c02033/Fig2_D_stability_performance_curve_pce/accepted/10.1021_acsaem.1c02033__Fig2__D__stability_performance_curve_pce__3D__Series_3.csv,10.1021/acsaem.1c02033,Fig2_D_stability_performance_curve_pce,10.1021_acsaem.1c02033__Fig2__D__stability_performance_curve_pce__3D__Series_3,Time(h),(h),Normalized PCE,,1.0,734.1915669219159,58,39,0.8442296947476754,630d5e826cc68a13bddf2141cf68f3a1c655faedf48bdec6d46950f3f30c1192,high,clear_match,,500,0.2363290342338502,0.8549802697192773,0.7654679914471926,-0.08951227827208474,-0.37876124092104296,0.1450102643243626,0.6135947908155598,0.23452254259644734,0.9923560317366027,0.09730108088986633,0.4117186921416766,0.007491134451289461,0.03169790151081014,0.15250139877565205,0.64529269232637,0.23452254259644734,0.9923560317366027,0.17,0.0,0.17,0.4,1.02347524941222,-0.10777483560973963,0.8,True,IFO-Hill,0.16960656223327236,3.9252964329624693,0.9663456136008032,H024
10.1016_j.cej.2021.130001_Fig5_I_stability_performance_curve_pce_65124d2a96,lab/data_all/x_time_day/10.1016_j.cej.2021.130001/Fig5_I_stability_performance_curve_pce/accepted/10.1016_j.cej.2021.130001__Fig5__I__stability_performance_curve_pce__withPPPDE__Series_1.csv,10.1016/j.cej.2021.130001,Fig5_I_stability_performance_curve_pce,10.1016_j.cej.2021.130001__Fig5__I__stability_performance_curve_pce__withPPPDE__Series_1,Time (day),(day),Normalized PCE,,24.0,944.2073736919698,44,23,1.0026097615830605,f3e0e66276c3b504e58c0132078c4be2aa4bf5f2271b90f8cd37b8e5b62a0a50,high,clear_match,,500,0.1092122072418138,0.9692476327936755,0.8920375886402394,-0.07721004415343613,-0.706972655377987,0.030739665354689638,0.28146730233761286,0.10794970950812577,0.9884399577156,0.05842349224167631,0.5349538638324294,0.027683826886986673,0.25348656149481646,0.0,0.0,0.04952621726644946,0.4534860938831706,0.11666666666666667,0.4,0.4,0.4,0.33346402828203175,-0.06093898033165615,0.7633333333333333,True,IFO-Hill,0.03171497594075962,3.3837218760593477,0.960484703863535,H002
10.1002_aenm.201600285_Fig6_whole_stability_performance_curve_pce_e14a9f7975,lab/data_all/x_time_h/10.1002_aenm.201600285/Fig6_whole_stability_performance_curve_pce/accepted/10.1002_aenm.201600285__Fig6__whole__stability_performance_curve_pce__PC[70]BM_Al__Series_2.csv,10.1002/aenm.201600285,Fig6_whole_stability_performance_curve_pce,10.1002_aenm.201600285__Fig6__whole__stability_performance_curve_pce__PC[70]BM_Al__Series_2,Time,(h),Normalized PCE,(%),1.0,995.7623649182801,57,29,99.68172329542143,48b96ad1900721ac0b0423fa79830cf10c328b79ab46442ef9109fdff6f38020,high,clear_match,,500,0.16113598298115572,0.9930353235141333,0.8397071847379841,-0.15332813877614915,-0.9515449990712523,0.0069609538219796985,0.043199251298164466,0.16028909259812885,0.9947442503694167,0.1374872124674973,0.8532371846676601,0.1305262586455176,0.8100379333694956,0.0016517781223759354,0.010250833437799582,0.024453658253007493,0.1517578991395563,0.0,0.4,0.4766666666666667,0.4,-0.7419170516372643,-0.02847962688784461,0.8366666666666667,True,IFO-Slope,0.13144170761581161,26.050799561349656,0.9966920771245884,S399
10.1039_d3sc02845c_Fig6_A_stability_performance_curve_pce_e045bc42a0,lab/data_all/x_time_h/10.1039_d3sc02845c/Fig6_A_stability_performance_curve_pce/accepted/10.1039_d3sc02845c__Fig6__A__stability_performance_curve_pce__TMDAP-EP-OMeDPA__Series_1.csv,10.1039/d3sc02845c,Fig6_A_stability_performance_curve_pce,10.1039_d3sc02845c__Fig6__A__stability_performance_curve_pce__TMDAP-EP-OMeDPA__Series_1,t,h,PCE,%,1.0,1009.7606825096456,34,17,22.1009270092239,2639fd14d0eb24ae8e42721eea1a150ef9f068c82f0adfd654b9cd0cd5e8978f,high,clear_match,,500,0.15610598630641426,0.9940126542273072,0.8439016785155999,-0.15011097571170728,-0.9615965361959944,0.005987345772692554,0.038354363688143454,0.15609832148439984,0.9999508998841379,0.13920027367293486,0.8917036237143664,0.1332129279002423,0.853349260026223,0.0,0.0,0.016898047811464978,0.10824727616977141,0.0,0.4,0.4,0.4,-0.7184814927217998,-0.014031667185781216,0.65,True,IFO-Slope,0.1340153239837726,51.20428550713222,0.995814879859392,S830
10.1021_acsami.7b01136_Fig5_D_stability_performance_curve_pce_013a0e7999,lab/data_all/x_time_day/10.1021_acsami.7b01136/Fig5_D_stability_performance_curve_pce/accepted/10.1021_acsami.7b01136__Fig5__D__stability_performance_curve_pce__Pristine_PVK__Series_1.csv,10.1021/acsami.7b01136,Fig5_D_stability_performance_curve_pce,10.1021_acsami.7b01136__Fig5__D__stability_performance_curve_pce__Pristine_PVK__Series_1,Time (day),(day),PCE (%),(%),24.0,726.3270706298877,42,29,12.88717078935285,e41242a5062e7d101409cc51687dda54832c19731f0147415062924ab2849109,high,clear_match,,500,0.47415701021665124,0.9839667168246699,0.5268653974081215,-0.4571013194165483,-0.9640294450306452,0.016033283175329927,0.03381429111003551,0.47313460259187823,0.9978437361406808,0.3992254888267719,0.8419689685582382,0.38319220565144196,0.8081546774482028,0.0,0.0,0.07390911376510634,0.15587476758244254,0.0,0.4,0.4,0.4,-2.073114743381164,-0.12835870459036117,0.8966666666666666,True,IFO-Slope,0.3894361456534122,16.15094784570489,0.9957518688939098,S218
10.1021_acsami.0c03180_Fig8_D_stability_performance_curve_pce_ef818dd1f4,lab/data_all/x_time_day/10.1021_acsami.0c03180/Fig8_D_stability_performance_curve_pce/accepted/10.1021_acsami.0c03180__Fig8__D__stability_performance_curve_pce__C1__Series_2.csv,10.1021/acsami.0c03180,Fig8_D_stability_performance_curve_pce,10.1021_acsami.0c03180__Fig8__D__stability_performance_curve_pce__C1__Series_2,Time (days),days,Normalized PCE (%),%,24.0,2827.51284047599,52,10,1.0037616349999778,ae372c68ecf3d0165fc87ac2d2130d7d07fd6619d136bd505ea77abe33fd3c17,high,clear_match,,500,0.05674425916819359,0.9961438835860283,0.9546535662447666,-0.04149031734126174,-0.7311808797834827,0.0038561164139714332,0.0679560623488212,0.04534643375523317,0.7991369421323039,0.04015046245556919,0.7075687134545307,0.052888142754222156,0.9320439376511788,0.03645978845681419,0.6425282308954825,0.025061963043853774,0.44166517302778635,0.0,0.21333333333333335,0.63,0.4,-0.37916891104188044,-0.07315214347700008,0.5833333333333334,True,IFO-Valley,0.03660092588789707,5.183291876622805,0.8067589284922034,V003
