curve_id,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,duration_hours,n_unique_points,n_observed_in_window,first_value,source_sha256,confidence_level,status,review_reason,window_hours,amplitude,start_value,end_value,end_minus_start,end_minus_start_ratio,gain_abs,gain_ratio,peak_drop_abs,peak_drop_ratio,early_peak_drop_abs,early_peak_drop_ratio,early_drop_abs,early_drop_ratio,recovery_abs,recovery_ratio,post_recovery_drop_abs,post_recovery_drop_ratio,t_peak_fraction,t_early_min_fraction,t_recovery_fraction,early_boundary_fraction,early_slope,late_slope,fraction_negative_steps,prior_features_verified,strict_class,key_effect_fraction_of_start,rate_contrast,template_correlation,plot_id,raw_cluster_id,class_label,suggested_shape_name,pce_norm_0h,pce_norm_200h,selection_or_exclusion_reasons
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_f25d13db2a,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8972813472035234,606e4264f60a6ae0f7254a57dc4df2d005e8e70e9bf04c0dd4c8c443ec934638,high,clear_match,,500,0.2290747697009117,0.9070623859685066,0.7721632411393572,-0.1348991448291494,-0.5888869603810083,0.0929306592746552,0.4056782831037607,0.2278298041038047,0.994565243484769,0.0440919673338353,0.1924784968305475,0.0011666796187762,0.0050930079305526,0.0940973388934315,0.4107712910343133,0.2278298041038047,0.994565243484769,0.2533333333333333,0.0,0.2533333333333333,0.4,0.1575842996166575,-0.026645678064374,0.6233333333333333,True,IFO-Bridge,0.1024523348252716,5.91406603487233,0.4761774385951497,B001,0.0,class_01,no_initial_change_stable,0.9058490391649788,0.9560177458712436,included
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,Time,(Day),Normalised PCE,,24.0,1060.6247099479856,58,27,0.8172879303286129,a762e965bf72f15eb06debe8c90f7e1ea8a4b755cbbaf23e9f278bf1baf46c36,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.191032886485612,0.8154623302200136,0.9527468712487328,0.1372845410287193,0.7186434940826756,0.1845366997551137,0.9659944062511588,0.0472521587263944,0.2473509121684831,0.0034574085911694,0.0180984994509303,0.0064961867304982,0.0340055937488412,0.191032886485612,1.0,0.0472521587263944,0.2473509121684831,0.3666666666666666,0.07,0.3666666666666666,0.4,-0.0305727632225491,-0.0246996342558605,0.5133333333333333,True,IFO-Bridge,0.2262970255233314,-1.2377820216222462,0.6787168031149676,B002,0.0,class_01,no_initial_change_stable,0.8168695099720891,0.9969462631128664,included
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,Time,(Day),Normalised PCE,,24.0,1042.0172588962664,57,27,0.9205052424252717,01bb247456088bf5a8d268f9527ec908283893894e7068884074225cc4d3069f,high,clear_match,,500,0.12852051117781,0.9266391146034422,0.871703526809664,-0.0549355877937781,-0.4274460729289658,0.0733593548385731,0.5707988099820065,0.1282949426323513,0.9982448829109724,0.0129746005027866,0.1009535395080719,0.0064938213852009,0.0505275097779267,0.079853176223774,0.6213263197599332,0.1282949426323513,0.9982448829109724,0.2366666666666666,0.0,0.2366666666666666,0.4,0.6918125174670053,-0.1022027578764301,0.7133333333333334,True,IFO-Bridge,0.0791671252405177,6.769020052310644,0.4959155821759673,B003,0.0,class_01,no_initial_change_stable,0.919870713992658,0.986526357252369,included
10.1002_smtd.201900476_Fig5_C_stability_performance_curve_pce_c079a8128c,lab/data_all/x_time_day/10.1002_smtd.201900476/Fig5_C_stability_performance_curve_pce/accepted/10.1002_smtd.201900476__Fig5__C__stability_performance_curve_pce__SnO₂__Series_2.csv,10.1002/smtd.201900476,Fig5_C_stability_performance_curve_pce,10.1002_smtd.201900476__Fig5__C__stability_performance_curve_pce__SnO₂__Series_2,Time,(day),PCE,(%),24.0,713.8654173794569,50,35,16.924444755880426,a3a03742fcbe99c2721258a49f9b0866803ae3a336f9abbb6ee4879888aceda8,high,clear_match,,500,0.1813697043737155,0.9453991537664505,0.8215137103486893,-0.1238854434177612,-0.6830547794382076,0.0545990215513629,0.3010371646130089,0.1784844649691241,0.9840919440512164,0.0302134546625113,0.1665849032882359,0.0037402132072346,0.0206220394974445,0.0583392347585975,0.3216592041104535,0.1784844649691241,0.9840919440512164,0.19,0.0,0.19,0.4,0.3729735877130509,-0.2315268606891549,0.81,True,IFO-Bridge,0.057752348660184,1.6109300951210177,0.4563380532996428,B004,0.0,class_01,no_initial_change_stable,0.94152967968908,0.970041388193488,included
10.1016_j.apsusc.2020.147949_Fig8_A_stability_performance_curve_pattern_ecab42bb93,lab/data_all/x_time_day/10.1016_j.apsusc.2020.147949/Fig8_A_stability_performance_curve_pattern/accepted/10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1.csv,10.1016/j.apsusc.2020.147949,Fig8_A_stability_performance_curve_pattern,10.1016_j.apsusc.2020.147949__Fig8__A__stability_performance_curve_pattern__Pristine__Series_1,Time,(day),Efficiency,(%),24.0,675.5250866696948,81,60,13.741944145594314,57824147a56a4210a0a73b118a7165e96f38e7446c75f8eff112571096162b16,low_review,boundary_candidate,已有规则扰动稳定性不足；早期上升速度不足末段下降速度1.5倍,500,0.2114496663170499,0.9645921443317182,0.7927634686795112,-0.171828675652207,-0.8126221178072952,0.0353938706869464,0.1673867417405921,0.2072225463391535,0.9800088595478874,0.0099713423510998,0.04715704935731,0.0019292187744986,0.0091237730855815,0.0373230894614451,0.1765105148261737,0.2072225463391535,0.9800088595478874,0.33,0.0,0.33,0.4,0.1059182362912944,-0.4720271519656906,0.6766666666666666,True,IFO-Bridge,0.0366930944803285,0.2243901348687525,0.4822030714814169,B005,0.0,class_01,no_initial_change_stable,0.962618432315944,0.990112694987764,included
10.1016_j.electacta.2016.11.132_Fig6_A_stability_performance_curve_pce_668bafbba6,lab/data_all/x_time_day/10.1016_j.electacta.2016.11.132/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1.csv,10.1016/j.electacta.2016.11.132,Fig6_A_stability_performance_curve_pce,10.1016_j.electacta.2016.11.132__Fig6__A__stability_performance_curve_pce__MA₀.₈FA₀.₂PbI₃_Perovskite_Device__Series_1,No. of Days,,Normalized PCE,,24.0,505.7646817462478,67,66,1.007405171485677,66062f478879732010f882932c3c269b284f05539d46e57610217a7f4de8a43f,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.3410351620990788,0.8892401641220505,0.6652987403960974,-0.2239414237259531,-0.6566520072229176,0.1106436554342692,0.3244347437761407,0.3345850791602224,0.9810867509990584,0.0481786161080205,0.1412716970633764,0.0038753746236704,0.0113635632168175,0.1145190300579397,0.3357983069929582,0.3345850791602224,0.9810867509990584,0.15,0.0,0.15,0.4,0.8403082950603897,-0.5707706571485893,0.82,True,IFO-Bridge,0.1244249415381592,1.4722345736172475,0.5055919158756578,B006,0.0,class_01,no_initial_change_stable,0.8852003749011165,0.9518342051071144,included
10.1016_j.jechem.2020.03.082_Fig4_D_ff_f093ee4867,lab/data_all/x_time_day/10.1016_j.jechem.2020.03.082/Fig4_D_ff/accepted/10.1016_j.jechem.2020.03.082__Fig4__D__ff__Uncoated_PSCs__Series_1.csv,10.1016/j.jechem.2020.03.082,Fig4_D_ff,10.1016_j.jechem.2020.03.082__Fig4__D__ff__Uncoated_PSCs__Series_1,Time,d,Normalized PCE,,24.0,2386.2930164172394,36,8,1.003589155312813,ff13ec98bf08e7a1153cb38659aee0a02d725906ed141f96ff9edfdd98f937e6,high,clear_match,,500,0.0209347204049545,0.9809198619887964,0.9804037615938987,-0.0005161003948974,-0.0246528439317165,0.0190801124920679,0.911409950693792,0.0195962128869654,0.9360627946255085,0.002989777692859,0.142814312062722,0.0018546079128866,0.0885900493062081,0.0209347204049545,1.0,0.0195962128869654,0.9360627946255085,0.2066666666666666,0.0,0.2066666666666666,0.4,0.1856733062366473,-0.0257024545176377,0.7933333333333333,True,IFO-Bridge,0.0194512449298186,7.223952331448847,0.8161400281002188,B007,,,,,,unique_points_lt_4
10.1016_j.matt.2019.04.001_Fig5_E_stability_performance_curve_pce_b64cf833f1,lab/data_all/x_time_day/10.1016_j.matt.2019.04.001/Fig5_E_stability_performance_curve_pce/accepted/10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2.csv,10.1016/j.matt.2019.04.001,Fig5_E_stability_performance_curve_pce,10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2,Time (days),days,PCE (%),%,24.0,4774.74046137929,62,7,16.732457051662394,07aa2ad7cc338210b83831afdaa52a7290557aaed4f00831df512ddf9953fc72,high,boundary_candidate,500h内不足8个原始采样点,500,0.0496126863407216,0.9547379582559296,0.9616663159931554,0.0069283577372258,0.1396489133776081,0.0452562866380835,0.9121918197954456,0.0383279289008576,0.7725429064178374,0.0197698073221417,0.3984829038760361,0.0043563997026381,0.0878081802045544,0.0496126863407216,1.0,0.0383279289008576,0.7725429064178374,0.15,0.0,0.15,0.4,0.4378698037140773,-0.0323857245848282,0.85,True,IFO-Bridge,0.0474017883616522,13.520457217721376,0.7795660140646276,B008,,,,,,unique_points_lt_4
10.1016_j.solener.2020.03.034_Fig6_D_stability_performance_curve_pce_52f6691875,lab/data_all/x_time_day/10.1016_j.solener.2020.03.034/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2.csv,10.1016/j.solener.2020.03.034,Fig6_D_stability_performance_curve_pce,10.1016_j.solener.2020.03.034__Fig6__D__stability_performance_curve_pce__3_mg_ml_PbS__Series_2,Time,(days),Normalized PCE,(a.u.),24.0,1415.01970198401,51,18,0.9513221157067966,72a524e360f4148155026811284699d58a62243734edd07d2b2eef3e4600d47e,high,boundary_candidate,早期上升速度不足末段下降速度1.5倍,500,0.1134685907404824,0.951203007369685,0.8909079171381418,-0.0602950902315432,-0.5313813262160453,0.0487959329021144,0.4300391199333495,0.1090910231336577,0.9614204461493948,0.011714953943311,0.1032440243318492,0.0024827184073847,0.0218802259830924,0.0512786513094992,0.451919345916442,0.1090910231336577,0.9614204461493948,0.2533333333333333,0.0,0.2533333333333333,0.4,0.2979262088874316,-0.2849916964704347,0.7466666666666667,True,IFO-Bridge,0.0512991785392347,1.045385576412184,0.673139656094673,B009,,,,,,unique_points_4_to_9_main_qc
10.1021_acsami.9b08714_Fig5_D_stability_performance_curve_pce_677baa23eb,lab/data_all/x_time_day/10.1021_acsami.9b08714/Fig5_D_stability_performance_curve_pce/accepted/10.1021_acsami.9b08714__Fig5__D__stability_performance_curve_pce__Spiro-OMeTAD__Series_1.csv,10.1021/acsami.9b08714,Fig5_D_stability_performance_curve_pce,10.1021_acsami.9b08714__Fig5__D__stability_performance_curve_pce__Spiro-OMeTAD__Series_1,Time,day,Normalized PCE,,24.0,2216.5259910320174,53,12,0.8829993614161742,22c90bddca9ff7c71d7c335461c0997d11380f07b29c0b436c2115ed9ae5e6a3,high,clear_match,,500,0.1206758670316885,0.8925207229268416,0.9875324237892484,0.0950117008624067,0.787329755314353,0.1074685561491384,0.8905554921011508,0.0124568552867316,0.1032257367867977,0.0056560663418929,0.0468699043231877,0.0132073108825501,0.1094445078988492,0.1206758670316885,1.0,0.0124568552867316,0.1032257367867977,0.1666666666666666,0.0,0.1666666666666666,0.4,1.095914087766257,-0.0139798814199931,0.3933333333333333,True,IFO-Bridge,0.1204101522670722,78.39223058065066,0.8468309619172569,B010,,,,,,unique_points_4_to_9_main_qc
