curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
10.1021_acs.nanolett.9b02142_Fig1_D_stability_performance_curve_pce_5a11992f8d,False,nonfinite_or_nonpositive_output,lab/data_all/x_time_day/10.1021_acs.nanolett.9b02142/Fig1_D_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__Control-HP__Series_1.csv,10.1021/acs.nanolett.9b02142,Fig1_D_stability_performance_curve_pce,10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__Control-HP__Series_1,Δ Aging days,,Δ PCE,[%],24.0,49,3222.74224380048,42.13370842697144,176.41463525199143,-0.6946334575689236,-0.1975327483328624
10.1021_acs.nanolett.9b02142_Fig1_D_stability_performance_curve_pce_282e1b8b93,False,nonfinite_or_nonpositive_output,lab/data_all/x_time_day/10.1021_acs.nanolett.9b02142/Fig1_D_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__LD-HP__Series_2.csv,10.1021/acs.nanolett.9b02142,Fig1_D_stability_performance_curve_pce,10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__LD-HP__Series_2,Δ Aging days,,Δ PCE,[%],24.0,54,3558.444560863031,42.13370842697144,190.40223179626437,-0.1975327483328624,-0.1956281479143334
10.1016_j.solmat.2019.110383_Fig3_whole_figure_e2c6bc10d5,False,y_axis_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1016_j.solmat.2019.110383/Fig3_whole_figure/accepted/10.1016_j.solmat.2019.110383__Fig3__whole__figure__Series_1__Series_1.csv,10.1016/j.solmat.2019.110383,Fig3_whole_figure,10.1016_j.solmat.2019.110383__Fig3__whole__figure__Series_1__Series_1,Time,hours,E/E0,,,91,,0.3603322609663095,197.19822224023048,0.0503466029020805,0.9914055550068764
10.1007_s11426-016-0085-y_Fig5_A_stability_4a23c6c9dd,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_day/10.1007_s11426-016-0085-y/Fig5_A_stability/accepted/10.1007_s11426-016-0085-y__Fig5__A__stability__FF__Series_2.csv,10.1007/s11426-016-0085-y,Fig5_A_stability,10.1007_s11426-016-0085-y__Fig5__A__stability__FF__Series_2,Time,days,Device performance,,,64,,-0.3059329922892502,74.33015040968348,0.5726878911326093,0.9992974524723468
10.1002_advs.201700484_Fig5_A_stability_performance_curve_pce_6cf4377f5c,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__FF__Series_2.csv,10.1002/advs.201700484,Fig5_A_stability_performance_curve_pce,10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__FF__Series_2,Time,hour,Performance,norm.,,56,,37.65346055382116,767.8619178898564,0.9424242723749564,1.1308070435220188
10.1002_advs.201700484_Fig5_A_stability_performance_curve_pce_4acbfc54b9,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__J_SC__Series_3.csv,10.1002/advs.201700484,Fig5_A_stability_performance_curve_pce,10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__J_SC__Series_3,Time,hour,Performance,norm.,,59,,5.789818779157798,775.8278283335222,0.4506718437962617,1.0133736277420318
10.1002_advs.201700484_Fig5_A_stability_performance_curve_pce_94ef8facf0,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1002_advs.201700484/Fig5_A_stability_performance_curve_pce/accepted/10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__V_OC__Series_4.csv,10.1002/advs.201700484,Fig5_A_stability_performance_curve_pce,10.1002_advs.201700484__Fig5__A__stability_performance_curve_pce__V_OC__Series_4,Time,hour,Performance,norm.,,58,,5.789818779157798,775.8278283335222,0.8690283875124647,0.9913548622832844
10.1039_d3ta01935g_Fig5_E_stability_performance_curve_pce_fa8e5e07c1,False,y_axis_is_not_pce_efficiency_or_power,lab/data_all/x_time_day/10.1039_d3ta01935g/Fig5_E_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_F-PEA__Series_3.csv,10.1039/d3ta01935g,Fig5_E_stability_performance_curve_pce,10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_F-PEA__Series_3,Time,days,intensity,a.u.,,46,,0.0449817280094082,33.211281969994445,0.447351865978805,1.001838340541796
10.1039_d3ta01935g_Fig5_E_stability_performance_curve_pce_807452dc26,False,y_axis_is_not_pce_efficiency_or_power,lab/data_all/x_time_day/10.1039_d3ta01935g/Fig5_E_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_iso-BA__Series_1.csv,10.1039/d3ta01935g,Fig5_E_stability_performance_curve_pce,10.1039_d3ta01935g__Fig5__E__stability_performance_curve_pce__Pure_iso-BA__Series_1,Time,days,intensity,a.u.,,47,,-0.2498298296971253,33.653499306554245,0.3180674548112683,1.001838340541796
10.1039_d3ta01935g_Fig5_F_stability_performance_curve_pce_57ca3f024c,False,y_axis_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_F-PEA__Series_3.csv,10.1039/d3ta01935g,Fig5_F_stability_performance_curve_pce,10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_F-PEA__Series_3,Time (hours),hours,intensity (a.u.),a.u.,,48,,0.2945943866501928,147.54621156683493,0.456092338986515,1.000846663351835
10.1039_d3ta01935g_Fig5_F_stability_performance_curve_pce_a2d76b70ef,False,y_axis_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_iso-BA__Series_1.csv,10.1039/d3ta01935g,Fig5_F_stability_performance_curve_pce,10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__Pure_iso-BA__Series_1,Time (hours),hours,intensity (a.u.),a.u.,,49,,-1.5852134922457817,148.79941681943222,0.3528757301594017,1.0065809193977855
10.1039_d3ta01935g_Fig5_F_stability_performance_curve_pce_b419095151,False,y_axis_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1039_d3ta01935g/Fig5_F_stability_performance_curve_pce/accepted/10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__iso-BA_F-PEA__Series_2.csv,10.1039/d3ta01935g,Fig5_F_stability_performance_curve_pce,10.1039_d3ta01935g__Fig5__F__stability_performance_curve_pce__iso-BA_F-PEA__Series_2,Time (hours),hours,intensity (a.u.),a.u.,,48,,1.2344983260981834,148.48611550628289,0.6252528923420617,1.0037137913748102
10.1039_c5ee03255e_Fig6_D_stability_performance_curve_3ba9e1a34b,False,fewer_than_4_unique_points,lab/data_all/x_time_h/10.1039_c5ee03255e/Fig6_D_stability_performance_curve/accepted/10.1039_c5ee03255e__Fig6__D__stability_performance_curve__FAPbI₃__Series_2.csv,10.1039/c5ee03255e,Fig6_D_stability_performance_curve,10.1039_c5ee03255e__Fig6__D__stability_performance_curve__FAPbI₃__Series_2,Time (h),h,PCE (Norm.),Norm.,1.0,3,54.610617702151046,-8.0087190695223,46.601898632628746,0.2001975260789832,0.9967755004191752
10.1002_aenm.201700169_Fig7_whole_stability_04703168e1,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_h/10.1002_aenm.201700169/Fig7_whole_stability/accepted/10.1002_aenm.201700169__Fig7__whole__stability__FF__Series_1.csv,10.1002/aenm.201700169,Fig7_whole_stability,10.1002_aenm.201700169__Fig7__whole__stability__FF__Series_1,Time (hour),hour,Normalized performance,,,67,,6.136301181947374,981.7057257131204,0.6015432526803738,0.9655522780294278
10.1002_adfm.201804128_Fig8_C_stability_performance_curve_decay_8894ee5591,False,series_is_not_pce_efficiency_or_power,lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,Time,(Day),Normalized,,,43,,-0.0210958031628258,19.600533933755848,0.7347310646065457,1.000499557576434
