candidate_id,search_stage,window_hours,sigma,learning_rate,iterations,seed,n_curves,quantization_error,topographic_error,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,balance_entropy,matched_mean_prototype_correlation,independent_archetypes_found,independent_labels,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,selection_score,mean_pairwise_ari_5_seeds,min_pairwise_ari_5_seeds,stable_selection_score
38,expanded_som,300,0.2,0.5,100000,0,1635,0.8539755483580256,0.0,0.5730009237401119,0.8422028168402835,2240.580383559623,5,0.6311637714068945,0.8485932545156804,3,IFO-Hill;IFO-Hill;IFO-Valley;IFO-Slope,428,1049,5,153,0.769465695609669,0.9982253335073684,0.9955633337684209,0.7691243093628621
37,expanded_som,300,0.2,0.5,20000,0,1635,0.8099862183089015,0.0,0.5752333755861981,0.8398371244807077,2303.436188252971,5,0.6162810026024149,0.8496064356055685,3,IFO-Hill;IFO-Hill;IFO-Valley;IFO-Slope,435,1062,5,133,0.7684947454385223,0.9982021282051534,0.9955053205128832,0.7681493316816943
39,expanded_som,300,0.8,0.03,20000,0,1635,0.6725073001878349,0.0,0.5225837012742008,0.7194963992774523,3114.7276347248235,100,0.8389550068092199,0.6387405379315293,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,416,840,100,279,0.7551902156453483,1.0,1.0,0.7551902156453483
10,paper_reported,300,0.3,0.3,50000,0,1635,0.7121002051363821,0.0,0.5521397018828975,0.7269661202929961,3153.6952782119993,66,0.762677238854247,0.6388835061478155,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,199,936,434,66,0.7527526099834086,1.0,1.0,0.7527526099834086
66,expanded_som,500,1.0,0.05,100000,0,1229,0.7510527848989598,0.0,0.49040545724930656,0.7578731302130248,2093.385023121199,82,0.8696258512662925,0.6354594964199264,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,357,82,568,222,0.7522159771977487,1.0,1.0,0.7522159771977487
67,expanded_som,500,1.0,0.5,20000,0,1229,0.7640916735838132,0.0,0.48571827560907493,0.7567989965751656,2062.5590255883603,85,0.8780376856383877,0.6337009403833307,2,IFO-Slope;IFO-Hill;IFO-Hill;IFO-Hill,85,360,230,554,0.7520170843433431,1.0,1.0,0.7520170843433431
65,expanded_som,500,1.0,0.05,20000,0,1229,0.752193331731784,0.0,0.4806657413253007,0.7629714820295055,2045.8885615243585,88,0.8789770686680615,0.6349418819602881,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,357,88,557,227,0.7513819468437698,1.0,1.0,0.7513819468437698
46,expanded_som,300,1.0,0.03,100000,0,1635,0.6640330592062389,0.0,0.4843369040458645,0.7167083244057681,2993.5175591511174,121,0.8667939825266047,0.6385529171532865,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,802,306,406,121,0.7512574711048475,1.0,1.0,0.7512574711048475
45,expanded_som,300,1.0,0.03,20000,0,1635,0.660905814049473,0.0,0.47591238737393776,0.7143115757339953,2916.3446512548667,133,0.880255339639377,0.6394796726180532,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,780,313,409,133,0.7512451608316334,,,0.5634338706237251
12,paper_reported,300,0.5,0.3,50000,0,1635,0.7121001957022302,0.0,0.5434518909251664,0.7269661202929961,3153.6952782119993,66,0.762677238854247,0.6388835061478155,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,936,434,199,66,0.7512322430658057,,,0.5634241822993543
