curve_id,shape_guided,feature_kmeans,feature_gmm,feature_ward
10.1002_adfm.201601119_Fig5_B_stability_performance_curve_88f89bfa55,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201605988_Fig7_D_stability_performance_curve_pce_881b873df6,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_040e5db1fe,IFO-Bridge,IFO-Hill,IFO-Bridge,IFO-Valley
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_831a5dd1be,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_cd989bf404,IFO-Hill,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_adfm.201705545_Fig11_B_stability_performance_curve_f25d13db2a,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_cc997f5bef,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Slope
10.1002_adfm.201706777_Fig4_D_stability_performance_curve_pce_d0e1835a21,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.201706923_Fig5_B_stability_performance_curve_pce_3f1f6cf972,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.201807556_Fig6_A_stability_performance_curve_ff_17a0103a99,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201807556_Fig6_A_stability_performance_curve_ff_19edb14ce4,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201807556_Fig6_A_stability_performance_curve_ff_a873869506,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_adfm.201807604_Fig5_A_stability_48c4a0614d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.201807604_Fig5_A_stability_d0320f7c16,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_adfm.201807850_Fig7_E_stability_performance_curve_85f043c419,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.201808119_Fig7_B_stability_performance_curve_eb4e966527,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.201900221_Fig5_D_stability_performance_curve_pce_1c51df031b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.201900221_Fig5_D_stability_performance_curve_pce_d5da1a1364,IFO-Valley,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_adfm.201901026_Fig7_C_stability_performance_curve_pce_baa1a01635,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201905951_Fig7_A_mppt_stability_4199b72c00,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201905951_Fig7_A_mppt_stability_7d8b0dca67,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.201909737_Fig8_B_stability_performance_curve_pce_c0d3c12ac0,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.201910620_Fig5_D_stability_performance_curve_pce_ed99972c6e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202000778_Fig6_C_stability_performance_curve_ed4a36f0de,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202001418_Fig6_A_stability_performance_curve_pce_09f6299b6a,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202001788_Fig6_D_stability_3c2dc7cc49,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_adfm.202001788_Fig6_D_stability_4323f70929,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adfm.202001788_Fig6_D_stability_a7e6f4821d,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adfm.202004209_Fig11_C_stability_performance_curve_pce_45e2e9b58c,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202005846_Fig4_A_stability_ce3140499c,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202008052_Fig7_G_decay_011cba8389,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.202008052_Fig7_G_decay_11b7501d31,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202008801_Fig6_C_stability_performance_curve_spectrum_ea490cfd41,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202008801_Fig6_C_stability_performance_curve_spectrum_f30080c19f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.202010368_Fig7_B_stability_performance_curve_ef9a0e5d26,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202010368_Fig7_E_stability_performance_curve_068e5edefc,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Slope
10.1002_adfm.202010696_Fig6_B_mppt_stability_performance_curve_pce_3143e9bb8a,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202101568_Fig6_F_stability_performance_curve_pce_087f899418,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Slope
10.1002_adfm.202103316_Fig6_B_stability_performance_curve_pce_image_b025ce4ca1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202103316_Fig6_B_stability_performance_curve_pce_image_f8f2c6d621,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.202103316_Fig6_B_stability_performance_curve_pce_image_fdda8b1838,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.202103316_Fig6_C_stability_performance_curve_pce_image_255a2521fb,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202103316_Fig6_C_stability_performance_curve_pce_image_47764ed889,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_adfm.202103316_Fig6_C_stability_performance_curve_pce_image_5793809ecc,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202103807_Fig5_B_stability_performance_curve_pce_a6f4e333fd,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202106560_Fig4_A_stability_performance_curve_pce_4f7211d0a9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202107710_Fig4_F_stability_performance_curve_jsc_e13925223e,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202111116_Fig5_A_stability_performance_curve_4962c740a2,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Valley
10.1002_adfm.202111116_Fig5_B_stability_performance_curve_edee748940,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202200174_Fig3_E_stability_performance_curve_pce_62c9d5e05a,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adfm.202200473_Fig4_A_stability_performance_curve_c8627145ba,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adfm.202200473_Fig4_B_stability_performance_curve_f4b2636024,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202200473_Fig4_C_stability_performance_curve_031b5bbb2b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adfm.202204450_Fig1_E_stability_performance_curve_pce_4f2b7529b4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202215041_Fig3_E_stability_performance_curve_pce_5f0f1034cc,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adfm.202309894_Fig5_D_mppt_stability_performance_curve_eqe_8c40f761f8,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adfm.202501623_Fig5_A_mppt_stability_performance_curve_pce_cross_section_6ec743916e,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201606608_Fig4_F_stability_performance_curve_pce_5b795e9eb1,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201606806_Fig5_A_stability_performance_curve_pce_378cd30465,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.201606806_Fig5_A_stability_performance_curve_pce_490ce04227,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201700607_Fig2_F_stability_performance_curve_pce_0a3358bf01,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201705596_Fig5_C_image_4b4f102c5f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201706126_Fig5_C_stability_performance_curve_e3cc067d22,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201707143_Fig4_C_mppt_stability_performance_curve_c35ad84059,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.201707143_Fig4_D_stability_2aa415122b,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adma.201800544_Fig3_A_stability_performance_curve_b33d04bb53,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201803735_Fig4_D_stability_performance_curve_decay_845c46dbf2,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Slope
10.1002_adma.201805323_Fig4_E_stability_performance_curve_pce_9b755f7837,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_adma.201805323_Fig4_F_stability_performance_curve_pce_73a5f790d8,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201806823_Fig3_C_pce_56b9ffaf47,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.201900605_Fig5_F_stability_performance_curve_pce_9270f8db74,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201901242_Fig5_C_stability_performance_curve_pce_d1cdf55a17,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.201902902_Fig6_D_stability_performance_curve_pce_dffa93fd63,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201904347_Fig3_F_stability_performance_curve_pce_88cf512ecf,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201905502_Fig4_H_stability_performance_curve_4bce46d826,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201905502_Fig4_H_stability_performance_curve_edcf826fa8,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.201907769_Fig4_E_jv_curve_stability_performance_jsc_ffe76dcdcc,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201907769_Fig4_F_jv_curve_stability_performance_jsc_d71ae30e69,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.201907864_Fig1_F_stability_performance_curve_pce_32104c87d9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.201907864_Fig1_F_stability_performance_curve_pce_e0048a62d7,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.202001470_Fig5_G_stability_performance_curve_pattern_08e72630da,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.202001470_Fig5_G_stability_performance_curve_pattern_8840ac9e2d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.202001470_Fig5_H_stability_performance_curve_pattern_346bd7c808,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.202001470_Fig5_H_stability_performance_curve_pattern_740e85eae8,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_adma.202003296_Fig5_A_stability_performance_curve_pce_080782a4c2,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_adma.202003965_Fig6_A_stability_performance_curve_pce_2b07407276,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_adma.202004979_Fig2_F_eqe_mapping_stability_performance_curve_pce_7947da31e3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
