curve_id,axis_valid,audit_reasons,source_file,doi,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original,final_class,strict_topology_match,strict_class,rule_ensemble_stability,confidence_level,review_recommended,final_status
10.1021_acs.langmuir.7b00127_Fig10_A_pce_1ef9bb6e80,True,,lab/data_all/x_time_day/10.1021_acs.langmuir.7b00127/Fig10_A_pce/accepted/10.1021_acs.langmuir.7b00127__Fig10__A__pce__PEDOT_PSS__Series_1.csv,10.1021/acs.langmuir.7b00127,Fig10_A_pce,10.1021_acs.langmuir.7b00127__Fig10__A__pce__PEDOT_PSS__Series_1,Storage days,,Normalized PCE,,24.0,56,286.99629561982437,-0.0580622512090349,11.900116732950313,0.3996943772858845,1.0019597903348287,,,,,,,insufficient_duration_for_selected_window
10.1021_acs.langmuir.7b00127_Fig10_A_pce_2_e6cac20fdc,True,,lab/data_all/x_time_day/10.1021_acs.langmuir.7b00127/Fig10_A_pce_2/accepted/10.1021_acs.langmuir.7b00127__Fig10__A__pce_2__PEDOT_PSS__Series_2.csv,10.1021/acs.langmuir.7b00127,Fig10_A_pce_2,10.1021_acs.langmuir.7b00127__Fig10__A__pce_2__PEDOT_PSS__Series_2,Storage days,,Normalized PCE,,24.0,57,284.22655086440386,-0.0494650349320289,11.793307917751465,0.4003505702860387,1.0021583835231007,,,,,,,insufficient_duration_for_selected_window
10.1021_acsomega.0c04593_Fig10_A_stability_performance_curve_cc00d6a8d5,True,,lab/data_all/x_time_day/10.1021_acsomega.0c04593/Fig10_A_stability_performance_curve/accepted/10.1021_acsomega.0c04593__Fig10__A__stability_performance_curve__Aged__Series_2.csv,10.1021/acsomega.0c04593,Fig10_A_stability_performance_curve,10.1021_acsomega.0c04593__Fig10__A__stability_performance_curve__Aged__Series_2,Time,(day),PCE,(%),24.0,44,534.6343076239214,1.3516267692864568,23.62805625361651,13.509532787961923,18.92443193983457,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1039_c8ra03162b_Fig10_A_stability_performance_curve_plot_93ff9c44c7,True,,lab/data_all/x_time_day/10.1039_c8ra03162b/Fig10_A_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs_TiO₂__Series_2.csv,10.1039/c8ra03162b,Fig10_A_stability_performance_curve_plot,10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs_TiO₂__Series_2,Days,,Normalized PCE,,24.0,40,689.5210940095354,0.826666937969387,29.55671252170003,0.9333014407744976,1.2507866158340488,IFO-Hill,True,IFO-Hill,1.0,high,False,classified_strict_topology
10.1039_c8ra03162b_Fig10_A_stability_performance_curve_plot_731b9c4eeb,True,,lab/data_all/x_time_day/10.1039_c8ra03162b/Fig10_A_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs__Series_1.csv,10.1039/c8ra03162b,Fig10_A_stability_performance_curve_plot,10.1039_c8ra03162b__Fig10__A__stability_performance_curve_plot__ZnO_NPs__Series_1,Days,,Normalized PCE,,24.0,37,636.4810098549558,0.826666937969387,27.34670901525921,0.1980726143207998,0.9708983693999708,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1039_d0qm00983k_Fig10_B_stability_performance_curve_524ed757f2,True,,lab/data_all/x_time_day/10.1039_d0qm00983k/Fig10_B_stability_performance_curve/accepted/10.1039_d0qm00983k__Fig10__B__stability_performance_curve__o—Pristine__Series_1.csv,10.1039/d0qm00983k,Fig10_B_stability_performance_curve,10.1039_d0qm00983k__Fig10__B__stability_performance_curve__o—Pristine__Series_1,Elapsed Time(day),(day),PCE%,%,24.0,55,713.7060531000878,0.022490604725057,29.760242817228715,4.141461352350291,16.40696382031234,IFO-Slope,False,unresolved_other_shape,1.0,unresolved_other_shape,True,assigned_four_way_but_unresolved_topology
10.1002_solr.201800034_Fig10_B_stability_performance_curve_pce_c627a23561,True,,lab/data_all/x_time_day/10.1002_solr.201800034/Fig10_B_stability_performance_curve_pce/accepted/10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2.csv,10.1002/solr.201800034,Fig10_B_stability_performance_curve_pce,10.1002_solr.201800034__Fig10__B__stability_performance_curve_pce__TU-0__Series_2,Time,day,Normalized PCE,%,24.0,34,354.2835052485249,-0.0086333108238054,14.753179407864732,15.598824751375416,106.1501089147764,,,,,,,insufficient_duration_for_selected_window
10.1039_c5ta07957h_Fig10_B_stability_performance_curve_pce_50642e0ac3,True,,lab/data_all/x_time_h/10.1039_c5ta07957h/Fig10_B_stability_performance_curve_pce/accepted/10.1039_c5ta07957h__Fig10__B__stability_performance_curve_pce__PEDOT_PSS(40nm)__Series_2.csv,10.1039/c5ta07957h,Fig10_B_stability_performance_curve_pce,10.1039_c5ta07957h__Fig10__B__stability_performance_curve_pce__PEDOT_PSS(40nm)__Series_2,Time,(hours),PCE,(%),1.0,63,238.3335402665699,0.8473765776889692,239.1809168442589,3.3055810108519257,10.12328804551871,,,,,,,insufficient_duration_for_selected_window
10.1039_c8ra03162b_Fig10_B_stability_performance_curve_plot_3d245c64c0,True,,lab/data_all/x_time_day/10.1039_c8ra03162b/Fig10_B_stability_performance_curve_plot/accepted/10.1039_c8ra03162b__Fig10__B__stability_performance_curve_plot__ZnO_sol-gel_TiO2__Series_2.csv,10.1039/c8ra03162b,Fig10_B_stability_performance_curve_plot,10.1039_c8ra03162b__Fig10__B__stability_performance_curve_plot__ZnO_sol-gel_TiO2__Series_2,Days,,Normalized PCE,,24.0,34,680.0727818315502,0.7939056869946226,29.13027159664255,0.9442992870113796,1.3079351371850232,IFO-Bridge,True,IFO-Bridge,1.0,high,False,classified_strict_topology
10.1039_c6nr07689k_Fig10_D_stability_performance_curve_2e38ff04d4,True,,lab/data_all/x_time_day/10.1039_c6nr07689k/Fig10_D_stability_performance_curve/accepted/10.1039_c6nr07689k__Fig10__D__stability_performance_curve__PSC-0__Series_1.csv,10.1039/c6nr07689k,Fig10_D_stability_performance_curve,10.1039_c6nr07689k__Fig10__D__stability_performance_curve__PSC-0__Series_1,Days,,Normalized PCE,,24.0,50,1432.6707632471548,-0.4332389138498449,59.26137622144827,0.4366545304080812,1.0031926727757512,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1021_acsami.1c05055_Fig10_D_stability_performance_curve_pce_e1bef9e78a,True,,lab/data_all/x_time_day/10.1021_acsami.1c05055/Fig10_D_stability_performance_curve_pce/accepted/10.1021_acsami.1c05055__Fig10__D__stability_performance_curve_pce__Reference__Series_2.csv,10.1021/acsami.1c05055,Fig10_D_stability_performance_curve_pce,10.1021_acsami.1c05055__Fig10__D__stability_performance_curve_pce__Reference__Series_2,Time,[Day],Normalized PCE,,24.0,61,705.0548809428659,0.1548664707998428,29.532153176752587,0.7448863173285307,0.9996148421188664,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1021_acsomega.0c04593_Fig10_D_stability_performance_curve_pce_a37b18c865,True,,lab/data_all/x_time_h/10.1021_acsomega.0c04593/Fig10_D_stability_performance_curve_pce/accepted/10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3.csv,10.1021/acsomega.0c04593,Fig10_D_stability_performance_curve_pce,10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3,Time,(h),PCE,(%),1.0,19,296.8840452409807,-3.3691020774654703,293.5149431635152,7.961501056812965,16.698705825746792,,,,,,,insufficient_duration_for_selected_window
10.3390_coatings14040409_Fig10_D_stability_performance_curve_pce_5f37daef27,True,,lab/data_all/x_time_day/10.3390_coatings14040409/Fig10_D_stability_performance_curve_pce/accepted/10.3390_coatings14040409__Fig10__D__stability_performance_curve_pce__Reference__Series_2.csv,10.3390/coatings14040409,Fig10_D_stability_performance_curve_pce,10.3390_coatings14040409__Fig10__D__stability_performance_curve_pce__Reference__Series_2,Time (days),days,Normalized PCE,,24.0,59,708.9484542821872,0.0741915951826843,29.61371052360715,0.601207507922791,1.0037620475461635,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1021_acsenergylett.7b00202_Fig10_E_stability_performance_curve_pce_a2bacce82b,True,,lab/data_all/x_time_week_month_year/10.1021_acsenergylett.7b00202/Fig10_E_stability_performance_curve_pce/accepted/10.1021_acsenergylett.7b00202__Fig10__E__stability_performance_curve_pce__MASnl3'3__Series_2.csv,10.1021/acsenergylett.7b00202,Fig10_E_stability_performance_curve_pce,10.1021_acsenergylett.7b00202__Fig10__E__stability_performance_curve_pce__MASnl3'3__Series_2,Time (months),months,PCE retention (%),%,730.5,10,710.9013167968961,-0.0503995199565245,0.9227713449262902,11.717848877789592,100.66151359287755,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1021_acsenergylett.7b00202_Fig10_E_stability_performance_curve_pce_091d4b97fd,True,,lab/data_all/x_time_week_month_year/10.1021_acsenergylett.7b00202/Fig10_E_stability_performance_curve_pce/accepted/10.1021_acsenergylett.7b00202__Fig10__E__stability_performance_curve_pce__Sn413$__Series_1.csv,10.1021/acsenergylett.7b00202,Fig10_E_stability_performance_curve_pce,10.1021_acsenergylett.7b00202__Fig10__E__stability_performance_curve_pce__Sn413$__Series_1,Time (months),months,PCE retention (%),%,730.5,37,2843.6052671875846,0.0144785377023297,3.907161997233589,44.08850236253248,100.96404306469758,IFO-Slope,True,IFO-Slope,1.0,high,False,classified_strict_topology
10.1016_j.apsusc.2019.143552_Fig10_whole_figure_b4abdcf5a5,True,,lab/data_all/x_time_h/10.1016_j.apsusc.2019.143552/Fig10_whole_figure/accepted/10.1016_j.apsusc.2019.143552__Fig10__whole__figure__ZnO__Series_1.csv,10.1016/j.apsusc.2019.143552,Fig10_whole_figure,10.1016_j.apsusc.2019.143552__Fig10__whole__figure__ZnO__Series_1,Time,(h),Normalized PCE,(a.u.),1.0,75,168.593638901136,-0.681154286592907,167.91248461454308,0.4252562366823706,0.9989010945121674,,,,,,,insufficient_duration_for_selected_window
10.1039_c6ra09878a_Fig10_whole_figure_ce18775ec5,True,,lab/data_all/x_time_h/10.1039_c6ra09878a/Fig10_whole_figure/accepted/10.1039_c6ra09878a__Fig10__whole__figure__Spiro-OMeTAD__Series_2.csv,10.1039/c6ra09878a,Fig10_whole_figure,10.1039_c6ra09878a__Fig10__whole__figure__Spiro-OMeTAD__Series_2,"Lifetime, h",h,"Normalized device efficiency, %",%,1.0,58,307.54271085760945,-0.0498168179919353,307.4928940396175,33.28318002233671,100.04522879157048,,,,,,,insufficient_duration_for_selected_window
10.3390_en17071629_Fig10_whole_stability_7d18957fe7,True,,lab/data_all/x_time_h/10.3390_en17071629/Fig10_whole_stability/accepted/10.3390_en17071629__Fig10__whole__stability__PSCs_without_PVA__Series_2.csv,10.3390/en17071629,Fig10_whole_stability,10.3390_en17071629__Fig10__whole__stability__PSCs_without_PVA__Series_2,Time,(h),Normalized PCE,,1.0,48,1198.1447119349286,2.094859517462453,1200.2395714523911,0.1044977025683668,1.107498808497836,IFO-Hill,True,IFO-Hill,1.0,high,False,classified_strict_topology
