curve_id,shape_guided,feature_kmeans,feature_gmm,feature_ward
图片103_129eb17332,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片103_bbae347332,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片105_59069294b1,IFO-Hill,IFO-Bridge,IFO-Hill,IFO-Bridge
图片107_64985ae00f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片107_f3e8ef4f1f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片113_282c27c5be,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片113_a2c8fdf9a4,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片114_9178f46f65,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片114_9f1ff62ac8,IFO-Valley,IFO-Bridge,IFO-Hill,IFO-Bridge
图片115_9640dfe869,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片115_b130dc5a9e,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片116_91935f1b71,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片116_d9761adfd7,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片116_ee1732337d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片116_fdb42055b2,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片121_3847c97967,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片121_5f19609d45,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Hill
图片122_839b6dd4d3,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片127_bf5402f13a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片127_e6b6963001,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片127_fa3bbaf3ca,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片12_353c32e27e,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片132_03c9048497,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片132_74754f7a23,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片135_933b9d0c2e,IFO-Valley,IFO-Slope,IFO-Valley,IFO-Valley
图片135_d9d595e475,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片136_4ddceb1f73,IFO-Slope,IFO-Bridge,IFO-Bridge,IFO-Bridge
图片141_134c91030b,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片141_6b6eebecd2,IFO-Slope,IFO-Bridge,IFO-Hill,IFO-Bridge
图片141_a26b87de5f,IFO-Hill,IFO-Slope,IFO-Valley,IFO-Valley
图片141_fcf9b338aa,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片157_995f891bc8,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Bridge
图片160_001c65f1a6,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片160_081675db60,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片162_09ccd333ad,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片162_5bd5654536,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片162_ce1b0fab57,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片163_7409b913fe,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片17_11b78bf64d,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
图片17_5dc9e03dc9,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片184_80e88bd7f4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片19_6a687a61be,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片19_f8a9475917,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片203_43b6c7ef6f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片203_d6265391d3,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片204_956f733ac0,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片204_e23dcaaf74,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片205_9ae72871fb,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片205_b01c2f4a6f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片33_40de2a4f2a,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Hill
图片35_dc1c9ebe75,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Hill
图片39_d097bf548c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片39_f87b8b1e9b,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片47_3df5a24465,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Hill
图片47_97ef1a0603,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Hill
图片48_8c2ec3e669,IFO-Bridge,IFO-Bridge,IFO-Hill,IFO-Bridge
图片48_f73b48bb6f,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片50_685239ea6a,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片58_1257c313d3,IFO-Valley,IFO-Valley,IFO-Valley,IFO-Valley
图片58_4f96ae8edc,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片58_af50a020af,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片59_310539ca94,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片59_f6d9fd27a4,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片62_a6edecddb8,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片63_971e1b5597,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片63_ccd7968c5f,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片63_e09300d500,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
图片68_ffe77f4aa8,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片70_34635e65bf,IFO-Slope,IFO-Bridge,IFO-Hill,IFO-Bridge
图片70_859c2baeca,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片70_b02a2c27fe,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片71_9c21e81598,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片71_c5d93d7f57,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片74_5d7058438c,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片74_71e9b40123,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片74_f9137a8b69,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片75_9ce42888b8,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Valley
图片75_f438d34951,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Valley
图片87_1c26b92a11,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片87_1dae4b0735,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片88_42cc027bcd,IFO-Slope,IFO-Hill,IFO-Slope,IFO-Slope
图片88_becac536eb,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Valley
图片88_fe602bba7f,IFO-Slope,IFO-Hill,IFO-Bridge,IFO-Slope
图片89_0951cf1bdf,IFO-Hill,IFO-Bridge,IFO-Hill,IFO-Bridge
图片89_b4f2cac963,IFO-Valley,IFO-Bridge,IFO-Hill,IFO-Bridge
图片89_fbae7b22d2,IFO-Slope,IFO-Bridge,IFO-Hill,IFO-Bridge
图片90_69887e1835,IFO-Bridge,IFO-Bridge,IFO-Hill,IFO-Bridge
