curve_id,strict_class,strict_topology_match,window_hours,confidence_level,source_csv,source_png,exported_csv,exported_png,csv_sha256,png_sha256,duration_hours,gain_ratio,early_peak_drop_ratio,early_drop_ratio,recovery_ratio,post_recovery_drop_ratio,early_slope,late_slope
图片17_11b78bf64d,IFO-Bridge,True,750,high,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.png,csv/IFO-Bridge/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,png/IFO-Bridge/samples_test__unknown__unknown__图片17__Series_1__Series_1.png,3512b39769d7a58260122e0c72474bfdb2c0a39168e9ae281c4ea8f9cf895674,f2a8f58aed06c0501f5fa8c1dd9b8079e950f76f38650e0ce0a5f71ae11d258d,1131.147093,0.3019441432,0.1831630434,0.05846494147,0.3604090847,0.9867809821,0.2106552474,-0.1182678051
图片48_8c2ec3e669,IFO-Bridge,True,750,high,lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.png,csv/IFO-Bridge/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,png/IFO-Bridge/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.png,643df732762fd1143140f8b47b59b9c7ccf42cb939a22284ff2622f9ccec480b,ce482c947b7f87bc7ee9ab67c6a172a8049bc9fbe5ae9850a257164128373881,1845.362518,0.9023068418,0.09662721751,0.09769315825,1,0.8230454547,0.3187619629,-0.04460188119
图片90_69887e1835,IFO-Bridge,True,750,high,lab-v2/som_references/accepted/samples_test/图片90/accepted/samples_test__unknown__unknown__图片90__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片90/accepted/samples_test__unknown__unknown__图片90__Series_1__Series_1.png,csv/IFO-Bridge/samples_test__unknown__unknown__图片90__Series_1__Series_1.csv,png/IFO-Bridge/samples_test__unknown__unknown__图片90__Series_1__Series_1.png,893f7b4965ce8ff75d17b320247ba8248b030a2c1ee608a0858c326293e161f8,1801d16e010c28ff305bd7958bdbd18b43cb79160969cf62f75f67c26009b6ab,1781.270436,0.5535791209,0.09503602234,0.08344961539,0.6370287363,0.9934436207,0.5109751631,-0.02546638021
图片105_59069294b1,IFO-Hill,True,750,high,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.png,csv/IFO-Hill/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,png/IFO-Hill/samples_test__unknown__unknown__图片105__Series_2__Series_2.png,f1e634a64ab60eeefe174ee6aa008663c9777cef99942dc363d7f84ee22e37f7,e1701235415e381e24471e5858a74b2420a0a18fcf9aaa8dde2724a98d261872,1071.467998,0.6787951459,0.2317715777,0.3212048541,1,0.8494621387,0.6311874146,-0.05245975481
图片141_a26b87de5f,IFO-Hill,True,750,low_review,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.png,csv/IFO-Hill/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,png/IFO-Hill/samples_test__unknown__unknown__图片141__Cell3__Series_3.png,80dfc065f10d952747f1fd1b8d67d98970a4dbaf5aa2bc6a6d34ad2dda3a23a6,48ae8052e0ccd28afdb6feb3d59527a0c15ed1b242015ad5a7f7668492e41f19,2411.859922,0.2134572783,0.5386433555,0.3251860772,0,0.2033243166,0.03551874167,2.59052156e-14
图片89_0951cf1bdf,IFO-Hill,True,750,high,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,lab-v2/som_references/accepted/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.png,csv/IFO-Hill/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,png/IFO-Hill/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.png,7a823928485213b57a9308128090ec1bf3ca729c1a3b953fc045676975301648,dd4cfeaee9e8e3d7cb162fee7fee0121d468e2c091cdb0f0be56a116d7df8ac2,1002.752268,0.400583457,0.3385646289,0.0073469615,0.4079304185,0.9580074156,0.09683158931,-0.04969067097
图片103_129eb17332,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片103__Control__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片103__Control__Series_2.png,868939c9fe3c80dffed0b6e4bbed3664fa18902f09074bc9ba915b861b7dc78e,0cc4c73d43ce503cdd96dca9cbd19b7933f22145e4444cf210602f04a3b8bbec,1001.873111,0.068160082,0.3209559986,0.2527959166,0,0.6749171614,-0.7220095266,-0.120637703
图片103_bbae347332,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片103__。Target__Series_1.png,e2cb88401758db4e89f2c2869672d0eebecec96e142b50f31750ff54e4c548f6,5db0fc09bffc2c10921238c4d8f93ff8c254e5438cd315a245b125f72509bf25,1001.873111,0.01426634404,0.4966130955,0.4885192288,0.006172477369,0.4495288279,-0.2891491821,-0.08984733528
图片107_f3e8ef4f1f,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.png,csv/IFO-Slope/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,png/IFO-Slope/samples_test__unknown__unknown__图片107__Series_1__Series_1.png,a6e7815481ce7eb845b103a8578f6eec23e1d68c712154e08447a70b58d5aa93,0752ab5cadc5cd91229b79aa40d8317c07add8da4492222529f7a0b17111ff4d,1309.721389,0.02882869473,0.6877026876,0.6588739929,0,0.3088881697,-1.529185337,-0.1388875397
图片107_64985ae00f,IFO-Slope,True,750,high,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.png,csv/IFO-Slope/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,png/IFO-Slope/samples_test__unknown__unknown__图片107__Series_2__Series_2.png,d483100ede5c41847d4a461438ecc71b19f27e250725bced27c957e3060c8055,a03e5d0ad639d43c0f7a48f6bf2c264bbb4e4c62a2d5ac54a2a29675a45bea8d,1309.721389,0.02147712579,0.7667708373,0.7452937115,0,0.2312036553,-1.074725588,-0.09620800717
