curve_id,true_class,amplitude_pce_percent,white_noise_sigma_norm,correlated_noise_sigma_norm,noise_ar1_rho,raw_point_count,start_norm,peak_h,rapid_decay_end_h,peak_norm,rapid_decay_end_norm,end_norm,fast_fraction,tau_fast_h,tau_slow_h,floor_norm,rise_end_h,shoulder_h,shoulder_norm,minimum_h,recovery_peak_h,minimum_norm,recovery_peak_norm
SYN-0001,IFO-Hill,16.12903062,0.00920981,0.01130635,0.89845710,294,0.54466573,28.35641039,67.70660669,0.99480802,0.44734089,0.28953282,,,,,,,,,,,
SYN-0002,IFO-Hill,11.72599232,0.00681937,0.00627974,0.86362275,293,0.49553115,31.67531958,70.55463073,0.98126314,0.41412173,0.27868947,,,,,,,,,,,
SYN-0003,IFO-Slope,18.85347105,0.00583650,0.00529224,0.85649813,298,0.97218648,,,,,0.24485337,0.64488311,11.84173796,205.56919645,0.09462270,,,,,,,
SYN-0004,IFO-Bridge,21.53850314,0.00672169,0.00985678,0.87720331,292,0.62576831,,,0.99470904,,0.76421019,,,,,23.10166801,78.87373629,0.97356643,,,,
SYN-0005,IFO-Hill,17.22518117,0.00747035,0.01220601,0.78739844,291,0.49730276,26.32134791,60.51763587,0.97314605,0.49682526,0.24733849,,,,,,,,,,,
SYN-0006,IFO-Hill,19.33163483,0.00315823,0.01048173,0.73407491,294,0.56885097,26.95820595,60.08894228,0.97674965,0.48852087,0.27894093,,,,,,,,,,,
SYN-0007,IFO-Bridge,23.84911613,0.00948209,0.00788162,0.76943040,297,0.59160736,,,0.96937960,,0.84204974,,,,,30.16263560,64.01216891,0.95530716,,,,
SYN-0008,IFO-Hill,12.25959499,0.00446943,0.00760574,0.91733601,297,0.55534615,17.76747021,68.43824206,0.99287150,0.50019079,0.21211905,,,,,,,,,,,
SYN-0009,IFO-Slope,12.51215487,0.00569455,0.00995427,0.87720704,293,0.97092236,,,,,0.33176024,0.49464060,18.87440975,220.04670403,0.11209842,,,,,,,
SYN-0010,IFO-Valley,18.99741288,0.00819168,0.00745389,0.91774980,292,0.99750595,,,,,0.61116241,,,,,,,,32.63390546,96.03773191,0.32508582,0.83702590
SYN-0011,IFO-Bridge,19.55785590,0.00888351,0.01153789,0.86586106,296,0.58484989,,,0.98269447,,0.77976018,,,,,21.84260399,81.07240371,0.94139636,,,,
SYN-0012,IFO-Hill,9.00114765,0.00622981,0.00543849,0.84967027,286,0.48407257,21.70815950,57.14078743,0.98737595,0.51101007,0.30513651,,,,,,,,,,,
SYN-0013,IFO-Slope,21.77450810,0.00509733,0.00524543,0.84795518,296,0.99104244,,,,,0.35143091,0.51332494,13.38629050,191.90323184,0.16814192,,,,,,,
SYN-0014,IFO-Hill,17.21067496,0.00907053,0.01130855,0.89749748,294,0.56196623,18.93670292,74.56107837,0.97584021,0.44103985,0.28509636,,,,,,,,,,,
SYN-0015,IFO-Bridge,20.48992916,0.00949130,0.00558880,0.89652408,294,0.69078678,,,0.99141265,,0.86300573,,,,,33.50227543,75.57772783,0.94733340,,,,
SYN-0016,IFO-Valley,10.53239589,0.00424954,0.00943555,0.73077305,295,0.97432455,,,,,0.62879085,,,,,,,,26.44111383,93.59260792,0.41978753,0.81120427
SYN-0017,IFO-Valley,10.98394664,0.00626957,0.00745333,0.86359127,288,0.96409803,,,,,0.71655616,,,,,,,,28.38948953,98.92191190,0.30426658,0.78397670
SYN-0018,IFO-Slope,22.89675532,0.00359989,0.00545419,0.75929577,292,0.98665533,,,,,0.31897043,0.60567147,19.20569805,206.96993198,0.16105062,,,,,,,
SYN-0019,IFO-Valley,22.05874201,0.00937137,0.00746752,0.77926021,297,0.98402349,,,,,0.61514440,,,,,,,,41.60094369,94.11459574,0.34502951,0.86780985
SYN-0020,IFO-Bridge,11.99796332,0.00883506,0.01385400,0.75379979,294,0.56483187,,,0.99051911,,0.82181305,,,,,31.94332658,73.09709014,0.94662066,,,,
SYN-0021,IFO-Slope,20.68644545,0.00459767,0.01089396,0.88305098,295,0.99461867,,,,,0.27579479,0.62642338,16.39363350,209.66063101,0.11506890,,,,,,,
SYN-0022,IFO-Bridge,13.72297178,0.00818997,0.00585794,0.87778620,292,0.65677630,,,0.96152310,,0.86926156,,,,,23.22528835,69.25581139,0.93487637,,,,
SYN-0023,IFO-Slope,9.01003134,0.00642402,0.00864521,0.85276809,291,0.96394746,,,,,0.27551219,0.65774442,13.51927636,217.92667202,0.13253559,,,,,,,
SYN-0024,IFO-Bridge,11.59738857,0.00493586,0.00650163,0.74564781,286,0.57314537,,,0.97184524,,0.83939955,,,,,18.57226739,75.86225116,0.93243671,,,,
SYN-0025,IFO-Bridge,16.87347181,0.00710760,0.01297327,0.80809166,289,0.57292904,,,0.99404698,,0.78382865,,,,,31.73724563,55.25761617,0.98724581,,,,
SYN-0026,IFO-Slope,14.43960961,0.00720240,0.01253314,0.76523180,287,0.97742289,,,,,0.28962180,0.50314323,10.87519228,167.77836852,0.11420176,,,,,,,
SYN-0027,IFO-Hill,14.95883068,0.00685121,0.01077087,0.88207014,299,0.51540297,21.90484467,68.82835364,0.98069897,0.43948061,0.30046321,,,,,,,,,,,
SYN-0028,IFO-Valley,10.51829521,0.00833046,0.00817445,0.91695895,293,0.95813892,,,,,0.59972288,,,,,,,,40.10620480,102.85299262,0.37668803,0.83340599
SYN-0029,IFO-Valley,15.60107695,0.00309317,0.00454226,0.75559906,292,0.98549828,,,,,0.61125814,,,,,,,,29.26116973,89.62457287,0.39406107,0.89668977
SYN-0030,IFO-Slope,13.13040699,0.00689129,0.01216431,0.88135210,289,0.96380023,,,,,0.22992220,0.65366301,17.03978966,201.35992933,0.08540194,,,,,,,
SYN-0031,IFO-Slope,17.28761053,0.00492435,0.00936192,0.77128697,298,0.96216052,,,,,0.29033517,0.63688610,12.65251867,219.02689604,0.13977776,,,,,,,
SYN-0032,IFO-Hill,15.83494099,0.00301965,0.01212126,0.76948246,289,0.58385529,17.53980138,74.43619951,0.98581794,0.43719345,0.23785384,,,,,,,,,,,
SYN-0033,IFO-Slope,15.22837145,0.00880766,0.01137700,0.89252097,292,0.99990415,,,,,0.34666634,0.54945287,13.20396154,206.00450222,0.16505975,,,,,,,
SYN-0034,IFO-Valley,21.82149739,0.00655835,0.01244866,0.75858885,291,0.96563323,,,,,0.65704030,,,,,,,,29.04491866,92.76621980,0.36985482,0.91700210
SYN-0035,IFO-Bridge,16.62686177,0.00932719,0.00746099,0.90376669,295,0.65889946,,,0.99677206,,0.76403836,,,,,21.15021067,80.87360790,0.96488713,,,,
SYN-0036,IFO-Hill,15.71228576,0.00682755,0.00770349,0.73660763,289,0.49414784,27.03612951,55.53711085,0.98842930,0.48046008,0.23259495,,,,,,,,,,,
SYN-0037,IFO-Slope,9.85231809,0.00458894,0.01173754,0.89210612,294,0.98011232,,,,,0.33061224,0.55332279,14.95214086,173.66242032,0.17990554,,,,,,,
SYN-0038,IFO-Valley,13.74660352,0.00828658,0.00524816,0.82180501,291,0.98905758,,,,,0.72128308,,,,,,,,29.84362095,84.57494673,0.27249072,0.88579478
SYN-0039,IFO-Bridge,8.30464431,0.00996766,0.00436923,0.83980875,287,0.59980953,,,0.98656911,,0.81016750,,,,,32.80871759,71.34371927,0.96979207,,,,
SYN-0040,IFO-Slope,20.77230102,0.00392134,0.00811104,0.87039815,292,0.98019705,,,,,0.27594291,0.64808228,13.95400322,146.73636373,0.17383347,,,,,,,
SYN-0041,IFO-Hill,16.76242886,0.00883471,0.01032062,0.79846797,292,0.57065455,29.01656009,71.62035740,0.98316753,0.43925982,0.29282257,,,,,,,,,,,
SYN-0042,IFO-Valley,11.56535228,0.00494242,0.00489092,0.77716505,291,0.98018215,,,,,0.61528328,,,,,,,,34.36231959,78.53993928,0.29259727,0.78299467
SYN-0043,IFO-Valley,12.80479294,0.00519731,0.01273680,0.76894369,295,0.98892093,,,,,0.72083689,,,,,,,,26.22487919,86.63162264,0.41584670,0.90602386
SYN-0044,IFO-Bridge,10.42559206,0.00942195,0.01107077,0.88713664,288,0.60521689,,,0.99014243,,0.83991548,,,,,19.74692879,72.39059328,0.95900259,,,,
SYN-0045,IFO-Slope,22.20512594,0.00754204,0.01368236,0.91875505,293,0.97659114,,,,,0.22234435,0.65032556,17.87314092,166.16027289,0.09759251,,,,,,,
SYN-0046,IFO-Bridge,13.66400571,0.00457102,0.00898209,0.78624339,296,0.61686075,,,0.99681713,,0.78578744,,,,,21.75309006,80.05069135,0.96612362,,,,
SYN-0047,IFO-Valley,16.75963874,0.00876878,0.00669816,0.82889820,292,0.95901264,,,,,0.69244394,,,,,,,,31.02479572,94.56380538,0.32069202,0.78847047
SYN-0048,IFO-Bridge,13.11398805,0.00584684,0.00685230,0.79826797,297,0.65793312,,,0.98818733,,0.87541731,,,,,21.13937915,80.12559027,0.95275767,,,,
SYN-0049,IFO-Valley,19.86305634,0.00397120,0.01282388,0.91393585,291,0.95071043,,,,,0.69819825,,,,,,,,27.45810907,90.33914286,0.39131809,0.85867214
SYN-0050,IFO-Bridge,12.44635533,0.00767810,0.01035490,0.79267502,298,0.63974082,,,0.98311752,,0.77473712,,,,,25.98816845,57.27738093,0.95463844,,,,
SYN-0051,IFO-Bridge,17.27884120,0.00958487,0.01341194,0.75573229,289,0.55669493,,,0.96440401,,0.79107498,,,,,21.40195534,55.71025769,0.93130517,,,,
SYN-0052,IFO-Bridge,8.48923484,0.00878219,0.01319389,0.89153742,294,0.69896101,,,0.98577838,,0.76213997,,,,,24.86206309,64.35465022,0.96214890,,,,
SYN-0053,IFO-Hill,13.28654443,0.00379519,0.00810869,0.72576141,292,0.52670342,24.22897258,65.74771308,0.99348233,0.45529117,0.22369288,,,,,,,,,,,
SYN-0054,IFO-Bridge,15.99871021,0.00328762,0.01019094,0.91819670,293,0.56616095,,,0.99571396,,0.82187733,,,,,21.17645198,74.48133694,0.97506668,,,,
SYN-0055,IFO-Bridge,19.25390687,0.00866577,0.01179938,0.85947543,296,0.67280253,,,0.97220908,,0.82590452,,,,,24.80097631,75.17992338,0.93211803,,,,
SYN-0056,IFO-Valley,23.11374196,0.00790277,0.00947282,0.74891944,291,0.98913431,,,,,0.72640820,,,,,,,,40.93776684,83.61163834,0.29347166,0.83173407
SYN-0057,IFO-Bridge,21.41970353,0.00937435,0.00975245,0.76805452,289,0.63145230,,,0.99923044,,0.85229047,,,,,29.57038774,78.92384395,0.95671455,,,,
SYN-0058,IFO-Hill,20.81012414,0.00479896,0.00587537,0.77455452,294,0.55894022,21.03549364,56.79895941,0.99198043,0.53820387,0.22774286,,,,,,,,,,,
SYN-0059,IFO-Hill,13.35036923,0.00826836,0.00614729,0.80109302,298,0.53623914,17.06202868,57.40878520,0.97805924,0.46142413,0.26071963,,,,,,,,,,,
SYN-0060,IFO-Hill,10.68714287,0.00425430,0.00858905,0.80141647,294,0.56391544,18.98657875,66.41540500,0.97378695,0.46239236,0.31976253,,,,,,,,,,,
SYN-0061,IFO-Valley,13.75425269,0.00765031,0.00907977,0.90602685,294,0.97994005,,,,,0.58239391,,,,,,,,26.52413110,95.96104998,0.32908135,0.83857035
SYN-0062,IFO-Hill,21.50974368,0.00809507,0.01254467,0.84019012,290,0.51966951,30.27953921,65.16991161,0.97468013,0.47774652,0.31351545,,,,,,,,,,,
SYN-0063,IFO-Valley,20.97114341,0.00649385,0.00426002,0.79199034,294,0.96985298,,,,,0.69911377,,,,,,,,35.66369107,104.19742606,0.37575713,0.79504199
SYN-0064,IFO-Hill,18.32379530,0.00463559,0.00523494,0.87951798,293,0.53924910,26.92512807,65.86490038,0.98595006,0.48309409,0.29512650,,,,,,,,,,,
SYN-0065,IFO-Slope,23.97744774,0.00604825,0.01240484,0.82520152,292,0.96180182,,,,,0.26031683,0.49771841,16.30893511,153.16853307,0.09716747,,,,,,,
SYN-0066,IFO-Valley,18.78025647,0.00885805,0.00541828,0.89914562,293,0.98047811,,,,,0.70711535,,,,,,,,35.21045271,83.82212747,0.34104360,0.91650787
