curve_id,true_class,raw_point_count,resampled_point_count,missing_bins_before_akima,remaining_nan_after_akima,pre_normalization_max_abs,normalized_max_abs_before_savgol,smoothed_min,smoothed_max
SYN-0001,IFO-Hill,294,901,607,0,16.47330865,1,0.2741352467,0.9792396841
SYN-0002,IFO-Hill,293,901,608,0,11.60902197,1,0.2705074871,0.9922868054
SYN-0003,IFO-Slope,298,901,603,0,18.16234233,1,0.2534362367,1.000456731
SYN-0004,IFO-Bridge,292,901,609,0,21.72856042,1,0.6103331013,0.9830316951
SYN-0005,IFO-Hill,291,901,610,0,17.1501137,1,0.2428882362,0.9895404643
SYN-0006,IFO-Hill,294,901,607,0,19.21779169,1,0.2710213732,0.9852432664
SYN-0007,IFO-Bridge,297,901,604,0,23.72978076,1,0.5937438491,0.9805130276
SYN-0008,IFO-Hill,297,901,604,0,12.23722349,1,0.2074726388,0.9925417787
SYN-0009,IFO-Slope,293,901,608,0,12.14287332,1,0.3498482188,1.008723803
SYN-0010,IFO-Valley,292,901,609,0,18.54343713,1,0.3180863358,1.008212481
SYN-0011,IFO-Bridge,296,901,605,0,19.81365489,1,0.5797429859,0.9791806348
SYN-0012,IFO-Hill,286,901,615,0,9.022715049,1,0.298719003,0.9932746133
SYN-0013,IFO-Slope,296,901,605,0,21.43284904,1,0.3553667974,0.9947941516
SYN-0014,IFO-Hill,294,901,607,0,17.04903476,1,0.2801021065,0.9783837577
SYN-0015,IFO-Bridge,294,901,607,0,20.77292223,1,0.6899389184,0.9816974349
SYN-0016,IFO-Valley,295,901,606,0,10.34236324,1,0.4244792732,0.9958997273
SYN-0017,IFO-Valley,288,901,613,0,10.49502207,1,0.3121335672,1.000397538
SYN-0018,IFO-Slope,292,901,609,0,22.58423236,1,0.3203685433,0.9936791699
SYN-0019,IFO-Valley,297,901,604,0,21.62348582,1,0.3431546273,0.9901719265
SYN-0020,IFO-Bridge,294,901,607,0,12.11961981,1,0.5721291026,0.9818069661
SYN-0021,IFO-Slope,295,901,606,0,21.15688704,1,0.2466049682,0.9950441469
SYN-0022,IFO-Bridge,292,901,609,0,13.55717145,1,0.6631749237,0.9816702317
SYN-0023,IFO-Slope,291,901,610,0,8.575625636,1,0.2760968346,0.9915491821
SYN-0024,IFO-Bridge,286,901,615,0,11.4348396,1,0.5834366356,0.9887815406
SYN-0025,IFO-Bridge,289,901,612,0,17.20775036,1,0.5584652449,0.9833048795
SYN-0026,IFO-Slope,287,901,614,0,14.05228206,1,0.2735800861,1.019192589
SYN-0027,IFO-Hill,299,901,602,0,14.95223897,1,0.2707617477,0.986807215
SYN-0028,IFO-Valley,293,901,608,0,9.913906119,1,0.4063094538,0.9919192742
SYN-0029,IFO-Valley,292,901,609,0,15.43465595,1,0.3957306361,1.000472687
SYN-0030,IFO-Slope,289,901,612,0,12.33442121,1,0.2391940375,1.011404998
SYN-0031,IFO-Slope,298,901,603,0,16.81039357,1,0.2924880897,1.006217658
SYN-0032,IFO-Hill,289,901,612,0,16.06126767,1,0.2382634631,0.9935420279
SYN-0033,IFO-Slope,292,901,609,0,15.13974569,1,0.3318403963,1.000956589
SYN-0034,IFO-Valley,291,901,610,0,21.02487663,1,0.3751019795,0.9937978866
SYN-0035,IFO-Bridge,295,901,606,0,16.89646853,1,0.6616635312,0.9885068862
SYN-0036,IFO-Hill,289,901,612,0,15.80439006,1,0.2059607845,0.986828194
SYN-0037,IFO-Slope,294,901,607,0,9.705058599,1,0.3337303981,0.9977603106
SYN-0038,IFO-Valley,291,901,610,0,13.51280365,1,0.2782418598,1.000776124
SYN-0039,IFO-Bridge,287,901,614,0,8.353406364,1,0.602322065,0.9827194778
SYN-0040,IFO-Slope,292,901,609,0,20.82455718,1,0.2727894664,0.9873516359
SYN-0041,IFO-Hill,292,901,609,0,17.0413275,1,0.2777748323,0.959686067
SYN-0042,IFO-Valley,291,901,610,0,11.31306449,1,0.300871557,1.002135936
SYN-0043,IFO-Valley,295,901,606,0,12.37548616,1,0.4185766596,1.00354889
SYN-0044,IFO-Bridge,288,901,613,0,10.66840354,1,0.5713961672,0.9867720664
SYN-0045,IFO-Slope,293,901,608,0,21.90758238,1,0.2073658591,0.9854776964
SYN-0046,IFO-Bridge,296,901,605,0,13.87441915,1,0.6054072372,0.9848586628
SYN-0047,IFO-Valley,292,901,609,0,16.38588276,1,0.3292593046,0.9893015586
SYN-0048,IFO-Bridge,297,901,604,0,13.14483168,1,0.6358338768,0.9866488341
SYN-0049,IFO-Valley,291,901,610,0,18.62936407,1,0.4141610982,1.000791544
SYN-0050,IFO-Bridge,298,901,603,0,12.46991616,1,0.6383800741,0.990420061
SYN-0051,IFO-Bridge,289,901,612,0,17.21433782,1,0.5505916377,0.977302423
SYN-0052,IFO-Bridge,294,901,607,0,8.58132946,1,0.7041486944,0.982429951
SYN-0053,IFO-Hill,292,901,609,0,13.1695605,1,0.2138303061,0.9952360504
SYN-0054,IFO-Bridge,293,901,608,0,16.20723126,1,0.5504557439,0.9911150414
SYN-0055,IFO-Bridge,296,901,605,0,19.27976021,1,0.6583962282,0.9893570731
SYN-0056,IFO-Valley,291,901,610,0,23.18020299,1,0.2956466024,0.9897781111
SYN-0057,IFO-Bridge,289,901,612,0,22.04359126,1,0.6087621312,0.9783925829
