curve_id,true_class,som_x,som_y,som_node,posthoc_predicted_class,is_correct
SYN-0001,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0002,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0003,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0004,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0005,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0006,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0007,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0008,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0009,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0010,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0011,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0012,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0013,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0014,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0015,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0016,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0017,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0018,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0019,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0020,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0021,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0022,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0023,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0024,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0025,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0026,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0027,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0028,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0029,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0030,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0031,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0032,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0033,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0034,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0035,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0036,IFO-Hill,0,0,0,IFO-Hill,True
SYN-0037,IFO-Slope,1,0,2,IFO-Slope,True
SYN-0038,IFO-Valley,1,1,3,IFO-Valley,True
SYN-0039,IFO-Bridge,0,1,1,IFO-Bridge,True
SYN-0040,IFO-Slope,1,0,2,IFO-Slope,True
