time_hours,node_0_mean,node_0_weight,node_1_mean,node_1_weight,node_2_mean,node_2_weight,node_3_mean,node_3_weight
0,0.535605822,0.535846353,0.617349965,0.61343787,0.995333837,0.995286442,0.997569335,0.998413486
0.166666667,0.541019131,0.541343318,0.620928672,0.617061235,0.989617666,0.989616203,0.992344229,0.993287798
0.333333333,0.546406873,0.546813715,0.624498877,0.62067807,0.98394707,0.98399156,0.987131007,0.988173292
0.5,0.551769045,0.552257546,0.62806058,0.624288374,0.978322051,0.978412513,0.98192967,0.983069967
0.666666667,0.55710565,0.55767481,0.631613781,0.627892147,0.972742607,0.972879061,0.976740217,0.977977823
0.833333333,0.562416686,0.563065508,0.63515848,0.631489391,0.96720874,0.967391204,0.971562649,0.972896861
1,0.567702154,0.568429639,0.638694678,0.635080104,0.961720448,0.961948943,0.966396965,0.967827081
1.16666667,0.572962053,0.573767203,0.642222374,0.638664286,0.956277733,0.956552278,0.961243165,0.962768482
1.33333333,0.578196384,0.579078201,0.645741567,0.642241939,0.950880593,0.951201208,0.95610125,0.957721065
1.5,0.583405147,0.584362631,0.649252259,0.64581306,0.94552903,0.945895734,0.950971219,0.952684829
1.66666667,0.588588342,0.589620496,0.65275445,0.649377652,0.940223042,0.940635856,0.945853073,0.947659775
1.83333333,0.593745968,0.594851793,0.656248138,0.652935713,0.93496263,0.935421573,0.940746811,0.942645902
2,0.598878025,0.600056524,0.659733324,0.656487244,0.929747795,0.930252886,0.935652433,0.937643211
2.16666667,0.603984515,0.605234688,0.663210009,0.660032244,0.924578535,0.925129794,0.93056994,0.932651701
2.33333333,0.609065436,0.610386285,0.666678191,0.663570714,0.919454852,0.920052298,0.925499331,0.927671373
2.5,0.614120789,0.615511316,0.670137872,0.667102653,0.914376744,0.915020397,0.920440606,0.922702226
2.66666667,0.619150573,0.62060978,0.673589051,0.670628063,0.909344212,0.910034092,0.915393766,0.917744261
2.83333333,0.624154789,0.625681677,0.677031728,0.674146941,0.904357257,0.905093383,0.910358811,0.912797477
3,0.629133437,0.630727008,0.680465903,0.67765929,0.899415877,0.900198269,0.905335739,0.907861875
3.16666667,0.634086516,0.635745772,0.683891577,0.681165108,0.894520073,0.895348751,0.900324553,0.902937455
3.33333333,0.639014027,0.640737969,0.687308748,0.684664396,0.889669846,0.890544828,0.89532525,0.898024216
3.5,0.64391597,0.6457036,0.690717418,0.688157153,0.884865194,0.885786501,0.890337832,0.893122158
3.66666667,0.648792345,0.650642664,0.694117586,0.69164338,0.880106118,0.88107377,0.885362298,0.888231282
3.83333333,0.653643151,0.655555161,0.697509252,0.695123076,0.875392618,0.876406634,0.880398649,0.883351588
4,0.658468388,0.660441092,0.700892416,0.698596243,0.870724695,0.871785094,0.875446884,0.878483075
4.16666667,0.663268058,0.665300456,0.704267078,0.702062878,0.866102347,0.867209149,0.870507004,0.873625743
4.33333333,0.668042159,0.670133253,0.707633239,0.705522984,0.861525575,0.8626788,0.865579008,0.868779593
4.5,0.672790691,0.674939483,0.710990897,0.708976559,0.856994379,0.858194047,0.860662896,0.863944625
4.66666667,0.677513656,0.679719147,0.714340054,0.712423603,0.85250876,0.853754889,0.855758668,0.859120838
4.83333333,0.682211052,0.684472244,0.717680709,0.715864118,0.848068716,0.849361326,0.850866326,0.854308233
5,0.686882879,0.689198775,0.721012862,0.719298102,0.843674248,0.84501336,0.845985867,0.849506809
5.16666667,0.691529139,0.693898738,0.724336513,0.722725555,0.839325356,0.840710989,0.841117293,0.844716567
5.33333333,0.69614983,0.698572135,0.727651662,0.726146478,0.83502204,0.836454213,0.836260603,0.839937506
5.5,0.700744952,0.703218966,0.73095831,0.729560871,0.830764301,0.832243033,0.831415798,0.835169627
5.66666667,0.705314507,0.707839229,0.734256455,0.732968733,0.826552137,0.828077449,0.826582877,0.83041293
5.83333333,0.709858493,0.712432926,0.737546099,0.736370065,0.822385549,0.82395746,0.82176184,0.825667413
6,0.714386151,0.717012335,0.740873602,0.739798512,0.81838643,0.820050712,0.816988358,0.820915343
6.16666667,0.7189158,0.721601513,0.744217278,0.743278461,0.814407455,0.816132878,0.812188921,0.816141509
6.33333333,0.723431291,0.72617529,0.747558871,0.746775794,0.810465652,0.812230314,0.807384102,0.811373377
6.5,0.727917974,0.730718032,0.75089218,0.750268594,0.806569143,0.808364117,0.80258486,0.806617649
6.66666667,0.732377015,0.735245786,0.754224336,0.75375519,0.802703342,0.804532925,0.7977803,0.801860678
